ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,8.6,8.6,8.5,8.5,8.5,8.3,8.3,8.3,8.5,8.2,8.5,8.4,8.6,8.4,8.7,8.5,8.5,8.6
ALB,21.8,19.5,21,19.3,19.7,13.5,22.7,13.2,12.7,12.6,12.5,12.4,13.5,13,13.8,14.2,14.3,14.7
DZA,27.9,28.9,25.4,25.8,25.5,29.8,27.3,25.9,23.7,20.1,15.3,12.3,13.8,11.3,10.2,10,9.9,9.8
AGO,7.4,7.3,7.5,7.6,7.6,7.6,7.6,7.4,7.6,7.5,7.3,7.3,7.3,7.4,7.6,7.6,7.6,7.5
ARG,18.8,17.2,14.9,12.8,14.1,15,18.3,17.9,16.1,12.6,10.6,10.1,8.5,7.8,8.6,7.7,7.2,7.2
ARM,28.3,21.2,20,26.2,20.4,24.7,35.9,27.8,28.6,32.3,27.8,24.5,28.4,28.6,18.7,19,18.4,18.5
AUS,8.5,8.5,8.5,7.7,6.9,6.3,6.8,6.4,5.9,5.4,5,4.8,4.4,4.2,5.6,5.2,5.1,5.2
AUT,3.7,4.1,4.2,4.2,3.7,3.5,3.6,4,4.3,4.9,5.2,4.7,4.4,3.8,4.8,4.4,4.1,4.3
AZE,5.5,5.8,5.8,5.9,6.1,5.8,5.7,5.6,5.7,5.6,6.4,6.8,6.5,6.1,5.7,5.6,5.4,5.4
BHS,10.8,11.5,9.8,7.6,7.4,7.2,6.9,9,10.8,10.3,10.2,7.6,7.9,8.7,14.2,14.1,13.7,13.6
BHR,5.5,5.5,5.7,5.6,5.4,6.4,5.5,6.5,7.5,9,8.8,8.5,8.2,7.8,7.6,7.5,7.4,7.4
BGD,2.8,2.5,2.9,2.5,3.1,3.3,3.4,3.4,4.3,4.5,4.3,4.2,4.3,4.4,5,4.5,4.5,4.5
BRB,19.7,14.7,14.6,12.3,10.4,9.3,9.8,10.3,11,9.8,9.1,8.7,7.4,8.1,10,10.8,11.2,11.6
BLR,9.7,10.2,10.5,10.4,10.2,10.3,10.2,10.2,10.2,10.4,10.3,10.3,10.2,10.2,9.8,10,9.9,9.7
BEL,9.3,9.5,9,9.3,8.6,6.6,6.2,7.5,8.2,8.4,8.4,8.2,7.5,7,7.9,8.3,7.1,7.5
BLZ,12.5,13.8,12.7,14.3,12.8,11,9.1,10,10.3,10.5,11,9.4,8.5,8.2,8.7,8.3,8.4,7.9
BEN,0.9,0.7,0.8,0.9,0.9,0.8,0.7,0.7,0.9,1.3,1.3,1.1,1.1,1.1,1.2,1,1,1
BTN,3.1,1.5,1.6,1.4,1.4,1.7,1.9,1.9,1.8,2.5,3.1,3.1,3.7,3.8,4,3.3,3.1,2.1
BOL,5.3,5.1,5,4.8,4.3,4.8,5.4,5.4,5.1,4.3,5.4,5.3,5.2,2.9,3.4,3.3,3.2,3.2
BIH,25,25.3,27.9,26.1,25.6,25,27,24.5,25.6,28.4,25.7,31.8,29.7,23.9,24.1,27.2,27.6,28.2
BWA,21.5,21.5,21,20.8,21.9,24.5,23.3,22.1,23.8,22.9,22,17.6,18.3,21.8,18.4,17.9,17.8,17.7
BRA,6,6.8,7.7,8.9,9.6,9.5,9.3,9.1,9.7,8.9,9.3,8.4,8.1,7.1,8.3,7.9,6.7,6.9
BRN,4.4,4.1,3.5,3.5,4.4,4,3.8,3.9,3.9,3.3,3.3,3.2,3.2,3.2,3.5,3.7,3.7,3.8
BGR,15.7,13.5,13.7,12.2,14.1,16.2,19.9,18.1,13.7,12,10.1,8.9,6.9,5.6,6.8,10.2,11.3,12.3
BFA,2.4,2.4,2.3,2.4,2.3,3,2.3,3,2.8,2.8,2.7,2.3,3.3,3.3,3.3,3.3,3.3,3.3
BDI,8,8,7.9,7.9,8,8.1,8.1,8.1,8.1,8,8,8,7.9,7.9,7.9,7.8,7.7,7.7
KHM,1.6,1.7,1.9,2.1,2.3,2.5,1.7,1.8,1.9,1.9,1.7,1.8,1.7,1.7,1.9,1.6,1.5,1.5
CMR,3.4,8.1,7.7,7.3,7,6,7.5,5.5,5.6,4.5,4.4,3.8,4,4.6,4.7,3.8,3.8,3.8
CAN,9.5,9.6,9.1,8.3,7.6,6.8,7.2,7.7,7.6,7.2,6.7,6.3,6,6.1,8.3,8,7.4,7.2
CPV,7.9,7.9,7.9,7.9,7.9,7.9,7.9,8,8,8,7.9,7.8,7.8,7.8,7.8,7.7,7.7,7.6
CAF,7.6,7.8,7.5,7.6,7.6,7.7,7.7,7.7,7.8,7.7,7.7,7.6,7.6,7.6,7.6,7.6,7.6,7.5
TCD,7.7,7.7,7.6,7.6,7.8,7.8,7.6,7.6,7.6,7.3,7.7,7.8,7.8,7.8,7.9,7.6,7.8,7.8
CHL,7.1,6.3,6.1,6.3,9.8,9.2,9.1,8.9,8.5,8.8,8,7.7,7.1,7.8,9.7,8.1,7.1,6.4
CHN,4.5,4.6,4.6,4.7,4.7,4.5,4.5,4.4,4.3,4.3,4.1,4,3.8,4.4,4.4,4.2,4.3,4.5
COL,11.8,13.9,12.7,13.8,15,16.2,14.6,14.6,12,11.9,11.3,10.5,12,13.2,12,11.6,10.8,10.4
COM,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.3,7.3,7.3,7.3,7.3,7.2,7.2,7.1,7.1,7.1,7
COG,7.3,7.3,7.4,7.3,7.4,7.2,7.2,7.2,7.2,7.2,7.1,7.1,7.2,7.1,7,7,7.1,7.1
CRI,5.2,6.2,5.7,5.6,6,5.2,6.1,6.4,6.7,6.5,6.6,6,4.6,4.9,7.8,7.3,7.7,7.6
CIV,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4,4,4,4,4
HRV,10.1,10,9.9,11,13.5,16.1,20.5,15.1,13.9,13.7,12.6,11.1,9.6,8.4,9.1,11.8,13.4,15.8
CUB,8.3,7.6,7.1,6.2,6.3,5.4,4.1,3.3,2.3,1.9,1.9,1.9,1.8,1.6,1.7,2.5,2.4,2.4
CYP,3.9,4.3,3.3,4.9,5.7,5,4,3.3,4.1,4.3,5.3,4.5,3.9,3.6,5.4,6.3,7.9,11.8
