ISO,2004,2005,2006,2008,2009,2010
ARG,,,,,43.7,
ARM,,,,,5.8,
BOL,,,59.9,,,
BRA,,,,,45.6,
CHN,,,,,,30.6
COL,,,,,,53.4
CRI,,,,,39.9,
CIV,,,,67.8,,
DOM,,,,,47,
ECU,,,,,50.9,
EGY,,,,,11.6,
SLV,,,,,60,
HND,,,,,60.4,
IND,,,,,67,
IDN,,,,,73.4,
KGZ,,,,,22,
LBR,,,,,,47.5
MKD,,,,,,7.2
MUS,,,,,22.4,
MEX,,,,,46.6,
NAM,,,,41.7,,
NIC,,,,54,,
PAK,,,,,38.9,
PAN,,,,,37.9,
PRY,,,,,66.6,
PER,,,,,56.5,
PHL,,,,57.3,,
MDA,,,,,5.5,
SRB,,,,,,3.9
ZAF,,,,,,36.6
LKA,,,,,38.8,
TZA,,81.8,,,,
THA,,,,,,38.8
TUR,,,,,21.8,
UGA,,,,,,41.3
UKR,,,,,3.1,
URY,,,,,32.7,
VEN,,,,,36.5,
VNM,,,,,50.3,
ZMB,,,,53,,
ZWE,67.5,,,,,
AAE,,,,,,34.7
AME,,,,,48.0231,
LMA,,,,,40.1167,
ASE,,,,,48.2333,
UMA,,,,,,28.4167
EAM,,,,,,30.6
LCM,,,,,46.6,
LMM,,,,,38.9,
SAM,,,,,38.9,
UMM,,,,,,30.6
EAE,,,,,,19.9219
LCE,,,,,36.7596,
LMW,,,,,46.246,
SAE,,,,,54.7806,
UMW,,,,,,20.3769
# Series: SSIEFEIE,,,,,,
"# Name: Informal employment in services other than trade or transportation, Female",,,,,,
"# Definition: Informal employment in services other than trade or transportation, female (Share of informal employment by kind)",,,,,,
# Source: Informal Economy 2012 Country Data,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,
