ISO,2004,2005,2006,2008,2009,2010
ARG,,,,,32.6,
ARM,,,,,6.8,
BOL,,,44,,,
BRA,,,,,30,
CHN,,,,,,25
COL,,,,,,33.3
CRI,,,,,28.2,
CIV,,,,47.2,,
DOM,,,,,26.3,
ECU,,,,,29.1,
EGY,,,,,23,
SLV,,,,,37.4,
HND,,,,,50.8,
IND,,,,,57.3,
IDN,,,,,59.9,
KGZ,,,,,24.2,
LBR,,,,,,27.1
MKD,,,,,,9.3
MUS,,,,,6.2,
MEX,,,,,32,
NAM,,,,31.9,,
NIC,,,,43.7,,
PAK,,,,,51.9,
PAN,,,,,27.4,
PRY,,,,,49,
PER,,,,,38.7,
PHL,,,,41.5,,
MDA,,,,,5.3,
SRB,,,,,,5
ZAF,,,,,,19.4
LKA,,,,,45.1,
TZA,,65.1,,,,
THA,,,,,,32.3
TUR,,,,,14.8,
UGA,,,,,,34.1
UKR,,,,,5,
URY,,,,,28.2,
VEN,,,,,31.9,
VNM,,,,,42.8,
ZMB,,,,34.2,,
ZWE,46.7,,,,,
AAE,,,,,,28.65
AME,,,,,33.9692,
LMA,,,,,36.1917,
ASE,,,,,51.4333,
UMA,,,,,,20.7167
EAM,,,,,,25
LCM,,,,,31.9,
LMM,,,,,42.8,
SAM,,,,,51.9,
UMM,,,,,,19.4
EAE,,,,,,16.2943
LCE,,,,,25.237,
LMW,,,,,41.1018,
SAE,,,,,49.037,
UMW,,,,,,16.2362
# Series: SSIEMAIE,,,,,,
"# Name: Informal employment in services other than trade or transportation, Male",,,,,,
"# Definition: Informal employment in services other than trade or transportation, male (Share of informal employment by kind)",,,,,,
# Source: Informal Economy 2012 Country Data,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,
