ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
AGO,,,,,,,,,,,,,27.8,,
ARM,,,,,,31.3,,,,,37.4,,,,
AZE,,,,,,,,,,,,24.9,,,
BGD,,,,,,,,,,,,,11.4,,
BEN,,22.9,,,,,,,,,,24.6,,,
BOL,,,,,,,,,22,,,,,,
BRA,,21.6,,,,,,,,,,,,,
BFA,,,,,,,,,16.5,,,,,,
KHM,,,,,,27.9,,,,,26.4,,,,
CMR,,,,,,,,,,25.1,,,,,
CAF,25.1,,,,,,,,,,,,,,
TCD,,,23.7,,,,,,,21.5,,,,,
COL,,,,,,,,,,,33.1,,,,
COM,,33.1,,,,,,,,,,,,,
COG,,,,,,,,,,,23.3,,,,
CIV,,,,,16.1,,,,,,,,,,
COD,,,,,,,,,,,,,22.1,,
DOM,,,,,,,,,,,,,37.7,,
EGY,,,,,,,,,,,,,,15.1,
ERI,44.2,,,,,,,52.2,,,,,,,
EST,,,,,,35.4,,,,,,,,,
ETH,,,,,,,,,,,38.6,,,,
GAB,,,,,,26.2,,,,,,,,,
GHA,,,,,,,,,,,,,,36.8,
GTM,22.3,,,,23.7,,,,,,,,,,
GIN,,,,,17.8,,,,,,18.8,,,,
HTI,48.1,,,,,,,,,,,51.6,,,
HND,,,,,,,,,,,,31.7,,,
IND,,,,,,,,,,,,13.2,,,
IDN,,,,,,,,,,,,,13.6,,
JOR,,,,,,,,,,,,,10.2,,
KAZ,,,,,42.5,,,,,,,,,,
KEN,,,,,,,,,25.6,,,,,,
KGZ,,,38.6,,,,,,,,,,,,
LSO,,,,,,,,,,40.5,,,,,
LBR,,,,,,,,,,,,,,,34
MDG,,,,,,,,,,25.6,,,,,
MWI,,,,,,,,,,16.5,,,,,
MLI,,11.6,,,,,,,,,,14.2,,,
MRT,,,,,,,25.4,,,,,,,,
MAR,,,,,,,,,,20.2,,,,,
MOZ,,,20.5,,,,,,26.7,,,,,,
NAM,,,,,,,,,,,,,40.1,,
NPL,,12.5,,,,,,,,,,20.1,,,
NIC,,,,37.7,,,38.8,,,,,,,,
NER,,,,,,,,,,,,16.8,,,
NGA,,,,,,,,,,,,,,20.7,
PAK,,,,,,,,,,,,,9.2,,
PER,,,,,,21.3,,,,,,,,,
PHL,,,,16.9,,,,,,,,,,18.7,
RWA,,,,,,,,,,,32.8,,,,
SEN,,,,,,,,,,,,,,,30.4
SLE,,,,,,,,,,,,,,25.7,
ZAF,,,,36.2,,,,,,,,,,,
SWZ,,,,,,,,,,,,,39,,
TZA,,,,,,,,,,,22.9,,,,
TGO,,,,28.9,,,,,,,,,,,
TUR,,,,11.1,,,,,,,,,,,
TKM,,,,,,34.4,,,,,,,,,
UGA,27.7,,,,,,,,,,,33.1,,,
UKR,,,,,,,,,,,,,50.1,,
UZB,,35.6,,,,,,,,,,,,,
VNM,,,41,,,,,44.9,,,,,,,
YEM,,,9.4,,,,,,,,,,,,
ZMB,,,,,,,,,,,,,22.1,,
ZWE,,,,,,,,,,,,28.5,,,
ASE,,,,,,,,,,,,16.65,,,
SAM,,,,,,,,,,,,13.2,,,
SAE,,,,,,,,,,,,10.1949,,,
# Series: SUHFHFAO,,,,,,,,,,,,,,,
"# Name: Share of urban households that are female headed, Total",,,,,,,,,,,,,,,
# Definition: Share of urban households that are female-headed,,,,,,,,,,,,,,,
# Source: Food and Agriculture Organization of the United Nations (FAO),,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,
