ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,,,,,,,,,,25.6,25.3,27.6,28.3,,
DZA,,,,,,,23.6,,23.8,25.6,,,,,31.6,33.7,32.2,
ATG,,,,,,,24.4,26.1,26.1,26.1,26.1,26.1,26.1,26.1,,,,
ARG,34.5,32.6,34,34,32.2,31.1,30,27.9,29.2,31.3,32.7,32.9,33.9,33.6,32.8,33,33.4,33.3
ARM,,,,,,,,22.1,21.9,20.7,21.1,20.8,21.4,30.4,27.2,27,26.1,
AUS,31.5,31,30.7,30.4,29.9,30.6,29.7,29.9,30.1,30.7,30.8,31.2,31.2,31.7,,,,
AUT,43.4,42.7,41.8,42.1,42.6,42.6,41.9,42.3,42.5,39.5,39.6,40.4,39.1,38,36.7,36.5,37.7,37.9
AZE,,,,,14.2,13.9,14.1,15.2,15.2,15.2,15.2,16.1,16.6,18.2,19.4,20.9,21.5,21.9
BHS,22.3,22.3,22.4,24.4,26.5,,27.1,28.3,25.6,26.3,29.6,30.6,29.4,27.3,27.9,,21.7,
BHR,,,,,,,31.8,,,18.2,,,,,,42.1,,
BGD,,10.8,,,,11,,,12.3,,15.1,,,,,,,
BRB,25.5,24.9,26.6,28.8,30.4,29.3,28.3,26.6,25.5,26.2,,,,,,29.8,30.3,28.2
BLR,,,,,,,,,,,,,,,43.3,,,
BEL,38.1,37.3,37.4,37.4,36.2,36.2,35.4,35.6,34.9,35.7,35,35.6,35,36.3,34.7,34.3,34.5,32.7
BLZ,21.5,19.7,19.6,21.3,19.3,,,,,,21.8,,,,,,,
BEN,,,,,,,,,9.8,,,,,,,,,
BTN,,,,,,,,,4.1,,23.7,9.1,,,4,6.8,9.8,10.2
BOL,38.6,38.7,39.6,,26.4,26.8,22.4,24.5,28.4,28.4,26.3,23.5,28.1,26.3,27.8,,,
BIH,,,,,,,,,,,,37.7,40.2,40.1,40.3,39.5,36.3,38.3
BWA,,30.4,,26.7,,26.3,31.1,,28,,,19.2,,,,,,
BRA,26.4,26.6,26.8,27,25.8,,26.9,27.5,26.6,26.8,27.3,27.5,28.4,29.3,28.8,,29.2,
BRN,,,,,,,28.6,,,,,,,,,,,
BGR,,,,,,37.5,36.3,36.1,35.8,36.7,38.9,40.1,41.6,43.2,42.6,40.9,38.2,37
BFA,,,,,,,,,4.7,,3.9,,,,,,,
BDI,,,,4.1,,,,,,,,,,,,,,
KHM,,,,5,,7.1,8.7,,,,,,,8.1,15.5,17,16.3,19
CMR,,,,,,,10.9,,,,,,,,,12.9,,
CAN,31.1,31,31.2,32.1,32.3,32.2,32.1,32.3,32,32.2,32.1,31.9,31.5,31.7,,,,
