ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,0.1,,0.1,0.5,,,,,,,,
ATG,,,,,,,0,0,0,0,0,0,0,0,,,,
ARG,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,
ARM,,,,,,,,0,0,0,0,0,0,0.1,0,,,
AUS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,,,,
AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
AZE,,,,,0,0,0,0,0,0.1,0.1,0.1,0.1,0,,,,
BHR,,,,,,,0.1,,,,,,,,,,,
BGD,,,,,,,,,0.2,,1.6,,,,,,,
BLR,,,,,,,,,,,,,,,0,,,
BLZ,,,,,,,,,,,1,,,,,,,
BTN,,,,,,,,,,,,,,,,,,0
BOL,,0,0,,0.1,0.1,0,0,,0.1,0.1,0.2,0,,,,,
BRA,,,,,,0.1,,0.1,0.1,0.2,0.2,0.1,0.1,,,,,
BRN,,,,,,,0,,,,,,,,,,,
BFA,,,,,,,,,0,,0.1,,,,,,,
BDI,,,,0,,,,,,,,,,,,,,
KHM,,,,0.9,,1.3,1.6,,,,,,,,,,,
CAN,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,
CHL,,,,,,,,0.8,,,,,,,,,,
CRI,,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,0,
HRV,,0,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,,,,
CYP,,,,,0,,0,0,,,,0,0.1,0.1,,,,
CZE,,,,,,,,,,,,,,0,,,,
DNK,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
DOM,,0,0,,,0.1,,,,0,0,0,0,,,,,
ECU,,,,,0.1,0.4,0.2,0.4,,0.2,0.8,0.4,,,,,,
EGY,,,0.1,0,0.2,0,0,0,0.1,0,0,0,0,0,,,,
SLV,0.3,,0.1,0.2,0.1,0.1,0.1,0.1,0.3,0.2,0.1,0.1,0.2,0.3,0.2,0.2,0.1,0.2
EST,0.4,0.2,0.3,0.2,0.1,0,0.1,0.1,0,0.2,0.1,0.1,0.2,0.1,,,,
FIN,0,0.1,0.1,0,0,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,,,,
FRA,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,,,,
GEO,,,,0,0,0,0,0,0,0,0,0,0,,,,,
DEU,0,0,,,,,,,,,,,,,,,,
GHA,,,,,,,,,,,,0.5,,,,,,
GRC,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,,,,
GTM,,,,0.1,,,,,,,,,,,,,,
GUY,,,1.5,,,,,0.4,,,,,,,,,,
ISL,0.9,0.9,0.6,0.9,1.3,1.1,0.7,0.7,0.5,0.5,0.5,0.4,0.2,0.5,,,,
IND,,,,,,0.1,,,,,0.2,,,,,0.1,,
IDN,,,,,,0.5,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,,,,
IRN,,0,,,,,,,,,0,0,0.1,0.1,,,,
IRQ,,,,,,,,,,0,,0.1,0,0.1,,,,
IRL,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,,,,
ISR,,,,,0,0,0,0,0,0,0,0,0,0,,,,
ITA,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
JPN,,,,,,,,,0.3,0.2,0.2,0.2,0.2,0.2,,,,
JOR,,,,,,,,,,0,0,0,0,0,,,,
KAZ,,,,,0.1,,0.1,0,0,0.1,0.1,0.1,0.1,0.1,,,,
KWT,,,,,,,,,,,0,,,,,,,
KGZ,,,,,0,0,0,0,0,0.1,0,0,,,,,,
LAO,0,,,,,,,,,,,,,,,,,
LVA,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
LSO,,,,,0,,,,,,,,,,,,,
LTU,,,,0,0,0.1,0,0,0,0,0.1,0,0,0.1,,,,
MKD,,,,,,,,0,0,0,0,0,0,0.1,,,,
MDG,,,,,,,,,0.7,,0.7,,,,,,,
MYS,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,
MDV,1.2,,,,,0.4,,,1,,,0.4,,,,,,
MLI,,,,,,,,,,0.2,,1.4,,,,,,
MUS,,,,,,,,,,0.4,0.5,0.4,0.4,0.3,,,,
MEX,0.4,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,,,,
MNG,,,,,,,,,0.1,,,,0,,,,,
