ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,1,,0.5,0.7,,,,,,,,
ATG,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,
ARG,0.1,0,0,0,0.1,0,0,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,
ARM,,,,,,,,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.4,,,
AUS,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,,,,
AUT,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,,,,
AZE,,,,,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.5,0.5,0.5,,,,
BHS,0.6,0.6,0.8,0.4,0.6,,0.6,0.7,0.9,0.9,0.6,0.6,0.8,0.4,0.8,,0.5,
BHR,,,,,,,0.3,,,0,,,,,,,,
BGD,,,,,,,,,0,,0.1,,,,,,,
BLR,,,,,,,,,,,,,,,0.2,,,
BEL,0.1,0,0.1,0.1,0,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,,,,
BLZ,0,0.1,0,0,0.1,,,,,,0,,,,,,,
BTN,,,,,,,,,0.1,,0.7,0,,,0.2,0.2,0.3,0.1
BOL,0.3,0.4,0.6,,0.6,0.4,0.2,0.2,,0.3,0.6,0.2,0.1,,,,,
BWA,,1.5,,0.7,,0.6,0.7,,1.1,,,0.7,,,,,,
BRA,,,,,,0.1,,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,,,
BRN,,,,,,,1.3,,,,,,,,,,,
BGR,,,,,,0.6,0.7,0.6,0.5,0.4,0.4,0.5,0.4,,,,,
BFA,,,,,,,,,0.4,,0.2,,,,,,,
KHM,,,,0.1,,0.1,0.2,,,,,,,,,,,
CAN,0.5,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.6,,,,
CHL,,,,,,,,0.2,,,,,,,,,,
CHN,,,,,,,,,2.9,2.8,2.6,2.6,2.4,,,,,
COL,,,,,,,,1,0.7,0.3,0.3,,0.1,0.1,,,,
CRI,,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0.1,,,0,
HRV,,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.1,0.1,0.2,0.2,0.1,,,,
CYP,,,,,,0,0,,,,0.1,0,,,,,,
CZE,0.6,0.6,0.7,0.6,0.4,0.5,0.6,0.4,0.3,0.3,0.3,0.3,0.3,0.3,,,,
DNK,0.2,0.1,0,0.1,0,0,0,0.1,0,0,0.1,0.1,0,0,,,,
DOM,,0.1,0.1,,,0,,,0,0,0,0,0,,,,,
ECU,,,,,0.1,0.2,0.1,0.2,,0.1,0,0.1,,,,,,
EGY,,0.1,0,0.4,0,0.1,0,0.1,0.1,0,0,0.1,0,0,,,,
SLV,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EST,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.2,0.2,0.5,0.2,0.2,0.2,0.2,,,,
ETH,,,,,,,,,,0.1,0.2,0.1,,,,,,
FIN,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0.1,0,0.1,0,,,,
FRA,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0,0,,,,
GEO,,,,0.2,0.1,0.1,0.2,0.1,0.1,0,0.1,0.1,0,,,,,
