ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,1.2,,1.2,0.3,,,,,,,,
ATG,,,,,,,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,,,
ARG,0.1,0.3,0.3,0.3,0.2,0.2,0.3,0.2,0.3,0.3,0.1,0.2,0.3,0.2,0.2,0.2,0.3,
ARM,,,,,,,,1.2,1,0.8,0.6,0.8,0.8,1.1,0.9,,,
AUS,0.4,0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.5,,,,
AUT,0.3,0.4,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
AZE,,,,,0.5,0.6,0.7,0.6,0.6,0.5,0.5,0.7,0.9,0.4,,,,
BHR,,,,,,,0.2,,,0.3,,,,,,,,
BGD,,,,,,,,,0.1,,0,,,,,,,
BLR,,,,,,,,,,,,,,,1.4,,,
BEL,0.4,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.4,0.5,0.4,0.4,0.5,0.4,,,,
BLZ,0.3,1.2,0.9,0.9,0.4,,,,,,0.5,,,,,,,
BTN,,,,,,,,,0,,0.4,0.7,,,0.4,1,0.9,0.8
BOL,0.2,0.3,0.2,,0.1,0.1,0.2,0.1,,0.1,0.2,0,0.1,,,,,
BWA,,0.1,,0.2,,0.1,0.3,,0.4,,,0.6,,,,,,
BRA,,,,,,0.2,,0.2,0.2,0.2,0.2,0.2,0.2,,,,,
BRN,,,,,,,0.7,,,,,,,,,,,
BGR,,,,,,1.1,1.2,1.2,0.9,1.1,1.2,1,0.9,,,,,
BFA,,,,,,,,,0.1,,0,,,,,,,
BDI,,,,0,,,,,,,,,,,,,,
KHM,,,,0,,0,0,,,,,,,,,,,
CAN,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.4,0.4,0.5,0.4,,,,
CHL,,,,,,,,0.2,,,,,,,,,,
CHN,,,,,,,,,2.2,2.2,2.1,2.1,2,,,,,
COL,,,,,,,,0.2,0.2,0.2,0.3,,0.2,0.2,,,,
CRI,,0.5,0.7,0.5,0.3,0.4,0.7,1,0.7,0.7,0.4,0.7,0.6,0.8,,,0.9,
HRV,,0.5,0.6,0.8,0.8,0.9,0.9,0.8,0.9,1,0.9,0.8,1,0.8,,,,
CYP,,,,,0.4,0.4,0.5,0.3,0.3,0.4,0.3,0.3,0.2,0.3,,,,
CZE,1.2,1.2,1.1,1,0.9,0.8,1.1,1,0.8,0.7,0.8,0.8,0.7,0.8,,,,
DNK,0.1,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,,,,
DOM,,0.4,0.8,,,0.6,,,0.5,0.6,0.8,0.5,0.7,,,,,
ECU,,,,,0.3,0.3,0.4,0.1,,0.4,0.2,0.2,,,,,,
EGY,,0.7,0.5,0.5,0.6,0.6,0.5,0.7,0.6,0.4,0.5,0.5,0.8,0.4,,,,
SLV,0.1,,0.1,0.1,0,0,0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.2,0.2
EST,1.7,1.7,1.5,1.6,1.9,1.5,0.8,0.7,0.8,1.2,1,0.7,0.4,0.6,,,,
ETH,,,,,,,,,,0.6,0.1,0.4,,,,,,
FIN,0.4,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,,,,
FRA,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,,,
GEO,,,,0.7,0.5,0.4,0.5,0.6,0.5,0.4,0.6,0.4,0.4,,,,,
DEU,0.5,0.4,0.4,0.5,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,,,,
GHA,,,,,,,,,,,,0.1,,,,,,
GRC,0.5,0.5,0.5,0.4,0.5,0.5,0.3,0.3,0.4,0.5,0.4,0.4,0.5,0.6,,,,
GTM,,,,0.2,,,,,,,,0.1,,,,,,
GUY,,,1.3,,,,,0.7,,,,,,,,,,
HUN,1.5,1.4,1.6,1.4,1.4,1.1,1.1,1.1,1,1,0.9,1.1,0.9,0.8,,,,
ISL,0.5,0.3,0.5,0.4,0.1,0.4,0.4,0.7,0.4,0.3,0.4,0.4,0.5,0.5,,,,
IND,,,,,,0,,,,,0,,,,,0.1,,
IDN,,,,,,0,0,0.1,0,0.1,0,0.1,0.1,0,,,,
IRN,,0.3,,,,,,,,,0.2,0.3,0.2,0.3,,,,
IRQ,,,,,,,,,,0.1,,0.3,0.7,0.7,,,,
IRL,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.4,0.4,0.3,0.3,0.2,,,,
ISR,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.2,0.3,0.3,0.4,,,
ITA,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.3,,,,
JAM,,,,,,,,,,,,,,0.4,0.4,0.4,0.4,0.3
JPN,,,,,,,,,0.2,0.2,0.2,0.2,0.1,0.1,,,,
JOR,,,,,,0.6,0.4,0.2,0.3,0.5,0.6,0.5,0.4,0.6,0.6,,,
KAZ,,,,,2.4,,1.3,1.4,1.3,1.6,1.5,1.3,1.4,1.3,,,,
KWT,,,,,,,,,,,0,,,,,,,
KGZ,,0.6,0.6,0.6,0.7,0.6,0.4,0.8,0.9,1.1,0.9,0.7,,,,,,
LAO,0,,,,,,,,,,,,,,,,,
LVA,,1.1,1,1.5,1.3,1.3,0.7,0.9,1,1.5,1.3,1,0.8,0.7,,,,
LSO,,,0.2,,0.6,,,,,,,,,,,,,
LTU,,,1.6,1.4,1.4,1.5,0.9,0.6,1,0.9,0.8,1.1,0.9,0.9,,,,
LUX,0,0.2,0.3,0.2,0.3,0.3,0.1,0.3,0.3,0.1,0.1,0.2,0.1,0.1,,,,
MKD,,,,,,,,0.9,0.9,1.1,1.1,1,1.1,1,,,,
MDG,,,,,,,,,0,,0.1,,,,,,,
MYS,,,,,,,0.2,0.2,0.3,0.2,0.2,0.3,0.2,0.3,0.2,,,
MDV,0.4,,,,,0.4,,,0.3,,,0.4,,,,,,
MLI,,,,,,,,,,0,,,,,,,,
MLT,,,,,,0.7,0.9,0.4,0.4,0.9,0.4,0.4,0.4,0.4,,,,
MUS,0.2,,,,,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.4,0.3,,,,
MEX,0.1,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,,,,
