ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,0.7,,1,0.8,,,,,,,,
ATG,,,,,,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,,,,
ARG,0.5,0.5,0.4,0.4,0.5,0.6,0.4,0.3,0.4,0.4,0.5,0.6,0.6,0.5,0.6,0.6,0.6,
ARM,,,,,,,,0.9,0.9,0.8,0.9,0.5,0.5,0.5,0.3,,,
AUS,2.4,2.2,2.2,2.3,2.2,2.2,2.2,2.2,2.3,2.3,2.5,2.4,2.4,2.4,,,,
AUT,1.9,1.4,1.3,1.6,1.6,1.6,1.9,1.7,1.6,2.1,2.1,2.1,2.2,2.4,,,,
AZE,,,,,1.1,1.1,1.1,1,1.1,1.5,1.6,1.6,1.6,1.7,,,,
BHS,0.7,0.7,1,1.4,1.1,,1.8,0.8,1.1,1.1,1,1.5,1.7,1.2,1.2,,1.6,
BHR,,,,,,,0.7,,,0.8,,,,,,,,
BGD,,,,,,,,,1,,0.9,,,,,,,
BLR,,,,,,,,,,,,,,,2.7,,,
BEL,1.1,1.1,0.9,1.1,1.4,0.8,1.3,1.2,1,0.8,1.2,1.1,1.2,1.3,,,,
BLZ,0.5,0.7,0.7,0.2,0.6,,,,,,0.5,,,,,,,
BTN,,,,,,,,,0.2,,2.9,0.6,,,0.1,0.5,0.5,0.4
BOL,0.4,0.3,0.6,,0.2,0.6,0.4,0.7,,0.5,1.1,0.1,0.3,,,,,
BWA,,8.3,,2,,2.8,4.9,,2.9,,,1.7,,,,,,
BRA,,,,,,0.7,,0.5,0.4,0.4,0.4,0.5,0.5,0.6,0.5,,,
BRN,,,,,,,1.5,,,,,,,,,,,
BGR,,,,,,1.7,1.6,1.5,1.1,1.2,1.1,1.2,1.6,,,,,
BFA,,,,,,,,,0.1,,0.1,,,,,,,
BDI,,,,0,,,,,,,,,,,,,,
KHM,,,,0.2,,0.3,0.3,,,,,,,,,,,
CAN,1.3,1.2,1.2,1.3,1.2,1.2,1.2,1.2,1.3,1.4,1.4,1.6,1.7,1.8,,,,
CHL,,,,,,,,0.8,,,,,,,,,,
CHN,,,,,,,,,3.1,3.1,3.1,3.1,3.1,,,,,
COL,,,,,,,,0.5,0.3,0.4,0.3,,0.5,0.4,,,,
