ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,0.5,,0.5,0.8,,,,,,,,
ATG,,,,,,,16.8,18,18,18,18,18,18,18,,,,
ARG,3.1,2.7,2.7,3,3.3,3.4,3.5,3,2.5,3.9,3.5,3.9,3.7,3.7,3.9,4.1,4,
ARM,,,,,,,,0.2,0.5,0.4,0.6,0.8,0.8,1.6,1.5,,,
AUS,6.1,6,6.2,6.1,6.1,6.4,8.8,8.7,8.6,8.5,8.6,8.3,8.3,8.1,,,,
AUT,7.9,7.9,8.4,8.4,8.4,8.4,8,8.1,8.4,8.5,8.9,8.8,9.1,8.7,,,,
AZE,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.6,0.6,0.6,,,,
BHS,19.3,19.7,19.1,18.4,20.1,,19.8,19.9,21,19.1,22.8,19.7,19.4,19.3,19.2,,18.6,
BHR,,,,,,,3.2,,,3.4,,,,,,,,
BGD,,,,,,,,,0.3,,0.5,,,,,,,
BLR,,,,,,,,,,,,,,,1.9,,,
BEL,4.3,4.1,4.1,4.1,4,4.1,3.8,4,3.5,3.7,3.8,3.6,3.8,3.5,,,,
BLZ,10,8.1,11.1,12.8,13.7,,,,,,16.3,,,,,,,
BTN,,,,,,,,,0.9,,2.1,3.3,,,0.9,1.5,2.1,2.1
BOL,9.8,10.4,10.9,,6.7,6.9,6.7,8.4,,10.2,7,6.8,6,,,,,
BWA,,4.8,,4.3,,3.5,4.7,,5,,,4.2,,,,,,
BRA,,,,,,5.8,,4.4,4.3,4.3,4.4,4.6,4.5,4.9,4.8,,,
BRN,,,,,,,5.5,,,,,,,,,,,
BGR,,,,,,6.2,5.4,6.1,6.2,5.9,6.6,6.7,6.9,,,,,
BFA,,,,,,,,,0.4,,0.4,,,,,,,
KHM,,,,0.4,,0.4,0.2,,,,,,,,,,,
CAN,7.7,8,8.3,8.2,8.2,8.2,8.1,8.3,8.2,8.2,7.9,7.9,8,7.9,,,,
CHL,,,,,,,,4.1,,,,,,,,,,
CHN,,,,,,,,,2.3,2.3,2.3,2.2,2.2,,,,,
CRI,,7.6,8.2,7.8,8.2,7.9,8.4,8.5,8.9,8.9,9,8.5,9.1,8,,,6.6,
HRV,,5.7,6.2,6.1,5.8,5.6,6.3,6.7,6.9,6.7,6.4,7,6.8,6.4,,,,
CYP,,,,,12.9,11.5,10.9,10.5,10.9,11.4,9.9,8.2,7.9,7.8,,,,
CZE,4,4.1,4.3,4.6,4.3,4.4,4.3,4.6,4.6,4.5,4.7,4.9,4.8,4.5,,,,
DNK,3.7,3.6,3.6,3.5,3.1,2.8,3,2.9,3.2,3.1,3.3,3.3,3.3,3.3,,,,
DOM,,8.5,8.1,,,8.9,,,8.1,8.4,9.4,9.4,9.7,,,,,
ECU,,,,,8.6,6.5,6.9,6.2,,6.9,7.7,8.7,,,,,,
EGY,,0.5,0.4,1.1,1.4,0.4,1.7,1.5,0.4,0.4,0.2,0.4,0.3,0.2,,,,
SLV,0.7,,6.6,,,,,,,,,,,,,,,
EST,4.2,4.3,3.9,3.8,3.6,5.5,5,4.7,4.7,4,5.6,5.6,5.8,5.9,,,,
ETH,,,,,,,,,,16.5,4.6,15.4,,,,,,
FIN,4.3,4.5,4.6,4.7,4.8,4.9,5.1,5.2,4.9,4.7,4.7,4.8,5.2,5.4,,,,
FRA,3.7,3.5,3.6,3.5,3.5,3.5,3.7,3.5,3.3,3.5,3.4,3.8,3.7,3.4,,,,
GEO,,,,0.9,0.8,0.9,1.3,1.1,1.1,1.3,1,1.5,1.3,,,,,
DEU,4,4.3,4.5,4.2,4.3,4.5,4.3,4.4,4.3,4.3,4.5,4.7,4.8,4.8,,,,
GHA,,,,,,,,,,,,3.1,,,,,,
