ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,,,,,,,,,,29.3,34.9,33.4,36.6,,
DZA,,,,,,,59.2,,63.8,49.5,,,,,66.2,63.8,73.2,
ATG,,,,,,,87.3,93.8,93.8,93.8,93.8,93.8,93.8,93.8,,,,
ARG,84.4,87.2,88,89,88.8,89.2,88.9,89.7,87.1,87.2,88,88.5,88.6,88.8,89.4,89.7,88.9,89.7
ARM,,,,,,,,46.1,46.6,45,43.8,44.5,43,46.8,48.9,47,48,
AUS,85,85.3,85.4,86,86.3,86.1,86.5,86.9,87.4,87.5,87.8,88.1,88.3,88.4,,,,
AUT,75,76.4,78.1,78.4,79,79.8,80.1,80.9,81.2,81.5,81.6,80.9,81.2,82.4,83.4,83.5,82.5,82.8
AZE,,,,,44.6,46.4,50,53.1,53.5,53.7,54,54.3,53.1,52.9,50.3,49.4,49.7,49.9
BHS,93.3,92.7,92.4,93.2,93.3,,92.2,93.4,93.7,94.4,94.3,94.2,94.2,94.7,95.5,,93.7,
BHR,,,,,,,86,,,96.9,,,,,,89.7,,
BGD,,11,,,,12.1,,,23,,19.4,,,,,,,
BRB,70.8,69,73,70.7,73.1,72.6,73.3,73.7,74.7,78.2,,,,,,89.2,87.2,83.1
BLR,,,,,,,,,,,,,,,62.5,,,
BEL,84.3,84.6,84.7,85.7,86.6,87.1,87.2,86.4,87.3,87.6,87.2,87.9,87.6,88.7,89.3,89,89.4,90.7
BLZ,84,83.7,78.2,83.3,82.5,,,,,,85.5,,,,,,,
BEN,,,,,,,,,57.5,,,,,,,,,
BTN,,,,,,,,,10,,31.6,22.4,,,18.8,28,23.7,17.7
BOL,82.7,80.2,79.2,,50.9,54.5,50.5,52.5,54.3,54.2,50,50.5,52.5,54.8,56.7,,,
BIH,,,,,,,,,,,,60.1,60.6,59.3,57.9,60.8,62.7,60.7
BWA,,69.4,,69.6,,67.4,75.8,,70.6,,,64.9,,,,,,
BRA,68.2,70.7,70.3,71,70.1,,73.9,70.7,71.1,71,70.6,71.9,72.8,73.3,74.6,,77.1,
BRN,,,,,,,88.4,,,,,,,,,,,
BGR,,,,,,61.7,63.8,62.8,63.4,62.7,64,65.6,65.4,65.4,67.7,69.9,71.3,70.6
BFA,,,,,,,,,10.4,,10.2,,,,,,,
BDI,,,,2.7,,,,,,,,,,,,,,
KHM,,,,13.4,,15.5,18.1,,,,,,,15.9,26,29.1,26,29.1
CMR,,,,,,,21.8,,,,,,,,,29.7,,
CAN,86.6,86.8,86.6,86,86,86.9,87.3,87.2,87.4,87.5,87.9,87.9,88.3,88.7,,,,
CHL,80.1,79.8,81.2,81.6,82.8,83.2,82.5,83.3,83.4,82.3,82.7,82.9,83.5,83.1,84.1,84.6,84.5,
COL,75.1,75.1,77.9,78.4,79.4,79.5,76.2,77.7,76.4,76.9,74.9,75.8,78,79,77.8,77.4,77.4,76.3
COG,,,,,,,,,,,38.7,,,,,,,
CRI,72.2,75.1,76.1,75.9,77.4,77.4,77.9,79.7,80.2,81.5,81.5,81.5,80.9,81.8,81.8,83.1,84.2,84.6
HRV,,57.7,59.7,60.5,60.5,64.6,63,65.1,63.5,63.9,62.9,67.1,67.1,67,68.4,69.2,67.8,69.4
CUB,70.6,70.6,70.6,71.9,71.9,71.9,75.1,75.1,75.1,76,77.4,77.8,79.1,79.6,80.1,80.1,79.3,
CYP,71.2,,,,82,82.3,83.4,83.5,84.7,85.3,86,86.8,87.9,87.5,87.3,88,89,89.6
CZE,63.6,64.8,66.5,67,68.1,68.8,68.4,69,69.8,70.4,70.8,70.2,70.7,71,73.7,74.9,74.2,74.7
DNK,82.4,82.8,83.4,83.4,83.8,84.7,85.2,86.3,86.4,85.5,86.6,86.1,86.4,86.7,88.7,89.8,89.6,89.3
DMA,,,72,,72.1,,81.5,,,,,,,,,,,
DOM,77.9,75.6,76.8,75.4,76.8,77.4,81.3,82.7,81.9,81.8,80.7,82.5,83.4,82.5,83.4,60.1,87.9,
ECU,83.2,84.1,82.7,84,82.6,65.4,58.5,,64.5,59.9,63.3,62.3,64.8,66.5,66.5,67.5,67.6,67.5
EGY,48.3,,51.4,55.6,56.9,53.7,58,61.9,54.7,47.5,48.4,50.6,47.2,48.8,48.8,51.2,51.5,
SLV,66.4,67.9,72.2,68.5,70.9,71.9,73.8,73.7,74.2,75,75.1,76.2,75.8,74.6,76.8,76.2,74.6,76.5
EST,65.7,67.4,69.5,69.5,70.5,72.1,73.7,74.6,73.5,71.1,72.9,75.7,75.6,75.1,77.7,78.9,78.2,79.6
ETH,,,,,,,,,,16.5,16,,,,,,,
FIN,79.8,80.5,81.1,81.1,81.3,81.8,82.1,82.7,83.7,84.3,84.4,85.2,85.7,86.4,86.8,86.8,87.8,88.1
FRA,81.1,82,82.1,82.5,82.6,83,83.2,83.8,84.3,84.6,85.3,85.8,86.1,86.7,87.3,87.5,87.1,87.4
GAB,,,,,,,,,,,63.8,,,,,,,
GEO,,,,43.3,40.9,38.2,41.2,41.2,38.9,39.4,38.4,38.7,39.6,,,,,
DEU,76.7,77.9,78.5,78.7,79.1,79.6,80,80.4,81.2,81.3,82.2,82.3,82.3,83.6,84.2,84.4,84.5,84.7
GHA,,,,,35.6,,,,,,,33,,,,48.8,,
GRC,62.1,62.4,63.5,67.2,67.8,68.2,70.6,71.5,72,75.3,76.2,76.9,77.7,78.8,79.3,79.4,79.8,79.6
GRD,,73,,76.6,,,,,,,,,,,,,,
GTM,,,,58.5,,57,,55.6,56.3,64.4,,63.3,,,,61.8,64.8,71.8
GUY,,,60.8,,,,60.8,77.7,,,,,,,,,,
HTI,,,,,56.7,,,,,,,,,,,,,
HND,64.9,63.6,65.7,65.7,66.5,,67.6,64.7,65.9,68.9,63.4,67,68.1,68.2,67.9,66.7,69.8,
HUN,70.6,70.3,70.6,70.3,71.1,71.4,71,71.5,73.8,74.8,76.1,76.3,76.3,76.8,78,78.1,77.6,78
ISL,81.1,81,80.8,80.1,83.4,84.5,85.4,85,86.3,86,86.4,87.7,89.1,89,88.6,89.7,89.8,90.3
IND,,,,,,13.7,,,,,14.7,,,,,17,,19.5
IDN,40.1,39.1,41.7,40,42.6,38.3,39.4,38.8,37.3,41.2,39.7,43.5,43.5,45.3,46.3,,,
IRN,,45.7,,,,,,,,,38,37.3,37.8,41.9,,,,
IRQ,,,,,,,,,,60.1,,36.1,55.6,45.6,,,,
IRL,79.6,81.5,81.7,82.9,84.2,84.7,84.8,85.7,86.9,87.6,85.7,86.8,87.5,88.3,89.2,89.8,90,89.8
ISR,83.5,83.7,84.3,85.5,85.8,86.4,87,87.4,87.9,87.5,88,88.4,88.1,87.8,88.8,,,
ITA,70.9,72,72.9,73.4,74.4,75.1,75.2,76,76.4,78.9,79.3,79.9,80.5,81.2,82.4,83.1,83.1,83.5
JAM,75.8,76.9,79.7,81.5,83.3,84.1,84.2,83.2,84.7,85.7,86,86.8,85.7,82.9,83.1,83.6,85.4,85.6
JPN,68.1,68.7,69.3,70.9,71.7,72.4,73.4,74.6,74.9,76,76.8,76.9,77.7,78.4,79.8,80.4,,
JOR,,,,,,84.8,84.2,86.7,85.8,85.5,86.7,87.4,88.6,89,88.1,89.7,90.9,91.3
KAZ,,,,,68,,56.1,55.6,55.8,57.6,57.8,58.2,58.3,59.3,,,,
KEN,,,,,,,,,,,29.7,,,,,,,
KIR,,,,,,95.8,,,,,,,,,,,,
KSV,,,,,,,,,,,,,,,,,,84.7
KWT,,,,,,,,,,,96.9,,,,,,,
KGZ,,41.8,41.2,40.8,38.4,38,38.1,43.9,47,50.4,52.3,53.9,,,,,,
LAO,7.9,,,,,,,,,,,,,,,,,
LVA,,66.1,61.8,64,67.4,69,69.9,70.8,71.2,71.1,74.8,74.8,76,77.6,78.1,80.2,80.6,81
LSO,,,41.5,,25.3,,,,,,,,,,,,,
LBR,,,,,,,,,,,,,12.7,,,46.8,,
LTU,,,60.6,62.1,63.3,64.6,66.5,65,63.9,66.3,67.8,70.3,72.4,74.9,75.2,76.5,76.9,77.2
LUX,88.2,91.4,92.2,91.4,91.1,91.9,91.9,92.2,91.8,91.7,93,93.6,93.4,92.5,93.2,90.1,92.3,93.2
MKD,,,,,,,,45.7,47.1,55.1,50.9,50.4,54,52.3,,,55.8,57.9
MDG,,,,,,,,,14.6,,17.1,,,,,,,
MYS,51.8,53.4,56,56.7,57.8,57,58.3,61.1,62.1,64.6,65.4,65.2,67.3,68.3,71,70.5,72,71.5
MDV,44.2,,,,,39,,,55.7,,,56.1,,,,,,
MLI,,,,,,,,,,55.4,,33.3,,,,,,
MLT,,,,,,74.3,76.5,74.5,80.1,81.2,82.8,83.8,86,88.3,87.4,86.3,86.1,88.4
MHL,,,,,67.7,,,,,,,,,,,,,
MUS,43.8,45.2,46,46.1,46.7,46.3,47.4,50.9,53.8,60.5,62.3,64.4,66.1,67,68.3,70.4,72.7,73.4
MEX,74.3,72,69.3,71.4,69.8,70.6,71.8,72.9,74.7,74.6,75.8,76.4,77.1,77.5,77.1,77.5,79.8,
