ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,0.2,,0.1,0.1,,,,,,,,
ATG,,,,,,,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,,,,
ARG,0.1,0,0,0.1,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0,0,
ARM,,,,,,,,,,,,,,0.3,0.2,,,
AUS,0,0,0,0,0,0,,,,,,,,,,,,
AUT,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,,,,
AZE,,,,,0,0,0,0,0,0,0,0,0,0,,,,
BHR,,,,,,,0.8,,,,,,,,,,,
BEL,0.4,0.5,0.5,0.6,0.9,0.7,0.7,0.2,0.3,0.3,0.8,0.6,0.8,0.8,,,,
BLZ,0.6,1,0.5,0.5,0.3,,,,,,0.8,,,,,,,
BTN,,,,,,,,,,,,0,,,0,,,0.1
BOL,0.2,0.1,0.1,,0,0.1,0,0.1,,0.1,0,0,0.1,,,,,
BWA,,0,,0.1,,0,0.2,,0,,,0.2,,,,,,
BRA,,,,,,0,,0,0,0,0,0,0,,,,,
BFA,,,,,,,,,0,,0,,,,,,,
KHM,,,,0.1,,0.1,0.1,,,,,,,,,,,
CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CHL,,,,,,,,0.1,,,,,,,,,,
CRI,,0.2,0.2,0.2,0.2,0,0.1,0.1,0.1,0.3,0.2,0.3,0.1,0.2,,,0.2,
HRV,,0,0.4,0,0,0,0,0.1,0,0,0,0,0,0,,,,
CYP,,,,,0.6,0.7,0.6,0.6,0.5,0.4,0.7,0.6,0.4,0.4,,,,
CZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
DNK,0.1,0,0,0,0.1,0,0.1,0.1,0.1,0,0,0.1,0,,,,,
DOM,,0.1,0,,,0,,,0,0,0,0.1,0.1,,,,,
ECU,,,,,0,0,0.1,0,,0,0,0.1,,,,,,
EGY,,,,0,0,0,0,0,0,0,0,0,0,0,,,,
SLV,,,0,,,,,,,,,,,0,,,,
ETH,,,,,,,,,,0.3,0.2,0.5,,,,,,
FIN,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,,,,
FRA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,
GEO,,,,0.1,0.1,0,0.1,0,0.1,0.2,0,0.2,0.2,,,,,
DEU,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,,,,,,,
GHA,,,,,,,,,,,,0,,,,,,
GTM,,,,0.3,,,,,,,,0.3,,,,,,
GUY,,,0.4,,,,,0.4,,,,,,,,,,
HUN,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,,,,
ISL,0.3,0.5,0.3,0.1,0.1,0.3,0.3,0.4,0.3,0.1,0.3,0.1,0.4,0.1,,,,
IND,,,,,,0,,,,,0,,,,,0,,
IDN,,,,,,0,0,0,0,0,0,0,0,0,,,,
IRN,,0,,,,,,,,,0,0,0,0,,,,
IRQ,,,,,,,,,,0.1,,0.1,0,0.1,,,,
IRL,0.1,0.1,0.1,0,0,0,0.1,0,0,0,0.1,0.1,0.1,0,,,,
ISR,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0.1,0,0.1,,,
ITA,0.1,0.1,0.1,0.1,0,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,
JAM,,,,,,,,,,,,,,0.7,0.4,0.5,0.2,0.3
JOR,,,,,,0.4,0.2,0.6,0.7,0.3,0.6,0.3,0.6,0.5,0.5,,,
KAZ,,,,,0,,0,0,0,0,0,0,0,0,,,,
KWT,,,,,,,,,,,0.1,,,,,,,
KGZ,,,,,,,,0,0.1,0,0.1,0.1,,,,,,
LVA,,,,,0,0,0,0,0,0,0,0,0,0,,,,
LSO,,,0.1,,0,,,,,,,,,,,,,
