ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,0,,0,0.2,,,,,,,,
ATG,,,,,,,6.9,,,,,,,,,,,
ARG,0.5,0.4,0.5,0.3,0.3,0.4,0.5,0.4,0.5,0.3,0.3,0.2,0.4,0.5,0.4,0.4,0.6,
AUS,0,0,0,0,0,0,,,,,,,,,,,,
BHS,0.3,0.3,0.3,0.4,0.3,,0.3,0.6,0.1,0,0.2,0.3,0.2,0.3,0.3,,0.4,
BHR,,,,,,,0.5,,,,,,,,,,,
BLR,,,,,,,,,,,,,,,5.7,,,
BLZ,,,,,,,,,,,0.2,,,,,,,
BOL,0,0,0,,,,0,,,,,,,,,,,
BWA,,0.1,,1.8,,1.3,0.9,,0,,,0,,,,,,
BRA,,,,,,1.2,,0.1,0.1,0.1,0,0,0.1,0.1,0,,,
BGR,,,,,,0.5,,,,,,,,,,,,
CHL,,,,,,,,0,,,,,,,,,,
CHN,,,,,,,,,3.2,3.3,3.3,2.8,3.5,,,,,
COL,,,,,,,,0.1,0,0,0,,0,0.1,,,,
CRI,,0.6,0.6,0.7,0.5,0.6,0.3,0.2,0.4,0.1,0.2,0.3,0.4,0.3,,,0.1,
CZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
DNK,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0,0,0,0,,,,,
ECU,,,,,0,0,0.8,0,,0,0,0,,,,,,
EGY,,1.3,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,,,,
SLV,,,0.5,0.2,0.1,0,0,0.1,0,0,0,0,0,,0.1,0,0,0
EST,0,0,0,0,,,,,,,,,,,,,,
ETH,,,,,,,,,,0.1,0,0.1,,,,,,
FIN,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.2,0.2,0.5,,,,
FRA,0.1,0,0,0,0,0,0,,0.6,0.2,0.4,0.2,0.2,0.7,,,,
GEO,,,,0.1,0.1,0.3,0.1,0,0.1,0.1,0,0,0,,,,,
GUY,,,2.5,,,,,3,,,,,,,,,,
HUN,0,0,0,0,,,,,,,,,,,,,,
ISL,0,0,0.2,0,0.1,0.1,0.3,0.1,0,0.1,0,0,0.1,0.1,,,,
IDN,,,,,,0,0,0,0,0,0.1,0,0.1,0.1,,,,
