ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,21.2,,22.7,20,,,,,,,,
ATG,,,,,,,2.7,2.9,2.9,2.9,2.9,2.9,2.9,2.9,,,,
ARG,0.8,0.9,1,1,1,0.8,1.1,1.2,1.6,1.2,1.3,1.3,1.2,1.6,1.7,1.7,1.7,
ARM,,,,,,,,47.6,48.3,48.8,46.1,46.2,43.5,30.6,34,,,
AUS,5.7,5.9,6,5.8,5.8,5.8,5.6,5.2,4.6,4.3,4.3,4.2,4,4,,,,
AUT,6.6,6.4,6.1,5.9,5.6,5.5,5.3,5.3,5.3,4.8,5.5,5.4,5.6,5.5,,,,
AZE,,,,,37.5,36.3,37.3,40.8,40.8,40.8,41,41.2,39.4,36.7,,,,
BHS,7.3,8.1,6,6,6.7,,6.8,5.6,5.3,8.2,6.4,4.4,4.2,4.9,5.1,,5.6,
BHR,,,,,,,0.9,,,1,,,,,,,,
BGD,,,,,,,,,46.8,,39.3,,,,,,,
BLR,,,,,,,,,,,,,,,13.1,,,
BEL,3.1,3.1,3,2.7,2.7,2.4,1.7,2.3,2.2,2.7,2.4,2.5,2.3,2.4,,,,
BLZ,36.2,38.4,40.3,34.1,36.9,,,,,,25.7,,,,,,,
BTN,,,,,,,,,71,,32.6,56.2,,,59.1,54,53.3,48.7
BOL,3,6.3,6.9,,36.5,37.4,42.8,42.1,,34.5,37.7,39.2,33.8,,,,,
BWA,,19.6,,26.2,,21.9,16.8,,28.6,,,35.1,,,,,,
BRA,,,,,,22.5,,22.9,23.3,23.8,22.9,21.8,20.9,20.6,20.5,,,
BRN,,,,,,,1.6,,,,,,,,,,,
BGR,,,,,,15.3,12,12.9,13.5,12.7,10.6,9.8,9.1,,,,,
BFA,,,,,,,,,82.7,,82.2,,,,,,,
BDI,,,,86.6,,,,,,,,,,,,,,
KHM,,,,69.6,,68,63.8,,,,,,,,,,,
CAN,5.1,5,4.8,4.7,4.4,4.2,3.6,3.5,3.6,3.4,3.4,3.3,3.2,3,,,,
CHL,,,,,,,,12.9,,,,,,,,,,
CHN,,,,,,,,,4.5,4.3,4,3.7,3.6,,,,,
COL,,,,,,,,29.2,29.3,28.3,30.4,,25.4,25,,,,
CRI,,27.6,26.5,26.3,26.2,26.6,21.2,21.3,20.3,19.7,20,18.6,17.2,16.7,,,19.5,
