ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,2.1,,1.4,2,,,,,,,,
ATG,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,
ARG,0,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.5,0.6,0.4,0.6,0.6,0.6,0.5,0.6,0.7,
ARM,,,,,,,,1.1,1.2,0.9,1,1.1,1.3,1.8,1.2,,,
AUS,1.5,1.5,1.4,1.4,1.3,1.2,1.2,1.2,1.3,1.4,1.7,1.8,1.8,1.9,,,,
AUT,0.4,0.4,0.3,0.5,0.5,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.3,0.4,,,,
AZE,,,,,1.5,1.5,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.7,,,,
BHS,2.1,1.9,1.9,1.7,1.8,,2.4,2.5,1.9,2.3,1.9,2.3,2.6,2.6,2.5,,2.3,
BHR,,,,,,,1.1,,,0.1,,,,,,,,
BGD,,,,,,,,,0.2,,0.1,,,,,,,
BLR,,,,,,,,,,,,,,,0.7,,,
BEL,0.5,0.4,0.4,0.4,0.4,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,,,,
BLZ,0.4,0.2,0.2,0.5,0.5,,,,,,0.3,,,,,,,
BTN,,,,,,,,,0.2,,1.4,0.1,,,0.1,0.4,0.5,0.2
BOL,2.4,3.6,4.1,,2.3,2.4,2.3,1.7,,3.8,2.5,2,2.7,,,,,
BWA,,6.7,,4.7,,3.7,4.5,,4.6,,,4.4,,,,,,
BRA,,,,,,0.5,,0.5,0.6,0.6,0.6,0.6,0.7,1.2,1.3,,,
BRN,,,,,,,3.7,,,,,,,,,,,
BGR,,,,,,2.2,2.3,2.2,2.1,2,1.9,1.9,1.7,,,,,
BFA,,,,,,,,,0.6,,0.3,,,,,,,
KHM,,,,0.1,,0.1,0.3,,,,,,,,,,,
CAN,2,2,2.1,2,1.7,1.7,1.9,1.7,1.8,1.8,2,2.2,2.3,2.4,,,,
CHL,,,,,,,,2,,,,,,,,,,
CHN,,,,,,,,,5.4,5.6,5.6,5.7,5.7,,,,,
COL,,,,,,,,2.2,1.6,1.7,1.1,,0.9,1.3,,,,
CRI,,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.1,,,0.1,
HRV,,0.8,0.7,0.9,0.9,0.8,0.9,1,1,1,1,0.7,1,0.9,,,,
CYP,,,,,,0.4,0.3,,,,0.4,0.3,,,,,,
CZE,3,2.7,2.7,2.6,2.5,2.2,2,1.9,1.7,2,1.6,1.8,1.7,1.7,,,,
DNK,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0,0.3,0.3,0,0,,,,
DOM,,0.4,0.4,,,0.3,,,0.4,0.2,0.3,0.1,0.2,,,,,
ECU,,,,,0.5,0.9,0.8,0.9,,0.6,0.5,0.6,,,,,,
EGY,,0.4,0.3,0.4,0.3,0.3,0.4,0.3,0.2,0.2,0.2,0.3,0.2,0.2,,,,
SLV,0.1,,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.1,0.3,0.2,0.1,0.1,0.1,0.1
EST,2.4,2.3,1.8,2.1,2.2,2,1.5,1.7,1.7,2.2,1.8,1.5,1.5,1.6,,,,
ETH,,,,,,,,,,0.6,0.3,0.6,,,,,,
FIN,0.4,0.3,0.4,0.4,0.3,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.3,0.3,,,,
FRA,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.2,0.1,0.2,,,,
GEO,,,,0.5,0.6,0.6,0.6,0.4,0.2,0.4,0.6,0.3,0.5,,,,,
DEU,1.1,0.9,0.9,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,,,,
GHA,,,,,,,,,,,,1.1,,,,,,
GRC,0.6,0.7,0.7,0.7,0.8,0.7,0.7,0.8,0.5,0.5,0.6,0.6,0.6,0.6,,,,
GTM,,,,0.3,,,,,,,,0.2,,,,,,
GUY,,,3.2,,,,,5.2,,,,,,,,,,
HUN,1.4,1.3,1.2,1,0.9,0.7,0.5,0.6,0.5,0.5,0.6,0.6,0.6,0.4,,,,
ISL,0,0.1,0.1,0.1,0.4,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,,,,
IND,,,,,,0.7,,,,,0.8,,,,,0.9,,
IDN,,,,,,0.7,1.4,0.9,1.1,1.4,1.2,1.3,1.4,1.5,,,,
IRN,,0.9,,,,,,,,,0.7,0.8,0.7,0.7,,,,
IRQ,,,,,,,,,,0.3,,0.8,1.3,0.5,,,,
IRL,0.6,0.6,0.7,0.5,0.6,0.6,0.7,0.7,0.6,0.6,0.7,0.8,0.8,0.8,,,,
ISR,25.7,25,24.6,24.2,0.5,0.4,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,,,,
ITA,0.5,0.4,0.4,0.5,0.5,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.2,0.2,,,,
JAM,,,,,,,,,,,,,,1.2,0.7,0.5,0.6,0.7
JPN,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,,,,
JOR,,,,,,1.8,1.7,1.2,1.4,1.3,1.2,0.9,0.8,0.8,1,,,
KAZ,,,,,5.6,,3.6,3.8,3.9,3.9,3.7,3.5,3.6,3.7,,,,
KWT,,,,,,,,,,,2.3,,,,,,,
KGZ,,0.8,0.8,0.7,0.8,0.8,0.7,0.7,1,1.1,0.9,0.9,,,,,,
LAO,0.1,,,,,,,,,,,,,,,,,
LVA,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
LSO,,,3.1,,0.7,,,,,,,,,,,,,
LTU,,,19.2,0.2,0.2,0.2,0.3,0.4,0.5,0.4,0.3,0.5,0.6,0.5,,,,
MKD,,,,,,,,1.9,0.6,0.8,1,1,1.3,1.7,,,,
MDG,,,,,,,,,0.1,,0.2,,,,,,,
MYS,,,,,,,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.7,0.8,,,
MDV,0.7,,,,,0.8,,,0.4,,,0.4,,,,,,
MLI,,,,,,,,,,0.6,,4.7,,,,,,
MUS,0.6,,,,,0.4,0.4,0.4,0.1,0,0.1,0.1,0.1,0.1,,,,
MEX,0.6,0.5,0.4,0.6,0.5,0.6,0.5,0.5,0.5,0.6,0.7,0.6,0.6,0.6,,,,
MNG,3.3,3.1,3.5,3.2,3.2,3.1,3.3,3.9,3.8,5,5.4,5.4,3.8,,,,,
MNE,,,,,,,,,2.9,,0.8,,,,,,,
MAR,,,,,,,,0.7,0.7,0.6,0.6,0.5,11.9,12,,,,
NAM,,,2.8,,,1.4,,,,2.7,,,,3.9,,2.5,,
NPL,,,,,0.1,,0.2,,,,,,,,,,,
NLD,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,,,,
NZL,0.4,0.5,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.3,,,,
NIC,,,,,,,,,0.3,0.4,0.3,0.5,,,,,,
NIU,,,,,,,4.1,,,,,,,,,,,
NOR,2.1,2,1.9,2.3,2.2,2.3,2.4,2.5,2.3,2.1,2.4,2.3,2.5,2.5,,,,
OMN,,3.3,,,,3.2,,,,,,,,,,4.8,,
PAN,0.2,0.2,0.3,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.3,0.4,0.3,0.3,0.3,,
PRY,,,,,,,,,,,,,0.5,0.4,,,,
PER,,2.3,1.2,1.5,0.7,1.2,1,1.3,1.2,1.7,1.6,1.8,1.8,1.8,,,,
PHL,,,,,,,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.7,,,
POL,4.9,4.5,4.1,4,3.4,3.1,3,3,2.9,2.6,2.6,2.6,2.6,,,,,
PRT,0.6,0.7,0.6,0.5,0.5,0.6,0.6,0.6,0.5,0.4,0.6,0.6,0.6,0.6,,,,
QAT,,,3.7,,,,4.6,,,4.5,,5.8,5.7,5.2,5.2,,,
KOR,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,,,,
MDA,,,,,,0.2,0.2,0.3,0.2,0.1,0.2,0.5,0.5,0.5,,,,
ROU,4,3.5,3.2,2.9,2.7,2.5,2.3,2.5,2.4,2.3,2,2,1.9,1.8,,,,
RUS,,,2.8,2.6,2.8,2.9,3.1,2.7,2.8,2.7,2.8,2.7,2.9,2.9,,,,
VCT,,,,,,,0.3,,,,,,,,,,,
WSM,,,,,,,,,,,,6.6,,,,,,
STP,,,,,,11.8,,,,,,,,,,,,
SAU,,,,,1.8,2,1.7,1.8,,,,1.6,1.5,1.5,1.2,,1.4,1.2
SEN,,,,,,,,,,,,0.6,,,,,,
SRB,,,,,,,,,,2,1.8,2,2,1.7,1.5,,,
SLE,,,,,,,,,,6,,,,,,,,
SGP,0,0,,,,,,,,,,,,,,,,
SVK,2.2,2.3,2.9,2.5,2.2,1.9,1.7,1.7,1.5,1.1,1.1,1.2,1.2,0.9,,,,
