ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,7.6,,7.1,7.6,,,,,,,,
ATG,,,,,,,5.1,5.5,5.5,5.5,5.5,5.5,5.5,5.5,,,,
ARG,23.7,19.5,20,19.1,17.5,17.1,16.9,16.3,16.1,17,17,17.4,17.7,17.4,16.4,17.2,17,
ARM,,,,,,,,12.3,11.9,11.8,12.4,12,11.9,7.7,8.1,,,
AUS,17.5,17.2,17.5,16.8,15.9,16.3,15.8,15.8,15,15,14.4,13.9,13.8,13.7,,,,
AUT,27.4,27,26.2,26.4,26.4,26.4,25.9,26.1,26,24.9,24.8,25.4,24.6,23.2,,,,
AZE,,,,,4.2,3.9,4,3.8,3.8,3.8,3.8,3.8,4,5.2,,,,
BHS,3.7,4,3.8,3.9,4.4,,4.4,5.2,5.1,4.7,5.8,5.8,4.5,4.5,4.9,,3.5,
BHR,,,,,,,18.5,,,6,,,,,,,,
BGD,,,,,,,,,7.6,,10.9,,,,,,,
BLR,,,,,,,,,,,,,,,24.7,,,
BEL,25.5,25.2,25.1,25.1,24.9,24.8,24.3,23.7,23.5,23.5,23,22.7,22.3,22.6,,,,
BLZ,11.2,11.3,10.3,10.5,8.7,,,,,,9.9,,,,,,,
BTN,,,,,,,,,1.4,,2.1,2,,,1.3,2.8,3.8,4.1
BOL,20.9,20.2,20.2,,12.4,11.6,10.3,12.8,,12.1,12.5,11.2,12.9,,,,,
BWA,,7.5,,9.1,,7.4,6.7,,7.5,,,5.7,,,,,,
BRA,,,,,,14.7,,14.6,14.6,15,15.2,15.2,15.9,15.6,14.9,,,
BRN,,,,,,,9.1,,,,,,,,,,,
BGR,,,,,,23.2,22.9,22.3,21.5,22.1,22.9,22.7,21.8,,,,,
BFA,,,,,,,,,2.3,,2.1,,,,,,,
BDI,,,,2.7,,,,,,,,,,,,,,
KHM,,,,3.1,,4.5,5.6,,,,,,,,,,,
CAN,19,19.1,19.4,20.4,20.6,20.4,20,19.9,19.3,19.4,18.4,17.8,16.9,16,,,,
CHL,,,,,,,,14.3,,,,,,,,,,
CHN,,,,,,,,,24.8,25,25.6,26,26.3,,,,,
COL,,,,,,,,11.5,11.4,11.9,11.7,,13,12.8,,,,
CRI,,15.9,15.2,14.9,15.2,13.9,14.6,14.6,14.3,14.8,14.8,14.2,14,12.6,,,13.1,
HRV,,22.1,23.7,22.1,23.5,22.3,22.4,22.7,21.3,21.8,20.1,22.2,22.1,22.1,,,,
CYP,,,,,14.4,14,14.4,13.7,12.3,12,13.8,12.5,12.1,11.8,,,,
CZE,30,29.8,29.6,29.2,29.3,29.2,30.1,30.2,29.7,29.5,30,31.2,31.9,32.2,,,,
DNK,25,24.4,24.1,24.4,23.8,23,21.6,21.3,20.9,21,20,20,19.3,19.2,,,,
DOM,,18,17.3,,,16.1,,,15,16.1,15.4,14.6,14.8,,,,,
ECU,,,,,17,16.7,17.5,15.5,,14.7,15.5,15.2,,,,,,
EGY,,14.4,15,13.8,13.9,13.4,12.8,12.3,12.4,12.7,13.3,13.2,12.8,13.1,,,,
SLV,16,,13.8,14.8,15.3,14.9,14.8,14.5,15.1,13.8,13.6,13.8,14.4,14.8,13.2,13.8,13.5,13.7
EST,26.8,26.2,23.6,23,22.5,24.5,25.5,24.3,24.3,25.1,24.4,23,22,22.5,,,,
ETH,,,,,,,,,,14.6,2.6,15.2,,,,,,
FIN,26.5,26.6,26.3,26.2,26.2,26.4,26.2,26.3,25.4,24.7,24.5,24.6,24.7,24,,,,
FRA,23.5,23.3,23.7,24,24,24,23.7,23,21.6,21.4,21.1,21.1,20.5,20.2,,,,
GEO,,,,9.3,8.6,8.5,7.1,6.5,6,6.5,6.6,6,6.8,,,,,
DEU,30.9,30,30,30.4,30.2,30.2,30.3,30.5,30,30.2,28.9,28.7,29,29.2,,,,
GHA,,,,,,,,,,,,8.5,,,,,,
GRC,16.2,16,15.6,16.2,15.9,15.6,16,15.8,15.1,15.4,15.2,14.9,14.7,14.5,,,,
GTM,,,,13.1,,,,,,,,13.1,,,,,,
GUY,,,11.8,,,,,13.9,,,,,,,,,,
HUN,24.3,24.4,25,26.2,26.2,25.6,26.2,26.7,25.7,25.3,25.1,24.8,24.9,25.5,,,,
ISL,20,20.2,20.7,19.3,19,19.9,18.7,18.2,17.6,17.7,16.5,15.2,13.9,14.8,,,,
IND,,,,,,11,,,,,12.2,,,,,11.2,,
IDN,,,,,,12.1,12.2,12.1,11.2,11,11.4,11.3,11.3,11.2,,,,
IRN,,15.4,,,,,,,,,16.2,15.9,15.9,15.4,,,,
IRQ,,,,,,,,,,7,,6.5,7.8,5.5,,,,
IRL,21.1,21.1,21.9,21.5,21.2,20,20.3,19.2,19.3,18.1,17,16.1,15.9,15.6,,,,
ISR,,,,,23,22.9,22.3,21.3,21.1,20.7,20.5,20.5,20.3,20.1,19.8,,,
ITA,26.6,26.4,25.7,26.3,26.1,25.5,25.2,25.3,25.1,25.3,24.9,24.7,24.9,24.5,,,,
JAM,,,,,,,,,,,,,,8.4,7.8,7.6,7.9,8
JPN,,,,,,,,,21.6,21.3,21.3,21.6,21.9,21.8,,,,
JOR,,,,,,12.3,12.2,13.1,12.6,13,12,11.5,11.6,11.1,11.1,,,
KAZ,,,,,9.4,,9.6,9.3,8.7,8.9,9.1,9.2,9.2,9,,,,
KWT,,,,,,,,,,,5.7,,,,,,,
KGZ,,9.9,9.1,8.6,7.6,6.9,6.6,7.3,6.7,6.9,7.6,8,,,,,,
LAO,2.1,,,,,,,,,,,,,,,,,
LVA,,21.2,20.1,20.5,20,20.3,18.3,19.2,19.2,17.2,16.5,16.9,16.3,16.7,,,,
LSO,,,3.1,,2.3,,,,,,,,,,,,,
LTU,,,,19.5,18,18.8,17.4,18.4,17.9,17.7,17.9,18.2,17.8,18.8,,,,
LUX,18.3,17.6,18,17,16.7,15.9,15.6,13.8,13.7,13,12.2,11.9,11.3,9.4,,,,
MKD,,,,,,,,21.3,21.5,19.4,18.7,18.4,18.2,18.2,,,,
MDG,,,,,,,,,5.5,,4.2,,,,,,,
MYS,,,,,,,21.1,19.8,19.9,18.9,18.6,19.2,17.7,17.3,16.1,,,
MDV,9.1,,,,,7.5,,,9.4,,,9.7,,,,,,
MLI,,,,,,,,,,9.8,,,,,,,,
MLT,,,,,,22.9,21.3,21.7,20.2,22.1,21,19.1,18.4,17.9,,,,
MUS,22.8,,,,,21.6,21.6,21.4,20.6,18.5,17.7,18.3,18.1,17.5,,,,
MEX,16.1,16.3,16.4,17.7,18.3,18.7,18,16.9,16.6,17.1,16.4,16.4,16.4,16.2,,,,
MNG,8.1,8.5,8.5,8,8,7.7,7.1,5.7,4.7,5.7,4.6,4.4,5.6,,,,,
MNE,,,,,,,,,15.7,,16.1,,12.9,15.7,14.7,14.5,,
MAR,,,,,,,,10.3,10.4,10.3,10.2,10.5,,,,,,
NAM,,,6.5,,,5,,,,5.6,,,,6.7,,6.1,,
NPL,,,,,7.7,,8.1,,,,,,,,,,,
NLD,21.3,20.7,20.2,20.1,19.5,19,18.7,17.2,18,18,18.3,17.9,16.9,16,,,,
NZL,22.3,21.5,20.6,21.3,20.4,20.3,20.7,20.5,19.1,18.9,18.2,17.5,17.3,16.7,,,,
NIC,,,,,,,,,11.4,10.9,12.1,11.7,,,,,,
NIU,,,,,,,1.3,,,,,,,,,,,
NOR,20.3,20.3,20.8,20.2,19,18.1,17.5,17.8,17.6,16.2,16.4,16.5,16.4,16.2,,,,
OMN,,1.6,,,,3.9,,,,,,,,,,6,,
PAN,11.1,10.9,10.9,10.1,10.1,9.9,9.7,9.7,9.7,9.2,9.2,9.4,8.9,8.8,8.6,8.2,,
PRY,,,,,,,,,,,,,13.7,13.8,,,,
PER,,17.1,16.4,15.5,14,15.5,14.8,15.4,13.7,15.4,14.7,15.1,16,15.7,,,,
PHL,,,,,,,8.7,8.4,8.4,8.6,8.3,8.3,8.2,7.7,7.3,,,
POL,23.6,23.6,23.4,23.3,23.4,23.1,23.3,22.1,22.5,23.7,24.1,24.6,24.8,,,,,
PRT,23.4,22.7,22.4,24.1,22.7,22,21.6,21.1,20.7,20.8,20.3,20.3,19.8,19.3,,,,
QAT,,,9.9,,,,15.4,,,10.6,,13.7,9.8,8.3,9.6,,,
KOR,24.9,24.1,23.2,21.4,21.4,22.3,21.8,21,21,21.2,21.2,20.8,19.9,19.6,,,,
MDA,,,,,,9.4,9.6,9.8,10.2,10.8,10.4,11,10.5,10.8,,,,
ROU,23.3,23.4,23.1,21.8,20.7,19.4,18.6,20.9,21,21.5,20.8,20.3,20.6,20.3,,,,
RUS,,,20.6,20.1,20,20.6,21.2,21.5,21.5,21,20.6,20.6,19.8,18.9,,,,
LCA,7.9,8.3,8.5,7.6,7.2,7.3,,6.1,6.4,6.6,6.1,5.2,,,,,,
VCT,,,,,,,8.1,,,,,,,,,,,
WSM,,,,,,,8,,,,,,,,,,,
SMR,35.8,36.3,36.6,37.4,37.3,,39.3,38.9,39.2,38.9,37.1,36.4,36.4,35.7,,,,
SAU,,,,,9,8.8,9.2,8.6,,,,7.7,8.4,7.3,7.3,,8,8.1
SEN,,,,,,,,,,,,9.9,,,,,,
SRB,,,,,,,,,,20.9,20.4,22.1,22.4,19.7,19.9,,,
SLE,,,,,,,,,,0.7,,,,,,,,
SGP,24.6,23,22.4,21.9,21.6,,20.4,19.6,19.9,19.1,,18.5,,,17.5,,,
SVK,27.8,28.5,27.1,27.9,28,28.2,28.8,29.4,28.9,29.5,29.7,29.5,30.5,30.2,,,,
SVN,39.1,37.4,35.5,35.1,35.1,33.3,33.4,34.6,33.8,32.9,34,32.2,31.4,,,,,
ZAF,,,,,,14.7,16.3,16.4,15.5,16.5,15.8,15.7,16.3,17.3,,,,
ESP,22.8,22.1,22.3,23.3,22.9,22.3,22.4,21.8,21.6,20.9,20.4,20,19.2,19.4,,,,
LKA,,,,,,,,13,12.9,14.1,14.6,14.8,15.1,14.9,14.1,13.7,13.7,14.1
SUR,,,,,,,,,,7.9,,,,,,,,
SWE,27.2,27.5,27.3,26.9,26.3,25.7,24.7,24,23.5,23.1,22,21.5,20.5,20.4,,,,
CHE,23.7,22.9,22.5,22.5,22.5,22.9,22.8,22.1,21,20.7,20.8,21,21,20.8,,,,
SYR,17.7,,16,,15.1,14.7,15,15.4,14.5,,,,13.8,,,,,
TJK,,,,,,,,,,5.6,,,,,,,,
TZA,,,,,,,,,,,,3.8,,,,,,
THA,11,11.2,10.7,10.5,11,11.9,11.9,12.6,12.7,12.9,12.9,12.6,13.2,11.8,12.3,12.5,12.5,
TLS,,,,,,,4.3,,,,,,1.3,,,,,
TON,,,,,,,,,4.5,,,,,,,,,
TUR,,,,,,18.5,18.6,19.2,19.1,18.9,20,20.3,21.2,21.8,,,,
UGA,,,,,,,,,7.3,,,,,,,,,
ARE,10.8,,,,,10.8,,,,,8.7,,,9.9,9,,,
GBR,24.6,25.2,24.7,24.5,23.5,22.8,22,21.2,20.1,18.6,18.4,18,17.8,16.6,,,,
USA,,,,,,,,,16,15.4,15,14.9,14.6,14.5,,,,
URY,,,,,,18.3,17.4,17.1,16.8,16.8,17.3,16.8,16.8,,,,,
VNM,,8.4,9.8,9.2,9,9.2,9.6,9.7,10.5,11.2,,,,,,,,
YEM,,,,4.9,4.1,,,,,5.7,,,,,,,,
ZWE,,,,,11.9,,,,,8.2,,,,,,,,
AAE,,,,,,,,,14.8692,15.7333,15.65,15.8273,14.2273,,,,,
ACE,,,23.83,23.2,21.6857,20.95,20.9158,20.57,20.0756,19.6476,19.6857,19.6683,19.5659,19.1541,,,,
GEA,,,,,,,,,,,16.1273,,,,,,,
HIA,,,,,22.1243,21.2026,20.7674,20.8268,20.778,19.9884,19.6643,19.5791,19.1881,18.265,,,,
AME,,,,,,14.5583,,12.7437,12.2643,12.3235,12.5118,12.5375,13.1786,12.175,,,,
LMA,,,,,,11.25,,,,,10.3071,,,,,,,
ANE,,,,,,,,,,,,13.1778,13.2,12.0667,,,,
ASA,,,,,,,,,17.65,17.4,16.7,16.35,15.75,15.25,,,,
ASE,,,,,,9.25,,,,,9.95,,,,,9.23333,,
UMA,,,,,,,,,14.4222,14.6964,15.6148,15.0148,15.952,,,,,
EAM,,,,,,,,,15,15,14.4,17.5,13.8,,,,,
ECM,,,23.6,23.3,22.7,22.3,21.6,21.3,21,20.8,20.1,20.3,19.8,19.3,,,,
GEM,,,,,,,,,,,16.2,,,,,,,
HIM,,,,,22.5,22.3,21.3,21.2,20.9,20.7,20.1,20,19.2,18.8,,,,
LCM,,,,,,14.9,,14.3,13.7,13.8,13.6,13.8,14,12.8,,,,
LMM,,,,,,11,,,,,11.4,,,,,,,
MEM,,,,,,,,,,,,13.2,12.8,11.1,,,,
NAN,,,,,,,,,16,15.4,15,14.9,14.6,14.5,,,,
SAM,,,,,,7.5,,,,,10.9,,,,,11.2,,
UMM,,,,,,,,,14.6,15,15.8,15.2,16,,,,,
EAE,,,,,,,,,20.0479,20.135,20.02,20.2627,20.3718,,,,,
ECE,,,17.6144,17.7639,17.7494,19.1242,19.2753,19.3236,19.0273,19.0615,18.8159,18.7669,18.579,16.943,,,,
GLE,,,,,,,,,,,13.9214,,,,,,,
HWW,,,,,14.317,14.282,14.2648,14.2328,19.806,19.484,19.0698,19.1338,18.7682,17.6107,,,,
LCE,,,,,,11.8775,,12.4931,11.6505,12.624,12.5239,11.885,12.6006,11.8763,,,,
LMW,,,,,,7.71085,,,,,8.36568,,,,,,,
MEE,,,,,,,,,,,,8.6946,8.55436,7.62675,,,,
NAE,,,,,,,,,16.3239,15.7928,15.3343,15.1853,14.8264,14.648,,,,
SAE,,,,,,8.22067,,,,,10.366,,,,,8.54514,,
UMW,,,,,,,,,19.2422,19.69,20.2979,20.3516,20.7895,,,,,
# Series: SWESMAD3,,,,,,,,,,,,,,,,,,
"# Name: Share employed by sector, D - Manufacturing, Male",,,,,,,,,,,,,,,,,,
# Definition: Share of men employed in Manufacturing,,,,,,,,,,,,,,,,,,
# Source: International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,
