ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,1.9,,1.6,1.2,,,,,,,,
ATG,,,,,,,2.3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,,
ARG,1,1.2,1.1,0.9,0.9,0.8,0.8,0.7,0.7,0.6,0.8,0.7,0.7,0.8,0.7,0.7,0.8,
ARM,,,,,,,,3.3,3.1,3,2.7,3.2,3.3,5,4.8,,,
AUS,1.5,1.3,1.2,1.1,1.1,1.1,1.1,1,1.2,1.2,1.2,1.2,1.2,1.3,,,,
AUT,1.5,1.4,1.5,1.5,1.3,1.2,1.3,1.4,1.5,1.2,1.2,1.2,1.1,0.9,,,,
AZE,,,,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.3,1.3,1.8,,,,
BHR,,,,,,,1,,,2.5,,,,,,,,
BGD,,,,,,,,,0.3,,0.2,,,,,,,
BLR,,,,,,,,,,,,,,,3.9,,,
BEL,1.3,1.1,1.3,1.5,1.1,1,0.7,1.2,0.9,1,1.1,1.2,1,1.3,,,,
BLZ,1.8,1.5,1.6,1.9,1.8,,,,,,1.2,,,,,,,
BTN,,,,,,,,,0.3,,2.4,2.8,,,1.8,2.3,3.4,3.1
BOL,0.5,1.1,0.9,,0.4,0.8,0.4,0.3,,0.6,0.5,0.5,0.5,,,,,
BWA,,1.4,,1.1,,0.8,1.2,,1.4,,,0.9,,,,,,
BRA,,,,,,0.7,,0.6,0.6,0.6,0.6,0.6,0.6,,,,,
BRN,,,,,,,2.6,,,,,,,,,,,
BGR,,,,,,2.7,3.1,3.1,3,3,3,2.7,2.7,,,,,
BFA,,,,,,,,,0.5,,0.3,,,,,,,
BDI,,,,0.2,,,,,,,,,,,,,,
KHM,,,,0.1,,0.1,0.1,,,,,,,,,,,
CAN,1.3,1.3,1.1,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.3,,,,
CHL,,,,,,,,0.9,,,,,,,,,,
CHN,,,,,,,,,3,3,2.9,2.9,2.8,,,,,
COL,,,,,,,,0.6,0.5,0.6,0.6,,0.7,0.6,,,,
CRI,,1.2,1.3,1.3,1.3,1,1.6,1.6,1.7,1.8,1.5,1.5,1.4,1.8,,,2.2,
HRV,,2.7,2.9,2.7,2.6,2.8,2.9,2.6,2.6,2.5,2.6,1.9,2.4,2.6,,,,
CYP,,,,,1.1,1.3,1.4,1.5,1.8,1.7,1.1,1.2,1.1,1.2,,,,
CZE,2.7,2.6,2.5,2.6,2.4,2.2,2.4,2.3,2.3,2.3,2.2,2.2,2.1,2.1,,,,
DNK,1,0.9,0.9,1.2,0.8,0.7,0.8,0.8,0.9,0.8,0.9,0.8,0.9,0.9,,,,
DOM,,0.6,0.4,,,1.1,,,1,0.9,0.8,0.9,0.9,,,,,
ECU,,,,,0.9,0.8,1,0.6,,0.8,0.7,0.6,,,,,,
EGY,,1.1,1.4,1.4,1.4,1.4,1.4,1.5,1.4,1.4,1.5,1.4,1.4,1.5,,,,
SLV,0.6,,1.1,0.6,0.6,0.6,0.7,0.7,0.4,0.6,0.4,0.6,0.7,0.8,0.5,0.7,0.8,0.6
EST,3.1,3.4,3.8,4,3.8,3.6,3.1,2.9,2.6,2.8,3.1,3.2,2.5,2.1,,,,
ETH,,,,,,,,,,1.3,0.1,1.6,,,,,,
FIN,1.9,1.7,1.5,1.5,1.5,1.4,1.3,1.3,1.2,1.2,1.1,1,0.9,1,,,,
FRA,1.3,1.3,1.3,1.2,1.1,1.2,1.2,1.2,1.2,1.4,1.3,1.4,1.2,1.1,,,,
GEO,,,,2,1.9,2.8,2.6,2.2,1.6,1.8,2,1.6,1.7,,,,,
DEU,1.4,1.3,1.3,1.3,1.2,1.2,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.3,,,,
GHA,,,,,,,,,,,,0.3,,,,,,
GRC,1.4,1.4,1.4,1.2,1.4,1.2,1.2,1.2,1.3,1.1,1.2,1.2,1.2,1.3,,,,
GTM,,,,0.5,,,,,,,,0.3,,,,,,
GUY,,,0.9,,,,,1,,,,,,,,,,
HUN,3.5,3.2,3.5,3.6,3.1,2.9,2.8,2.6,2.4,2.2,2.3,2.3,2.2,2.1,,,,
ISL,1.5,1.2,1.2,1.5,1.2,1.2,1.3,1.2,1.6,1.7,1.4,1.2,1.3,1.4,,,,
IND,,,,,,0.4,,,,,0.4,,,,,0.4,,
IDN,,,,,,0.1,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0.3,,,,
IRN,,1.1,,,,,,,,,1.1,1.1,1.1,1,,,,
IRQ,,,,,,,,,,0.3,,1.4,2,2.4,,,,
IRL,1.4,1.4,1.2,1.1,1.1,0.9,1,1,1,1,0.9,0.7,0.9,0.9,,,,
ISR,1.4,1.4,1.3,1.4,1.4,1.3,1.2,1.2,1.2,1.2,1.3,1.1,0.9,1.1,0.9,,,
ITA,1.4,1.3,1.3,1.3,1.1,1.1,1.1,1.1,1,0.9,1,1,0.8,0.8,,,,
JAM,,,,,,,,,,,,,,0.9,0.9,0.8,1.1,1
JPN,,,,,,,,,0.7,0.7,0.8,0.9,0.8,0.8,,,,
