ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,,,,,,,,,,37.1,38.9,39.3,38.5,,
DZA,,,,,,,53.9,,53.4,53.8,,,,,54.3,53.7,55.5,
ATG,,,,,,,64.8,69.5,69.5,69.5,69.5,69.5,69.5,69.5,,,,
ARG,64.4,65.9,64.2,64.5,66.3,67.5,68.6,70.5,68.3,66.9,65.6,65.4,64.4,64,64.8,64.5,64.2,65.2
ARM,,,,,,,,30.3,29.3,30.5,32.8,32.9,35.1,39,38.2,41.7,41.2,
AUS,62.5,62.9,63.1,63.5,64,63.2,64.3,64.6,65,64.7,64.7,64.5,64.6,64.1,,,,
AUT,50,50.9,52.1,52,51.8,51.9,52.8,52.3,52.1,55.7,54.9,54.2,55.3,56.7,58,58.1,56.8,56.9
AZE,,,,,48.3,49.7,48.5,43.9,43.8,43.9,43.7,42.6,43.9,45,48.2,46.8,46.5,46.3
BHS,70.2,68.9,71.3,69.3,66.2,,65.5,65.8,68.7,65.5,63.5,64.8,66.2,67.2,66.5,,72.3,
BHR,,,,,,,64.1,,,80.8,,,,,,55.3,,
BGD,,33.7,,,,30.3,,,37.9,,43,,,,,,,
BRB,59.6,57.2,57,56.2,56,57.4,58.2,58.8,59.5,61.8,,,,,,66.4,65.5,62.8
BLR,,,,,,,,,,,,,,,37.4,,,
BEL,58.9,59.6,59.6,59.9,61.1,61.4,62.9,62.1,62.8,61.6,62.5,61.9,62.7,61.8,63.4,63.9,63.9,65.7
BLZ,41.9,40.3,39.7,44.1,43.5,,,,,,49.7,,,,,,,
BEN,,,,,,,,,34.5,,,,,,,,,
BTN,,,,,,,,,24.9,,43.7,35.4,,,36.9,39.2,36.9,41.1
BOL,58.3,54.9,53.4,,36.6,35.3,34.7,33.2,36.1,36.1,35.5,37,37.5,39.7,40.8,,,
BIH,,,,,,,,,,,,42.6,40.8,40.1,41,42.7,44.8,42.4
BWA,,49.8,,45.6,,50.7,51.5,,43.4,,,45.7,,,,,,
BRA,45.1,46.1,46.4,47,47.4,,49.5,48.6,49.1,48.3,48.7,49.6,49.8,49.8,50.4,,52.1,
BRN,,,,,,,69.3,,,,,,,,,,,
BGR,,,,,,46.6,51.5,50.7,50.5,50.1,50.1,49.9,49.1,47.9,48.8,50.9,53.2,54.6
BFA,,,,,,,,,12.6,,13.7,,,,,,,
BDI,,,,9.3,,,,,,,,,,,,,,
KHM,,,,23.3,,20.4,20.5,,,,,,,22.6,27,30.1,28.7,31.7
CMR,,,,,,,23.5,,,,,,,,,38.2,,
CAN,63.4,63.6,63.6,62.8,62.9,63.3,63.9,63.9,64.1,64.1,64.2,64.8,65.5,65.4,,,,
CHL,47.8,47.8,47.2,49.3,51.8,51.8,52.6,52.4,52.6,52.7,53.8,53.4,53.4,53.9,54.6,54.9,54.5,
COL,61.9,64.5,66,67.7,70.6,68.1,48.3,48.5,49.1,49.7,47.3,47.5,49.7,50.9,51,51.5,51,52
COG,,,,,,,,,,,45.9,,,,,,,
CRI,45.4,45.4,45.8,46.9,46.5,47.1,46.3,46.8,47,48.2,47.9,48.6,49,50.6,50.6,53.8,54.6,56.2
HRV,,45.3,46.8,47.4,46.1,49.9,47.3,47.1,45.2,45.5,46.8,47.4,47.7,46.9,47.7,48,48.1,49.8
CUB,41.8,41.9,41.9,49.2,43.9,43.8,48.8,48.7,48.6,50,51,52.4,53.5,53.4,53.9,54.9,53.5,
CYP,57.6,,,,63.6,62.7,62.3,62,61.6,60.8,60,62.4,61.1,60.8,62.9,64.9,62.9,65.4
CZE,42,42.6,42.6,43.3,44.3,45.1,45,45.2,45.6,45.9,45.8,45.7,45.3,45.3,46.8,47,46.8,46.7
DNK,57.4,58,58.3,58.3,58.6,59.7,61.1,61.5,61.8,61.5,61.9,63,63.8,63.5,66.5,66.9,66.7,66.9
DMA,,,40,,42.5,,43.9,,,,,,,,,,,
DOM,53.9,45.3,45.6,48.2,48.5,51,52.7,52.9,47.8,46.7,47.7,46.8,47.5,46.8,47.5,46.8,56.4,
ECU,64.7,64.3,63.6,63,60.7,42.5,41.9,,42.3,43,43.5,42.9,43.7,43.4,43.4,44,45.5,45.8
EGY,43.1,,44.9,46.2,46.8,48,48.4,49.6,49.3,48.4,47.2,45.6,45.7,44.4,45.6,45.1,46,
SLV,34.7,34.4,36.6,38.3,40.4,41.9,41.5,42.7,44.9,44.9,45.4,44.8,46.1,45.6,44.8,44.4,44.6,44.6
EST,46.2,46.4,46.5,47,49.3,47.5,48.2,49.4,49.5,47.4,49.1,48.2,45.4,46.1,49.7,50.3,47.2,48.4
ETH,,,,,,,,,,9.6,10.4,,,,,,,
FIN,51.6,52,52.2,52.8,52.6,52.6,53.7,53.8,54.7,55.8,55.8,55.7,55.2,54.7,56.1,57.8,58.1,58.1
FRA,57.8,57.9,58,58.5,58.8,58.6,59,59.4,59.8,60.7,61,60.5,61.5,61.9,62,62.6,63.2,63.6
GAB,,,,,,,,,,,64.1,,,,,,,
GEO,,,,39.2,35.8,37.8,34.8,35,34.8,35,34.5,32.9,33,,,,,
DEU,49.2,49.7,50.3,50.8,51.1,51.6,52.4,52.9,53.9,54.2,55.9,56.2,55.7,56.6,57.1,57.7,57.7,57.9
GHA,,,,,26.5,,,,,,,25.1,,,,37.1,,
GRC,53.1,53.7,54.3,54,54.8,55.2,55.1,55.9,56.2,58.5,58.3,59,58.4,58.4,58.8,60,63,64
GRD,,45.4,,46.3,,,,,,,,,,,,,,
GTM,,,,27.8,,26.7,,27.4,26.3,30.4,,32.1,,,,34.2,31.5,34.5
GUY,,,41.8,,,,41.8,39.2,,,,,,,,,,
HTI,,,,,22.4,,,,,,,,,,,,,
HND,27.2,27.4,28.1,30.2,29.6,,27.8,27.3,28.8,29.9,28.7,28.9,29.8,29.3,28.9,31.3,31.4,
HUN,50.5,50.2,49.9,48.5,49,50.3,50.3,49.8,50.6,51.1,51.3,51.6,51.4,52.1,52.4,53.3,53.2,53.8
ISL,52.4,53,53,53.9,54.4,54.5,55.1,55.4,57.5,57.5,58.7,59,60.1,59.8,63.3,62.9,62.8,62.8
IND,,,,,,28.2,,,,,29.8,,,,,29.9,,31
IDN,36.2,37.1,38.6,38,37.5,36.7,36.4,35.8,35.1,37.3,35.9,37.1,37.8,38.1,38.6,,,
IRN,,44.1,,,,,,,,,46.5,46.9,46.7,47.4,,,,
IRQ,,,,,,,,,,66.2,,56.8,60.5,61.3,,,,
IRL,48.4,49.7,50,50.2,51,51.5,51.7,50.7,51.3,51.2,50.7,51.2,51.1,54.6,60.1,63.3,64.6,65.4
ISR,56.1,56.9,57.9,59.9,61,61.8,63,63.7,64.2,64.3,64.9,65.1,64.9,65.3,66.6,,,
ITA,53.7,54.2,55.2,54.8,55.2,55.9,55.8,55.9,55.6,56,55.9,56.3,56.3,56.6,56.6,56.8,57.4,57.9
JAM,42.1,42.4,45.8,45.6,45.9,46.6,46.5,47.4,45.8,47,47.8,46.9,48.2,48.1,48,48.8,51.9,51.8
JPN,55.1,55.3,55.4,56.1,56.3,56.7,57.4,57.9,58.3,59,59.1,59.3,59.8,60.2,61.1,61.9,,
JOR,,,,,,71.5,72.6,72.7,73.2,72,74.2,75.4,75.2,76.3,75.8,77.2,78,78.5
KAZ,,,,,42.5,,40.8,41.4,40.3,41.1,42,42.3,41.9,42.9,,,,
KEN,,,,,,,,,,,34.6,,,,,,,
KIR,,,,,,81.1,,,,,,,,,,,,
KSV,,,,,,,,,,,,,,,,,,62.3
KWT,,,,,,,,,,,69,,,,,,,
KGZ,,35.4,35.6,35.6,34.2,35.3,35.6,35.1,37.6,38.4,37.7,37.4,,,,,,
LAO,14.4,,,,,,,,,,,,,,,,,
LVA,,45.6,43.5,45.1,47.8,49,46.9,46.7,46.9,47.7,49,47.7,47.2,49,53.8,53.4,54.9,54.7
LSO,,,17.9,,12.8,,,,,,,,,,,,,
LBR,,,,,,,,,,,,,17,,,37,,
LTU,,,42.1,42.5,43.4,44,44.4,44.5,44.3,46.1,46.3,45.7,45.9,47.8,51.2,54.9,55.2,53.9
LUX,60.8,64.3,63.6,65.4,65.6,66.7,66.7,68,68.3,70.1,72.2,72.2,71.6,75.7,76.8,74.4,75.6,77
MKD,,,,,,,,40.9,42,47.4,46.5,45.3,48.1,47,,,48.3,49.4
MDG,,,,,,,,,16,,14.6,,,,,,,
