ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,1,,0.9,0.7,,,,,,,,
ATG,,,,,,,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,,,,
ARG,2.6,2.2,2.5,2.3,2.4,2.6,2.4,2.3,1.8,1.7,1.7,1.7,1.9,1.9,1.9,1.9,2.1,
ARM,,,,,,,,0.5,0.4,0.4,0.5,0.5,0.7,0.9,1,,,
AUS,2.9,3,3,2.9,2.9,2.9,3,3.1,3,3,3.1,3.2,3.4,3.2,,,,
AUT,3.2,3.1,3.4,3.4,3.4,3.3,3.1,3.1,3,3.3,3.4,3.1,3.1,3.2,,,,
AZE,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.5,,,,
BHS,7,7,7.1,7.9,6.9,,8.1,8.2,7.2,8.5,7.6,9.2,8.9,9.2,10.3,,12.4,
BHR,,,,,,,2,,,2.7,,,,,,,,
BGD,,,,,,,,,0.6,,1.1,,,,,,,
BLR,,,,,,,,,,,,,,,0.7,,,
BEL,4,4,4,4.3,4.2,3.9,3.4,3.5,3.5,3.3,3.7,3.4,3.6,3.7,,,,
BLZ,1,1.1,1.3,1.2,1.5,,,,,,1,,,,,,,
BTN,,,,,,,,,0,,1,0.7,,,0.4,0.9,0.8,1
BOL,1.1,0.9,1.1,,0.5,0.7,0.8,0.5,,0.4,0.2,0.5,0.7,,,,,
BWA,,0.9,,0.7,,0.7,0.8,,0.6,,,1.1,,,,,,
BRA,,,,,,1.1,,1.1,1.2,1.1,1,1,1.2,8.2,8.3,,,
BRN,,,,,,,5.9,,,,,,,,,,,
BGR,,,,,,0.7,1.1,0.9,0.6,0.7,0.9,0.8,0.7,,,,,
BFA,,,,,,,,,0.3,,0.4,,,,,,,
BDI,,,,0.1,,,,,,,,,,,,,,
KHM,,,,0,,0.3,0.1,,,,,,,,,,,
CAN,2.9,2.8,2.8,2.7,2.8,2.7,2.8,3,2.8,2.9,3,3.2,3.1,3.4,,,,
CHL,,,,,,,,1.5,,,,,,,,,,
CHN,,,,,,,,,2.8,2.7,2.6,2.6,2.6,,,,,
COL,,,,,,,,0.9,1,1.1,1,,1,1.1,,,,
CRI,,2,1.9,2.1,1.5,1.7,1.8,2,2,2.2,2,2,2.1,2.1,,,2.2,
HRV,,1,1,0.9,1.2,1.4,0.9,1.1,1.1,1.1,1.1,1.3,1.3,1.3,,,,
CYP,,,,,4.1,4.3,4.8,4.4,3.7,3.3,4.7,4.6,4.2,4,,,,
CZE,1.1,1.1,1.1,1.3,1.2,1.3,1.6,1.4,1.3,1.2,1.4,1.2,1.4,1.5,,,,
DNK,2.7,2.7,2.5,2.6,3,2.8,3.1,2.8,2.9,2.9,3,2.9,2.9,2.9,,,,
DOM,,1.1,1,,,1.4,,,1.5,1.3,1.6,1.4,1.4,,,,,
ECU,,,,,1.5,1,0.7,1.1,,1.1,1.1,1,,,,,,
EGY,,3.5,1.1,1.1,1.1,1,1.1,1.1,1,1,0.8,0.8,0.8,0.7,,,,
SLV,5.1,,1.2,3.7,3.9,4.3,4.3,4.5,5,5,5.5,4.8,5.4,5.8,5.9,6.2,6.5,6.2
EST,0.9,0.7,0.6,0.8,1.1,1.2,0.9,0.8,0.9,0.7,0.4,0.5,0.8,1,,,,
ETH,,,,,,,,,,1,0.1,1.6,,,,,,
FIN,1.2,1.3,1.3,1.3,1.1,1.2,1.3,1.1,1,1.2,1.2,1.2,1.3,1.3,,,,
FRA,2.8,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.3,2.5,2.5,2.5,2.4,,,,
GEO,,,,0.7,0.5,0.3,0.3,0.3,0.5,0.5,0.8,0.9,0.9,,,,,
DEU,3.1,3.1,3.1,3.2,3.1,3.2,3.2,3.2,3.3,3.3,3.3,3.2,3.1,3.1,,,,
GHA,,,,,,,,,,,,0.5,,,,,,
GRC,2.1,2.1,2.2,2,1.9,2.2,2.2,1.9,2,2.1,2.1,2.3,2.1,2.1,,,,
GTM,,,,0.7,,,,,,,,3.9,,,,,,
GUY,,,1.4,,,,,0.8,,,,,,,,,,
HUN,1.2,1.2,1.4,1.3,1.3,1.3,1.1,1.1,1.1,1.2,1.3,1.3,1.3,1.4,,,,
ISL,2.2,2.5,2.2,2.3,3,3.1,2.5,2.5,2.3,2.5,2.5,2.9,3.7,3.9,,,,
IND,,,,,,0.7,,,,,0.8,,,,,1,,
IDN,,,,,,0.6,0.6,0.6,0.5,0.6,0.6,0.7,0.7,0.7,,,,
IRN,,1.1,,,,,,,,,1.3,1.4,1.4,1.4,,,,
IRQ,,,,,,,,,,0.3,,0.4,0.3,0.2,,,,
IRL,2.8,2.8,2.7,2.5,2.8,3,2.9,2.8,3,3.3,3.2,3,3.1,3.3,,,,
ISR,2.5,2.4,2.7,2.7,2.7,2.5,2.5,2.7,2.5,2.3,2.6,2.5,2.6,2.6,2.7,,,
ITA,3.5,3.3,3.4,3.3,3.3,3.2,3.1,3.1,3,2.7,2.8,2.9,2.8,2.7,,,,
JAM,,,,,,,,,,,,,,1.1,1.3,1.3,1.4,1.4
JPN,,,,,,,,,2.2,2.1,2.1,2.1,2,2.1,,,,
JOR,,,,,,1.6,1.8,1.6,1.4,1.4,1.5,1.9,1.8,2,1.5,,,
KAZ,,,,,0.7,,0.4,0.6,0.5,0.6,0.6,0.7,0.9,0.9,,,,
KWT,,,,,,,,,,,1.2,,,,,,,
KGZ,,0.4,0.3,0.5,0.3,0.4,0.5,0.4,0.4,0.3,0.3,0.3,,,,,,
LAO,0.1,,,,,,,,,,,,,,,,,
LVA,,1,0.7,0.7,0.8,1,1,1,1.2,1.6,1.4,1.3,1,0.9,,,,
LSO,,,0.5,,0.3,,,,,,,,,,,,,
LTU,,,0.8,0.8,0.7,0.9,0.8,0.8,0.8,0.6,0.6,0.7,0.9,0.7,,,,
LUX,8.8,8.2,9.4,9.7,10.6,9.1,10.4,9.5,10.6,10.7,11.6,11.2,10.8,11,,,,
MKD,,,,,,,,1,0.8,0.9,0.7,0.9,1.3,0.8,,,,
MDG,,,,,,,,,0.1,,0.1,,,,,,,
MYS,,,,,,,2,2,1.9,1.8,1.9,1.8,2.1,2,1.9,,,
MDV,2.8,,,,,1.9,,,0.2,,,0.4,,,,,,
MLI,,,,,,,,,,0.3,,0.3,,,,,,
MLT,,,,,,2.9,2.8,1.8,2.9,2.4,3,3.3,3,2.6,,,,
MUS,2.9,,,,,1.3,1.3,1.3,1.4,1.8,1.8,1.7,1.7,2,,,,
MEX,0.9,0.8,0.9,0.7,0.7,0.6,0.7,0.7,0.6,0.6,0.6,0.7,0.8,0.8,,,,
MNG,1,1,0.7,0.7,0.7,0.6,0.7,1,0.7,1.3,1.3,1.4,0.7,,,,,
MNE,,,,,,,,,0.9,,0.9,,1.3,1.4,1.3,1.1,,
MAR,,,,,,,,1.1,1.2,1.1,1.3,1.5,18,18,,,,
NAM,,,2,,,1.1,,,,1.6,,,,1.9,,1,,
NPL,,,,,0.4,,0.7,,,,,,,,,,,
NLD,3.1,3.1,3.2,3.4,3.5,3.5,3.5,3.3,3.4,3.4,3.3,3.2,3.2,3,,,,
NZL,2.5,2.8,2.7,2.4,2.4,2.4,2,2.2,2.3,2.3,2.6,2.9,2.8,2.5,,,,
NIC,,,,,,,,,0.6,0.7,0.7,0.6,,,,,,
NIU,,,,,,,3.9,,,,,,,,,,,
NOR,2.4,2.4,2.2,2,2.1,2.1,2.2,2.2,2,2.1,2.2,2.3,2.2,2.2,,,,
OMN,,2.1,,,,1.9,,,,,,,,,,4.7,,
PAN,1.4,1.5,1.5,1.6,1.6,1.9,1.4,1.4,1.2,1.2,1.3,1.4,1.4,1.3,1.1,1.1,,
PRY,,,,,,,,,,,,,4,4.5,,,,
PER,,0.9,1.1,1,1.1,1,0.8,0.7,0.6,0.6,0.8,0.9,0.8,1,,,,
PHL,,,,,,,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.8,,,
POL,1.1,1.1,1.2,1.3,1.6,1.5,1.3,1.4,1.1,1.1,1.2,1.2,1.3,,,,,
