ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,0.9,,0.9,0.9,,,,,,,,
ATG,,,,,,,4.4,4.7,4.7,4.7,4.7,4.7,4.7,4.7,,,,
ARG,8,6.8,6.9,7.1,7.8,7.7,7.2,7.4,8.6,8,8.3,9,9.1,8.6,8.9,8.7,8.7,
ARM,,,,,,,,2.1,2.4,2.2,2.2,2.3,2.8,2,0.9,,,
AUS,9.4,9.7,10.3,11.2,11.2,11.8,11.4,11.6,11.9,11.8,12,12.4,12.2,12.2,,,,
AUT,4.7,5.3,5.6,5.3,5.3,6.2,6.7,6.9,7.5,7.9,8,8.3,8.5,9.5,,,,
AZE,,,,,3,3,3,3,3,3,3,3.1,3.6,4.7,,,,
BHR,,,,,,,6.3,,,1.1,,,,,,,,
BGD,,,,,,,,,0.5,,0.6,,,,,,,
BLR,,,,,,,,,,,,,,,5.1,,,
BEL,5.7,6.2,6.3,7.2,7,8.2,8.7,9.1,9.2,9.2,9,9.5,9.4,9.2,,,,
BLZ,1.1,1,1.5,2.1,2.2,,,,,,2.4,,,,,,,
BTN,,,,,,,,,0.1,,,1,,,0.4,5.4,3.8,0.8
BOL,3.4,3.1,3.4,,2.4,3.8,3.6,2.6,,2.7,2.8,4,3.7,,,,,
BWA,,3,,3.2,,4.3,6.1,,3.8,,,5.5,,,,,,
BRA,,,,,,6.2,,6.1,6.4,6.2,6.5,6.9,6.7,,,,,
BGR,,,,,,3,3.9,4.1,4.2,5,5,5.1,5.5,,,,,
BFA,,,,,,,,,0.2,,0.4,,,,,,,
BDI,,,,0.6,,,,,,,,,,,,,,
KHM,,,,0.1,,0.2,0.3,,,,,,,,,,,
CAN,10.1,10.5,10.8,11.3,11.6,11.9,12.1,12.3,12.3,12.6,12.8,13.1,13.5,13.5,,,,
CHL,,,,,,,,9.5,,,,,,,,,,
CHN,,,,,,,,,5.2,5.4,5.6,5.8,5.9,,,,,
COL,,,,,,,,4.2,4.4,4.6,4.9,,5.4,6.1,,,,
CRI,,0.3,0.3,0.4,0.4,0.3,5.8,6.3,6.2,6.5,6.3,6.3,6.9,7.2,,,7,
HRV,,3,3.5,4.1,3.7,3.9,3.8,3.9,3.8,4.2,4.8,5.1,4.9,4.6,,,,
CYP,,,,,4.3,4.5,4.7,4.7,6.3,6.1,5.9,5.9,6.9,6.9,,,,
CZE,4.9,5.2,4.8,5,5.3,5.5,5.5,5.4,5.8,6,6,6.7,7.1,7.2,,,,
DNK,7.7,8,8.8,9.5,10.5,10.3,10.1,10.2,10.1,10.2,10.7,10.7,11.9,11.9,,,,
DOM,,1.8,1.9,,,3.3,,,12.1,3,3,2.7,2.7,,,,,
ECU,,,,,4,4.3,4.9,5.9,,6,6.2,6.1,,,,,,
EGY,,,1.4,1.8,1.8,1.9,2.1,2,2,2.1,2.2,2.3,2.3,2.1,,,,
SLV,1.6,,2.1,,,,,,,,,,,,,,,
EST,5.3,5.4,6.2,6.7,7.1,7,6.8,8.6,9.1,7.6,9.1,8.2,7.8,8.2,,,,
ETH,,,,,,,,,,2.1,0.2,2,,,,,,
FIN,9,9.6,9.5,9.8,10.2,11.1,11.4,11.8,11.9,12.1,12,12.5,13.1,13.5,,,,
FRA,8.2,8.2,8.3,8.4,9,9.2,9.7,10,10.3,10.4,10.7,10.9,10.7,11.1,,,,
GEO,,,,2.4,2.5,3.2,1.5,1.1,2,1.7,1.7,1.8,2.4,,,,,
