ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,,,1.4,1.5,1.7,1.6,1.4,1.3,1.1,1.3,,,,,
DZA,,,,,,,1.8,,1.6,1,,,,,,,,
ATG,,,,,,,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,,,
ARG,0.7,0.9,0.8,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.6,
ARM,,,,,,,,2.3,2.1,2,1.7,2.1,2.1,3.2,3,,,
AUS,1,0.9,0.8,0.8,0.7,0.7,0.8,0.7,0.8,0.8,0.8,0.8,0.8,0.9,,,,
AUT,1,0.9,1,1,0.8,0.8,0.8,0.9,0.9,0.8,0.8,0.8,0.7,0.6,,,,
AZE,,,,1,1,1.1,1.1,1.1,1.1,1,1,1,1.1,1.1,,,,
BHR,,,,,,,0.9,,,2,,,,,,,,
BGD,,,,,,,,,0.2,,0.2,,,,,,,
BLR,,,,,,,,,,,,,,,2.7,,,
BEL,0.9,0.8,0.9,1,0.7,0.7,0.6,0.8,0.7,0.8,0.8,0.8,0.8,0.9,,,,
BLZ,1.3,1.4,1.4,1.6,1.3,,,,,,0.9,,,,,,,
BTN,,,,,,,,,0.1,,1.7,1.9,,,1.1,1.7,2.2,2
BOL,0.4,0.7,0.6,,0.2,0.5,0.3,0.2,,0.3,0.3,0.3,0.3,,,,,
BWA,,0.8,,0.7,,0.5,0.9,,1,,,0.8,,,,,,
BRA,,,,,,0.5,,0.4,0.4,0.4,0.4,0.4,0.4,,,,,
BRN,,,,,,,1.8,,,,,,,,,,,
BGR,,,,,,2,2.2,2.2,2,2.1,2.1,1.9,1.9,,,,,
BFA,,,,,,,,,0.3,,0.2,,,,,,,
BDI,,,,0.1,,,,,,,,,,,,,,
KHM,,,,0.1,,0.1,0.1,,,,,,,,,,,
CAN,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.9,0.8,0.8,0.8,0.7,0.8,0.9,,,,
CHL,,,,,,,,0.6,,,,,,,,,,
CHN,,,,,,,,,2.7,2.7,2.6,2.6,2.5,2.5,2.4,2.4,2.3,
COL,,,,,,,,0.4,0.4,0.4,0.5,,0.5,0.5,,,,
CRI,,1,1.1,1,1,0.8,1.3,1.4,1.3,1.4,1.2,1.2,1.1,1.4,,,1.7,
HRV,,1.7,1.9,1.8,1.8,1.9,2,1.8,1.8,1.8,1.8,1.4,1.8,1.7,,,,
CYP,,,,,0.9,0.9,1,1,1.1,1.2,0.8,0.8,0.7,0.8,,,,
CZE,2.1,2,1.9,1.9,1.8,1.6,1.8,1.8,1.6,1.6,1.6,1.6,1.5,1.6,,,,
DNK,0.6,0.6,0.6,0.8,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,,,,
DOM,,0.5,0.5,,,0.9,,,0.9,0.8,0.8,0.8,0.9,,,,,
ECU,,,,,0.7,0.6,0.8,0.4,0.5,0.6,0.5,0.5,,,,,,
EGY,,1,1.2,1.3,1.2,1.2,1.2,1.4,1.3,1.2,1.3,1.2,1.3,1.3,,,,
SLV,0.4,,0.7,0.4,0.4,0.4,0.4,0.4,0.2,0.4,0.3,0.4,0.4,0.5,0.3,0.5,0.6,0.4
EST,2.4,2.5,2.7,2.8,2.8,2.6,2,1.8,1.7,2,2.1,1.9,1.4,1.4,,,,
