ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,,,1.2,1.2,6.1,6.2,5.6,5.6,5.7,8.2,,,,,
DZA,,,,,,,10.4,,12,12.4,,,,,,,,
ATG,,,,,,,8.6,9.2,9.2,9.2,9.2,9.2,9.2,9.2,,,,
ARG,6.2,7.3,7.9,8.4,8.3,7.9,7.2,6.2,7.1,7.8,8.5,8.5,9,8.9,9,8.7,9,
ARM,,,,,,,,3.3,3.4,3.1,3.2,2.7,2.8,8.9,7.1,,,
AUS,7.3,7.2,6.9,7.3,7.5,7.7,7.4,7.6,8,8.3,8.6,8.9,9,9.2,,,,
AUT,8.9,8.6,8.4,8.5,8.9,9,8.9,8.8,8.9,8.1,8.2,8.2,8.2,8.1,,,,
AZE,,,,4.2,4.2,4.1,4.2,4.8,4.8,5,5,5.6,5.6,5.6,,,,
BHS,8.9,9.3,9.2,10.4,11.4,,11.4,11,10,10.5,11.8,12.5,12.4,11.1,11,,8.7,
BHR,,,,,,,9.1,,,7.7,,,,,,,,
BGD,,,,,,,,,3.5,,3.2,,,,,,,
BLR,,,,,,,,,,,,,,,8.4,,,
BEL,6.9,6.7,6.6,6.6,6.2,6.1,6.5,6.5,6.4,6.5,6.5,6.9,6.9,7.2,,,,
BLZ,5.8,5,5.4,5.8,5.9,,,,,,7,,,,,,,
BTN,,,,,,,,,1.2,,12.4,2.7,,,0.5,0.9,1.4,1.5
BOL,8.5,7.7,8.4,,6.3,7,5.3,5.8,,6.8,6.5,5.5,6.8,,,,,
BWA,,11.9,,7.6,,9.3,13,,9.1,,,5.1,,,,,,
BRA,,,,,,7,,7.1,6.5,6.3,6.5,6.5,6.7,7.5,7.4,,,
BRN,,,,,,,8.4,,,,,,,,,,,
BGR,,,,,,5.8,4.9,5.2,5.4,5.6,6.4,7.4,9,,,,,
BFA,,,,,,,,,0.7,,0.6,,,,,,,
BDI,,,,0.5,,,,,,,,,,,,,,
KHM,,,,0.9,,1.3,1.5,,,,,,,,,,,
CAN,5.4,5.2,5.2,5.2,5.3,5.4,5.5,5.6,5.7,5.9,6.3,6.5,6.7,7.2,,,,
CHL,,,,,,,,7.9,,,,,,,,,,
CHN,,,,,,,,,7.6,7.6,8.1,8.4,8.7,8.8,9.4,9.7,12,
COL,,,,,,,,5.2,4.6,4.7,4.9,,5.3,5,,,,
CRI,,5.6,6.8,6.2,6.4,6.8,6.9,6.7,6.7,6.5,6.5,6.9,7.9,7.8,,,6.2,
HRV,,6.2,5.7,6.4,6.5,6.4,6.6,6.9,8.1,8.2,8.2,8.4,8.8,8.9,,,,
CYP,,,,,9.8,9.8,9.8,9.9,10.7,11.4,11.6,11.2,11.8,11.7,,,,
CZE,9.2,9.4,9.7,9.7,9.3,9.3,9.1,8.9,9.3,9.3,9.6,9,9.1,9.2,,,,
DNK,6.3,6.5,6.6,6.6,6.8,6.7,6.7,6.7,6.8,7,7.2,6.9,6.8,6.8,,,,
DOM,,6.7,6.9,,,5.8,,,7.1,6.6,6.5,7,7,,,,,
ECU,,,,,6.7,7.1,6.4,7,6.8,6.4,6.6,7.2,,,,,,
EGY,,8.1,7.3,8,7.9,7.9,7.7,7.4,7.4,7.5,8.5,8.9,9.6,10.1,10.6,11.3,,
SLV,6.7,,6.8,5.4,5.8,5.1,5.4,5.6,6.5,6.4,5.7,6.7,6.1,5.8,5.1,5.4,5.2,5.1
EST,5.4,5.7,7.3,7.3,6.7,6.9,6.8,6.6,7.2,7.9,8,9.7,12.3,12.2,,,,
ETH,,,,,,,,,,5.6,1.4,5.4,,,,,,
FIN,5.4,5.5,5.9,6.2,6.4,6.3,6.1,6.2,6.3,6.2,6.5,6.6,6.9,7.2,,,,
FRA,6.9,6.9,6.7,6.4,6.4,6.5,6.4,6.5,6.5,6.7,6.6,6.8,6.9,7.2,,,,
GEO,,,,1.5,1.4,1.8,1.9,1.9,2.2,2.4,2.5,3.1,4.2,,,,,
DEU,9.3,9.8,9.3,8.8,8.7,8.5,8,7.6,7.2,7,6.6,6.6,6.6,6.5,,,,
GHA,,,,,,,,,,,,1.8,,,,,,
GRC,6.6,6.5,6.5,7.3,7.1,7.2,7.5,7.6,8.1,8.1,8.3,8.1,8.7,8.4,,,,
GTM,,,,5.4,,,,,,,,6.6,,,,,,
GUY,,,6.9,,,,,6.8,,,,,,,,,,
HUN,5.9,6,6,6.2,6.6,7,7.1,7,7.6,7.9,8.1,8.2,8.4,8,,,,
ISL,6.8,6.5,7.1,7.4,6.9,6.7,7.2,7.8,6.9,7.4,7.7,8.7,8.9,9.8,,,,
IND,,,,,,4.6,,,,,5.9,,,,,10,,
IDN,,,,,,3.9,4.2,4.7,4.4,4.8,4.9,4.9,5.3,5.3,,,,
IRN,,11.3,,,,,,,,,10.4,11.4,12.3,13.6,,,,
IRQ,,,,,,,,,,10.3,,10.1,11.2,10.8,,,,
IRL,7.5,7.6,8,9.1,8.9,10,10.5,10.3,10.6,11.2,12.6,13.1,13.4,12.1,,,,
ISR,7.2,7.5,7.2,6.3,5.6,5.2,5.2,5.2,5.6,5.4,5.1,5.2,5.6,5.4,5.1,,,
ITA,7.7,7.7,7.7,7.5,7.6,7.6,7.9,7.9,8.3,8.2,8.5,8.3,8.4,8.4,,,,
JAM,,,,,,,,,,,,,,9.4,8.5,8.2,8.1,7.4
JPN,,,,,,,,,9.6,9.2,8.9,8.8,8.6,8.4,,,,
JOR,,,,,,6.5,6.7,6.3,6.4,7.1,6.3,6.3,6.7,6.4,6.7,,,
KAZ,,,,,3.4,,3.9,4,4.7,5.3,5.7,6.2,6.8,7,7,,,
KWT,15.4,,,,,,,,9.8,,14.2,,,,,,,
KGZ,4,3.5,3.4,3,2.6,2.5,2.4,3.3,5.3,7.2,7.4,8.7,9.5,10.2,,,,
LAO,1,,,,,,,,,,,,,,,,,
LVA,,5.4,5.2,5.5,6,6,7.1,6.1,7.4,8.5,8.7,9.6,11.2,11.2,,,,
LSO,,,6.7,,4.8,,,,,,,,,,,,,
LTU,,,6.9,6.7,6.3,6,6.3,6.6,7.4,8.1,9,9.9,11.1,10.9,,,,
LUX,10.6,9.2,9.6,8.5,8.9,8.5,9.5,9.1,8.5,8.7,7.9,7.7,8.4,7.6,,,,
MKD,,,,,,,,5.8,6.6,7,6.5,7.6,6.4,6.5,,,,
MDG,,,,,,,,,0.7,,0.1,,,,,,,
MYS,,,,,,,8.9,9.5,9.5,8.9,9,8.8,8.8,9.4,9.3,,,
MDV,4.2,,,,,4.3,,,3.8,,,5.4,,,,,,
MLI,,,,,,,,,,4.3,,1.9,,,,,,
MLT,,,,,,7.5,6.6,7.7,7.6,6.6,8.4,8.2,7.5,7.7,,,,
MUS,9.6,,,,,9.3,9.3,9.4,9.6,10.4,10.4,10.2,11.1,11.1,,,,
MEX,5.3,5,4.7,5.5,5.5,6.4,6.1,6.2,6.7,6.3,7.8,8.2,8.4,8.3,,,,
MNG,3.8,3.9,3.6,3.5,3.4,2.9,2.5,2.9,2,4.1,5.1,5.6,3.5,,,,,
MNE,,,,,,,,,3.5,,2.9,,3.8,6.1,6.7,6.1,,
MAR,,,,,,,,6.8,6.8,6.7,7.1,8,8.3,8.9,9.4,9.9,10.1,9.9
NAM,,,4.9,,,5,,,,5.1,,,,7,,5.4,,
NPL,,,,,3.6,,2.9,,,,,,,,,,,
NLD,5.8,5.8,5.8,5.8,6.1,5.7,6.2,5.9,5.7,5.6,5.9,6,5.9,5.9,,,,
NZL,6.1,6.6,6.6,6.5,6.2,6.6,6.1,6.4,7.2,7.5,7.8,8.7,8.5,8.2,,,,
NIC,,,,,,,,,3.8,4.8,4.4,4.8,,,,,,
NIU,,,,,,,10.9,3,,,,,,,,,,
NOR,5.9,5.8,6.1,6,6.4,6.4,6.7,6.8,7,7.1,7,7.1,7.4,7.3,,,,
OMN,,2.6,,,,2.8,,,,,,,,,,25.5,,
PAN,6.2,6.3,6.6,7.2,7.6,7.4,7.2,6.8,7.4,8,7.7,8.5,9.7,10.2,9.7,9.7,,
PNG,,,,,,2.1,,,,,,,,,,,,
PRY,,,,,,,,,,,,,5.7,6.2,,,,
PER,,4.9,5.4,5.6,5.2,4.2,4.5,4.8,5.4,4.9,4.5,5,5.1,5.4,,,,
PHL,,,,,,,5.4,5.3,5.5,5.4,5.3,5.1,5.3,5.4,5.6,5.6,5.6,5.9
POL,6.1,6.2,6.6,7,6.9,7,6.7,6.2,5.9,5.7,6,6.3,6.9,,,,,
PRT,8.2,8.2,8.9,10.5,10.7,11.8,11.1,11.9,11.7,10.8,10.8,10.7,11,10.7,,,,
QAT,,,20,,,,19.1,,,26.8,,23.7,37.2,46.7,44.3,,,
