ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,,,2.4,2.3,3.5,3.5,2.1,2,2,3.7,,,,,
DZA,,,,,,,5.5,,6.1,5.6,,,,,,,,
ATG,,,,,,,7.7,8.3,8.3,8.3,8.3,8.3,8.3,8.3,,,,
ARG,9,7.8,7.7,7.7,8.1,8.2,8.1,7.5,6.6,6.9,6.7,6.6,6.9,7,6.9,6.9,6.8,
ARM,,,,,,,,3.6,3.8,4.3,4.5,4.4,4.3,5.2,5.6,,,
AUS,6.5,6.8,6.6,6.4,6.5,6.6,6.5,6.1,6.3,6.3,6.4,6.3,6.5,6.5,,,,
AUT,6.3,6.2,6.2,6.5,6.8,6.5,6.7,6.6,6.3,6.4,6.3,6.2,6,6,,,,
AZE,,,,4.6,4.5,4.5,4.5,4.6,4.8,5,5,5.1,5.2,5.1,,,,
BHS,8.7,8.8,8.8,8.1,7.1,,7.1,7.6,7.6,6.5,6.7,6.8,7.7,8.1,7,,7,
BHR,,,,,,,4.7,,,5.1,,,,,,,,
BGD,,,,,,,,,6.8,,8.4,,,,,,,
BLR,,,,,,,,,,,,,,,7,,,
BEL,7.5,7.6,7.4,7,7.8,7.5,8,7.7,7.9,7.3,7.4,7.5,7.2,7.5,,,,
BLZ,5.8,5.9,5.2,5.1,5.4,,,,,,6.5,,,,,,,
BTN,,,,,,,,,0.8,,3.2,2.2,,,0.3,2.9,2.7,2.6
BOL,7.6,7.3,8.1,,5.3,4.6,5.1,4.9,,4.9,6,5.5,5.8,,,,,
BWA,,2.2,,2.4,,2.9,3.4,,2.7,,,3,,,,,,
BRA,,,,,,5.1,,4.7,4.6,4.6,4.5,4.6,4.8,5,4.8,,,
BRN,,,,,,,3.3,,,,,,,,,,,
BGR,,,,,,7.4,8,7.8,7.7,7.2,7.2,7.1,6.8,,,,,
BFA,,,,,,,,,0.6,,0.6,,,,,,,
BDI,,,,0.2,,,,,,,,,,,,,,
KHM,,,,2.3,,2.3,2.7,,,,,,,,,,,
CAN,7.5,7.5,7.6,6.9,6.7,7.6,7.7,7.3,7.3,7.3,7.1,6.7,6.7,6.7,,,,
