ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,,,6.2,6.7,7.7,7.8,8.7,9.7,9.6,8.1,,,,,
DZA,,,,,,,1.1,,1,0.9,,,,,,,,
ATG,,,,,,,2.9,3.1,3.1,3.1,3.1,3.1,3.1,3.1,,,,
ARG,2.9,2.4,2.5,2.4,2.4,2.5,2.4,2.3,1.7,1.5,1.7,1.8,2,1.9,2,2.1,2.1,
ARM,,,,,,,,0.5,0.5,0.5,0.6,0.6,0.8,0.9,1.1,,,
AUS,3.8,3.8,3.8,3.8,3.6,3.7,3.9,3.7,3.7,3.6,3.8,3.8,3.9,3.7,,,,
AUT,3.5,3.5,3.8,3.7,3.8,3.7,3.5,3.5,3.5,3.7,3.8,3.4,3.4,3.5,,,,
AZE,,,,0.5,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.5,,,,
BHS,8.3,8.6,9.2,9.7,9.2,,10.7,10.8,10.1,11.1,10.1,11.1,11.8,11.5,12.3,,13.3,
BHR,,,,,,,2.2,,,2.7,,,,,,,,
BGD,,,,,,,,,0.5,,1.1,,,,,,,
BLR,,,,,,,,,,,,,,,1.4,,,
BEL,4.1,4.2,4.1,4.4,4.1,3.8,3.8,3.8,3.6,3.5,3.8,3.6,3.7,4,,,,
BLZ,1.6,1.7,1.8,1.7,1.9,,,,,,1.6,,,,,,,
BTN,,,,,,,,,0,,0.9,0.6,,,0.3,0.8,0.7,0.7
BOL,1.1,0.9,1,,0.5,0.6,0.6,0.5,,0.4,0.3,0.5,0.6,,,,,
BWA,,1.2,,0.9,,0.9,1.2,,1.1,,,1.6,,,,,,
BRA,,,,,,1.3,,1.2,1.3,1.2,1.2,1.2,1.3,7.7,7.7,,,
BRN,,,,,,,5.6,,,,,,,,,,,
BGR,,,,,,1.1,1.4,1.3,1,1.2,1.3,1.3,1.3,,,,,
BFA,,,,,,,,,0.2,,0.4,,,,,,,
BDI,,,,0.1,,,,,,,,,,,,,,
KHM,,,,0,,0.2,0.1,,,,,,,,,,,
CAN,4.4,4.5,4.6,4.3,4.3,4.1,4.3,4.3,4.1,4.3,4.4,4.5,4.5,4.6,,,,
CHL,,,,,,,,1.9,,,,,,,,,,
CHN,,,,,,,,,3.2,3.2,3.2,3.1,3.2,3.4,3.6,3.6,3.5,
COL,,,,,,,,1.2,1.2,1.3,1.3,,1.3,1.3,,,,
CRI,,2,2.1,2.3,1.6,1.8,1.9,2,2.2,2.2,2,2.1,2.6,2.7,,,2.5,
HRV,,2.3,2,2.1,2.3,2.4,1.9,2.3,2.1,2,1.8,2.4,2.3,2.1,,,,
CYP,,,,,5.1,5.7,6.3,5.8,5,4.6,5.2,5.3,4.9,5.1,,,,
CZE,1.8,1.9,2,2.1,2.1,2.1,2.1,2,2,2,2,1.9,2.1,2.3,,,,
DNK,3,3.2,3,2.9,3.1,3.1,3.2,3,3,3.3,3.3,3.1,3.1,3.1,,,,
DOM,,1.4,1.3,,,1.9,,,2.1,1.7,1.9,1.9,2.1,,,,,
ECU,,,,,1.5,1.3,0.9,1.3,1.5,1.3,1.3,1.2,,,,,,
EGY,,4.5,1.1,1.1,1.1,1.1,1.1,1.2,1.1,1,0.9,0.9,0.9,0.7,,,,
SLV,4.2,,1.4,3.7,3.7,3.8,4.1,4.1,4.3,4.1,4.7,4.3,4.7,5,5,5.3,5.6,5.4
EST,1.1,1,1.1,1.3,1.5,1.3,1.2,1.3,1.3,1.3,1.1,1.1,1.4,1.6,,,,
ETH,,,,,,,,,,0.8,0.1,1.2,,,,,,
FIN,2.3,2.2,2.2,2,1.9,2.1,2.1,2,2.1,2.1,1.9,1.9,2,2,,,,
FRA,3.3,3.2,3.1,3.2,3.2,3.1,3,3,3,2.7,3,3.2,3.2,3.1,,,,
GEO,,,,0.8,0.6,0.5,0.5,0.4,0.5,0.7,0.8,0.8,1,,,,,
DEU,3.7,3.6,3.6,3.6,3.6,3.7,3.7,3.7,3.8,3.6,3.6,3.5,3.4,3.4,,,,
GHA,,,,,,,,,,,,0.3,,,,,,
GRC,2.4,2.4,2.5,2.4,2.3,2.6,2.7,2.3,2.6,2.6,2.6,2.6,2.5,2.6,,,,
GTM,,,,0.7,,,,,,,,3.3,,,,,,
GUY,,,1.8,,,,,1.3,,,,,,,,,,
HUN,2.2,2.3,2.3,2.2,2.1,2.2,2,1.9,1.9,2.1,2.1,2,2.1,2.4,,,,
ISL,3.4,3.2,3,3.2,3.7,4.2,4.1,3.9,4,4.4,4.1,4.3,4.9,5,,,,
IND,,,,,,0.6,,,,,0.7,,,,,0.9,,
IDN,,,,,,0.5,0.5,0.5,0.4,0.5,0.6,0.7,0.7,0.7,,,,
IRN,,1,,,,,,,,,1.3,1.3,1.3,1.4,,,,
IRQ,,,,,,,,,,0.4,,0.4,0.4,0.3,,,,
IRL,3.8,3.8,3.6,3.7,3.8,4.1,4,4,4.1,4.5,4.3,4.2,4.3,4.5,,,,
ISR,3.4,3.4,3.6,3.5,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.5,3.6,3.8,,,
ITA,3.3,3.2,3.3,3.2,3.2,3.2,3.1,3.1,3.1,2.8,2.8,2.9,2.9,2.8,,,,
JAM,,,,,,,,,,,,,,1.9,2.3,2.2,2.3,2.4
JPN,,,,,,,,,2.5,2.5,2.5,2.4,2.4,2.6,,,,
JOR,,,,,,1.8,2.1,1.8,1.8,1.6,1.7,2,2.1,2.2,1.9,,,
KAZ,,,,,1,,0.7,0.7,0.8,0.8,0.9,1,1.1,1.2,1.2,,,
KWT,1.1,,,,,,,,1.6,,1.2,,,,,,,
