ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,1,,1,0.9,,,,,,,,
ATG,,,,,,,4,4.3,4.3,4.3,4.3,4.3,4.3,4.3,,,,
ARG,7.7,7,6.8,6.9,7.7,7.3,7,6.9,7.3,7.2,7.7,8.1,8.4,8.2,8.6,8.5,8.3,
ARM,,,,,,,,1.7,1.8,1.7,1.7,2.1,2.4,1.6,0.8,,,
AUS,9.8,10,10.5,11.1,11.3,11.9,11.7,11.8,12.1,11.9,12.2,12.5,12.3,12.3,,,,
AUT,5.9,6.5,6.4,6.3,6.4,7.1,7.7,7.9,8.1,8.7,8.7,8.9,9,9.7,,,,
AZE,,,,2.1,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.7,3,3.4,,,,
BHR,,,,,,,5.6,,,0.9,,,,,,,,
BGD,,,,,,,,,0.4,,0.5,,,,,,,
BLR,,,,,,,,,,,,,,,5.2,,,
BEL,5.9,6.4,6.5,7.2,7.2,8.5,8.7,8.7,9.4,9,8.7,9.5,9.4,9.4,,,,
BLZ,1.2,1,1.5,1.9,1.8,,,,,,2.1,,,,,,,
BTN,,,,,,,,,0.1,,,1.1,,,0.3,4.2,2.6,0.6
BOL,2.8,2.6,3,,2.2,2.8,2.9,2.2,,2.2,2.5,3.3,2.9,,,,,
BWA,,2.2,,2.5,,3.7,5.4,,3.1,,,4.7,,,,,,
BRA,,,,,,5.7,,5.4,5.6,5.6,5.7,6.1,6.1,,,,,
BGR,,,,,,3.2,3.9,3.8,3.8,4.6,4.8,4.7,5,,,,,
BFA,,,,,,,,,0.2,,0.3,,,,,,,
BDI,,,,0.4,,,,,,,,,,,,,,
KHM,,,,0.1,,0.3,0.3,,,,,,,,,,,
CAN,10,10.3,10.6,11.2,11.4,11.7,11.9,11.8,12,12.1,12.3,12.6,12.7,12.7,,,,
CHL,,,,,,,,9.2,,,,,,,,,,
CHN,,,,,,,,,4.8,5,5.2,5.3,5.5,5.8,6,6.2,5.8,
COL,,,,,,,,4,4.3,4.5,4.6,,5.8,6.6,,,,
CRI,,0.3,0.3,0.4,0.4,0.4,6,6.5,6.2,6.2,5.8,5.9,6.3,7,,,6.9,
HRV,,3.2,3.5,3.9,3.8,4.4,4.1,4,4.2,4,4.8,5.1,5.2,5.1,,,,
CYP,,,,,5.9,5.9,5.4,5.7,6.8,6.8,7.1,7.5,8.3,8.5,,,,
CZE,4.9,5.1,5.1,5.1,5.4,5.6,5.4,5.6,6,6,6,6.6,7.2,7.4,,,,
DNK,7.1,7.2,7.8,8.5,9.2,9.4,9.3,9.2,9.1,9.3,9.9,9.7,10.3,10.4,,,,
DOM,,1.9,1.9,,,3.2,,,22.9,3,3,2.5,2.6,,,,,
ECU,,,,,3.3,4,4.3,4.5,4.4,4.9,5.1,5,,,,,,
EGY,,,1.3,1.6,1.6,1.8,1.9,1.9,1.9,1.9,2.1,2.1,2.1,2,,,,
SLV,2.8,,1.7,,,,,,,,,,,,,,,
EST,4.9,5,5.5,6.2,6.5,7,6.6,7.6,7.5,6.6,7.6,7.4,7.6,7.9,,,,
ETH,,,,,,,,,,1.6,0.2,1.5,,,,,,
FIN,8.4,8.9,8.8,9,9.5,10.1,10.5,10.9,11.1,11.1,11.4,11.7,12.3,12.3,,,,
FRA,8.4,8.5,8.6,8.7,9.2,9.3,9.7,10.1,10.1,10.1,10.2,10.6,10.4,10.7,,,,
GEO,,,,2.5,2.3,2.2,2.1,1.1,1.8,1.6,1.5,1.5,2,,,,,
DEU,6.2,6.5,6.9,7.2,7.6,8,8.2,8.6,9.1,9.2,9.7,10,10.3,10.8,,,,
GHA,,,,,,,,,,,,0.8,,,,,,
GRC,3.9,4,4.2,4.8,4.9,4.8,5.3,5.8,5.7,6.5,6.6,6.5,6.6,7.3,,,,
GTM,,,,1.5,,,,,,,,,,,,,,
GUY,,,3.3,,,,,3.1,,,,,,,,,,
HUN,3.6,3.5,4,4.4,4.8,5.3,5.7,6,6.8,7,7.1,7.2,7.2,7.9,,,,
