ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,,,4.4,4.8,5.3,5.3,5.2,5,5.1,5,,,,,
DZA,,,,,,,9.8,,9.4,8.1,,,,,,,,
ATG,,,,,,,4.7,5.1,5.1,5.1,5.1,5.1,5.1,5.1,,,,
ARG,6.3,6.6,6.8,7.3,7.3,7.6,7.9,9,8.4,7.6,7.6,7.9,7.5,7.6,7.9,7.8,7.8,
ARM,,,,,,,,10.6,10.1,9.3,9,9.2,9.2,8.9,9.3,,,
AUS,7,7,6.9,6.9,7,6.8,7.3,7.3,7.4,7.4,7.2,7.3,7.3,7.5,,,,
AUT,5.6,5.5,5.7,5.8,5.9,6,5.9,6,6.1,5.6,5.8,5.7,5.3,5.6,,,,
AZE,,,,8,8.1,8.6,8.6,8.9,8.8,8.7,8.7,8.5,8.5,8.5,,,,
BHR,,,,,,,4.7,,,,,,,,,,,
BGD,,,,,,,,,2.7,,2.8,,,,,,,
BLR,,,,,,,,,,,,,,,9.5,,,
BEL,8.7,9.1,9,8.9,9.2,8.5,8.9,8.1,8.5,9.2,9.2,8.8,8.6,8.4,,,,
BLZ,8.9,7.8,7.8,8.8,9,,,,,,6.3,,,,,,,
BTN,,,,,,,,,0.3,,3.1,3.1,,,3,3,3,3.5
BOL,9.4,5.7,6.4,,5,4.8,4.4,4.2,,3.8,4.5,4.8,4.8,,,,,
BWA,,9.6,,10.2,,8.9,8.4,,8.4,,,8,,,,,,
BRA,,,,,,5.8,,5.5,5.4,5.4,5.4,5.4,5.6,9.2,9.4,,,
BGR,,,,,,7.3,7.7,7.3,7.5,7.4,6.9,6.9,6.7,,,,,
BFA,,,,,,,,,0.9,,0.8,,,,,,,
BDI,,,,0.4,,,,,,,,,,,,,,
KHM,,,,1.7,,1.7,1.4,,,,,,,,,,,
CAN,7,6.8,6.7,6.6,6.7,6.6,6.6,6.6,6.6,6.5,6.8,7,7,7,,,,
CHL,,,,,,,,6.7,,,,,,,,,,
CHN,,,,,,,,,13.2,13.2,13,12.8,12.6,12.6,12.3,12.1,11.2,
CRI,,5.3,5.6,5.5,5,5.7,5.5,5.8,6,5.8,5.9,5.9,5.7,5.8,,,5.9,
HRV,,4.8,4.9,4.9,5.4,5.7,5.2,5.7,5.4,5.8,5.6,5.8,5.5,5.6,,,,
CYP,,,,,5.6,5.8,6.2,6.4,6.5,6.4,6.5,6.9,7,7.1,,,,
CZE,6.2,6.3,6.2,5.9,6,6.3,6.3,6.5,6.1,5.9,6.2,6,5.9,5.6,,,,
DNK,7.1,7.4,7.4,7.4,7.2,7.4,7.7,7.7,7.8,7.9,7.6,7.7,7.4,7.4,,,,
DOM,,6.2,6.3,,,7.4,,,,3.1,3.2,4.4,4.8,,,,,
ECU,,,,,6.8,6.6,5.8,6.9,6.6,6.8,6.7,7,,,,,,
EGY,,9.6,10.8,10.3,10.5,10.4,10.4,11,10.9,9.9,9.9,9.6,9.6,9.1,,,,
SLV,3.9,,3.3,3,3.3,3,3.6,3.9,3.4,3.4,3.8,3.5,3.7,3.3,3.3,3.2,3.1,3.2
EST,8.5,8.7,9.2,8.9,8.7,7.8,8.8,9.5,9.6,9.2,9,9.1,8.3,9.1,,,,
ETH,,,,,,,,,,8.2,0.9,8.2,,,,,,
FIN,6.6,6.4,6.6,6.9,6.7,6.9,6.9,6.8,7,7.2,7,6.9,6.6,6.3,,,,
FRA,7.5,7.6,7.5,7.7,7.6,7.5,7.5,7.6,7.3,7.4,7.2,7.1,6.8,6.9,,,,
GEO,,,,8.3,8,6.5,7.4,7.1,7.5,7.5,7.5,7.6,7.3,,,,,
DEU,5.1,5.3,5.3,5.5,5.4,5.3,5.4,5.5,5.7,5.7,5.8,5.8,5.9,5.9,,,,
GHA,,,,,,,,,,,,2.9,,,,,,
GRC,5.8,5.8,6,6.1,6.2,6.1,6.4,6.4,6.7,7.3,7.1,7.4,7.1,7,,,,
GTM,,,,3.2,,,,,,,,4.1,,,,,,
GUY,,,2.8,,,,,5.5,,,,,,,,,,
HUN,9.1,8.8,8.1,8.3,8.1,8.3,8,8.2,8.4,8.5,8.3,8.2,8.1,8,,,,
ISL,6.5,6.8,6.3,6.5,5.9,6.3,7.4,8.1,7.8,7.8,7.4,7.4,7.6,8.2,,,,
IND,,,,,,2.2,,,,,2.6,,,,,2.7,,
IDN,,,,,,2.7,2.8,2.7,2.5,2.8,3.1,3.3,3.5,3.2,,,,
IRN,,7.1,,,,,,,,,6.6,6.4,6.3,5.9,,,,
IRQ,,,,,,,,,,8.1,,8.5,8.6,9,,,,
IRL,6.9,7.3,6.8,6.7,6.3,6.1,6,6.3,6.5,6.4,6.4,6.6,6.6,6.7,,,,
ISR,12,12.1,12.1,12.7,12.5,12.3,12.3,12.6,12.7,12.6,12.6,12.7,12.8,12.6,12.6,,,
