ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,3,,2.7,2.7,,,,,,,,
ATG,,,,,,,7.4,7.9,7.9,7.9,7.9,7.9,7.9,7.9,,,,
ARG,5.8,5.3,5.3,5.4,5.8,5.9,6.3,7.2,5.5,5.6,6,5.6,5.6,5.3,5.5,5.6,5.6,
ARM,,,,,,,,3.8,3.9,4.1,4.4,3.7,3.8,4.6,4.5,,,
AUS,4.8,4.7,4.9,5,4.9,4.9,4.6,4.6,4.5,4.6,4.6,4.6,4.8,4.7,,,,
AUT,3.9,4,4.2,4.3,4.3,4.2,4.1,4.2,4.5,5,4.6,4.8,5,5.1,,,,
AZE,,,,2.9,3.4,3.3,3.4,3.4,3.4,3.3,3.4,3.3,3.3,3.3,,,,
BHR,,,,,,,3.6,,,33.2,,,,,,,,
BGD,,,,,,,,,5.8,,5.5,,,,,,,
BLR,,,,,,,,,,,,,,,3.5,,,
BEL,3.8,3.7,3.9,4,3.8,3.5,3.8,4.1,4,3.9,4,4,4.2,4.1,,,,
BLZ,3.7,3.9,3.5,3.7,4.2,,,,,,3.9,,,,,,,
BTN,,,,,,,,,3.5,,19.6,2.2,,,8.6,2.1,1.2,4.6
BOL,9.9,3.3,3.5,,2.4,3.1,2.8,3.2,,3.8,3.6,3.2,3.2,,,,,
BWA,,2.1,,0.8,,4.5,2.7,,2.1,,,2,,,,,,
BRA,,,,,,3.6,,4,3.7,4.1,3.8,4.3,4.1,4.4,4.2,,,
BGR,,,,,,3,3.5,3.1,3.7,4,3.9,3.9,3.6,,,,,
BFA,,,,,,,,,0.4,,0.5,,,,,,,
KHM,,,,1.4,,0.7,0.9,,,,,,,,,,,
CAN,4.3,4.4,4.5,4.6,4.7,4.5,4.5,4.7,4.7,4.7,4.6,5,5.1,5.1,,,,
CHL,,,,,,,,4.8,,,,,,,,,,
CHN,,,,,,,,,1.2,1.1,1.1,1,1,1,1,1,1.5,
CRI,,,,,,,3.9,3.7,4.4,3.8,3.7,3.6,3.8,4.1,,,3.8,
HRV,,3.2,3.1,3.4,3,3.7,3.3,3.3,3.4,3.7,4,4.1,4.4,4.3,,,,
CYP,,,,,4.5,4.5,4.8,5,5.3,5,5.2,6,5,4.8,,,,
CZE,3.4,3.3,3.3,3.8,3.7,3.7,3.8,3.8,3.9,3.9,4,4,3.9,4,,,,
DNK,4.4,4.5,4.7,4.4,4.5,4.7,4.7,5.1,5.2,5.2,5.4,5.2,5.3,5.3,,,,
DOM,,4.9,5.4,,,6,,,,4.9,4.6,7.8,7.4,,,,,
ECU,,,,,4.4,4.9,4.2,3.5,4.9,4.6,4.1,4,,,,,,
EGY,,2.2,1.9,2,2.1,2,2,2.1,2.3,2.2,2.4,2.5,2.5,2.6,,,,
SLV,,,3.3,,,,,,,,,,,,,,,
EST,4.6,4.7,5.3,4.8,5.1,5.2,5.3,5.1,5.1,4.8,5.1,5.3,5.4,4.9,,,,
ETH,,,,,,,,,,9,1.4,9.1,,,,,,
FIN,4.8,5.1,5.3,5.1,5.2,5.2,5.3,5.4,5.5,5.6,5.6,5.6,5.6,5.6,,,,
FRA,4.1,4.2,4.3,4.2,4.2,4.3,4.3,4.4,4.1,4.2,4.5,4.4,4.5,4.4,,,,
GEO,,,,2.8,2.5,2.6,2.5,2.8,2.5,2.4,2.2,2.4,2.6,,,,,
DEU,4.9,5,4.9,5,5.2,5.3,5.4,5.6,5.3,5.3,5.9,5.7,5.4,5.5,,,,
GHA,,,,,,,,,,,,2.7,,,,,,
GRC,3.3,3.4,3.3,3.4,3.5,3.2,3.2,3.7,3.6,3.6,3.5,3.4,3.6,3.8,,,,
GTM,,,,1.9,,,,,,,,,,,,,,
GUY,,,2,,,,,4,,,,,,,,,,
HUN,5.1,4.5,4.6,4.6,4.5,4.2,4.2,4.1,4.4,4.3,4.5,4.4,4.6,4.6,,,,
ISL,6.9,6.8,6.5,6.6,6.4,6.7,6,6.4,6.2,6.7,6.3,6.4,6.8,7,,,,
IND,,,,,,2.4,,,,,1.8,,,,,1.9,,
IDN,,,,,,2,0.8,0.9,1,0.9,1.5,2.3,3.2,4.1,,,,
IRN,,1.5,,,,,,,,,2.1,2.1,2.1,2.2,,,,
IRQ,,,,,,,,,,3.3,,4.8,7.3,8.1,,,,
IRL,5.3,5.2,5.3,4.6,4.7,4.4,4.4,4.7,4.4,5.1,4.9,4.9,4.9,4.8,,,,
ISR,4.7,4.7,4.7,4.8,4.6,4.8,4.7,4.8,4.8,4.6,4.7,5,4.6,4.7,5,,,
ITA,4.1,4.2,4.2,4.3,4.3,4.3,4.3,4.4,4.5,4.6,4.8,5.1,5,4.9,,,,
JAM,,,,,,,,,,,,,,4.8,5,5,5.4,5.3
JPN,,,,,,,,,5.6,5.6,5.6,5.7,5.5,5.6,,,,
JOR,,,,,,5.3,5.5,5.2,5.6,5.4,5.6,5.7,5.6,6,6.1,,,
KAZ,,,,,3.1,,2.7,2.8,2.8,2.8,2.8,2.7,2.6,2.6,2.8,,,
KWT,1.7,,,,,,,,2.3,,4.2,,,,,,,
KGZ,2.4,2.5,2.5,2.6,2.4,2.5,2.6,2,2,2.1,2.2,2.3,2,2.3,,,,
LAO,0.6,,,,,,,,,,,,,,,,,
LVA,,5.3,4.9,4.5,4.6,4.7,5.1,5.4,5.6,5.9,5.6,4.6,4.8,5.1,,,,
