ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,0.6,,0.2,0.4,,,,,,,,
ATG,,,,,,,3.6,3.9,3.9,3.9,3.9,3.9,3.9,3.9,,,,
ARG,7.4,7.8,8,7.5,7.7,7.9,7.8,7.4,7.6,7.5,7.7,7.8,7.8,7.6,7.7,7.5,7.3,
ARM,,,,,,,,,,,,,,0.3,0.3,,,
AUS,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,,,,
AUT,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.2,0.3,0.3,0.2,0.3,,,,
BHR,,,,,,,10.2,,,,,,,,,,,
BEL,0.1,0.2,0.2,0.2,0.5,0.4,0.3,0.3,0.3,0.4,0.5,0.6,0.8,0.9,,,,
BLZ,3.7,3.8,4.1,3.6,3.7,,,,,,5.9,,,,,,,
BTN,,,,,,,,,,,,4,,,5,0.1,0.6,1.7
BOL,,6.7,5.4,,2.4,3.9,3.6,3.3,,3.2,2.5,2.6,3.4,,,,,
BWA,,5.5,,6.6,,4.4,4.9,,4.7,,,4.7,,,,,,
BRA,,,,,,7.6,,7.7,7.7,7.7,7.6,7.6,7.4,7.2,7.8,,,
BGR,,,,,,,,,,,,,0.2,,,,,
BFA,,,,,,,,,0.8,,0.5,,,,,,,
BDI,,,,0.9,,,,,,,,,,,,,,
KHM,,,,0.2,,0.6,0.4,,,,,,,,,,,
CAN,0.7,0.6,0.6,0.6,0.7,0.5,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,,,,
CHL,,,,,,,,6.1,,,,,,,,,,
CRI,,5.6,6,6,6.4,6.2,4.9,5.3,4.8,5.5,6.8,7.2,6.7,6.1,,,7.5,
HRV,,0.2,0.3,0.3,0.2,0.2,0.3,0.4,0.3,0.2,0.3,0.3,0.3,0.3,,,,
