ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,0.1,,0,0.1,,,,,,,,
ATG,,,,,,,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,,,
ARG,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ARM,,,,,,,,,,,,,,0.3,0.2,,,
AUS,0,0,0,0,0,0,,,,,,,,,,,,
AUT,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,,,,
AZE,,,,0,0,0,0,0,0,0,0,0,0,0,,,,
BHR,,,,,,,0.7,,,,,,,,,,,
BEL,0.4,0.5,0.4,0.5,0.8,0.6,0.5,0.2,0.2,0.3,0.7,0.6,0.7,0.7,,,,
BLZ,0.5,1.4,0.5,0.4,0.3,,,,,,0.6,,,,,,,
BTN,,,,,,,,,,,,0.1,,,0,,,0.1
BOL,0.3,0.1,0.1,,0,0.1,0,0.1,,0.1,0.1,0,0,,,,,
BWA,,0.1,,0.1,,0.1,0.1,,0,,,0.2,,,,,,
BRA,,,,,,0,,0,0,0,0,0,0,,,,,
BFA,,,,,,,,,0.1,,0.1,,,,,,,
KHM,,,,0.2,,0.1,0.2,,,,,,,,,,,
CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CHL,,,,,,,,0,,,,,,,,,,
CRI,,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,,,0.1,
HRV,,0,0.4,0,0,0,0,0.1,0,0,0,0,0,0,,,,
CYP,,,,,0.9,0.8,0.8,0.9,0.7,0.6,0.9,0.8,0.7,0.7,,,,
CZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
DNK,0,0,0,0,0,0,0,0.1,0.1,0,0,0.1,0,,,,,
DOM,,0.1,0,,,0,,,0,0,0,0,0,,,,,
ECU,,,,,0,0,0,0,0,0,0,0,,,,,,
EGY,,,,0,0,0,0,0,0,0,0,0,0,0,,,,
SLV,,,0.1,,,,,,,,,,,0,,,,
ETH,,,,,,,,,,0.6,0.2,0.7,,,,,,
FIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
FRA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,
GEO,,,,0.1,0.1,0.1,0.1,0,0.2,0.2,0.2,0.1,0.2,,,,,
DEU,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,
GHA,,,,,,,,,,,,0,,,,,,
GTM,,,,0.2,,,,,,,,0.2,,,,,,
GUY,,,0.1,,,,,0.2,,,,,,,,,,
HUN,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,,,,
ISL,0.6,0.4,0.6,0.5,0.5,0.5,0.6,0.5,0.3,0.2,0.2,0.2,0.3,0.1,,,,
IND,,,,,,0,,,,,0,,,,,0,,
IDN,,,,,,0,0,0,0,0,0,0,0,0,,,,
IRN,,0,,,,,,,,,0,0,0,0,,,,
IRQ,,,,,,,,,,0.1,,0.1,0,0.1,,,,
IRL,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,,,,
ISR,0.1,0,0.1,0.1,0,0,0,0.1,0,0,0.1,0.1,0,0.1,0.1,,,
ITA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,,,,
JAM,,,,,,,,,,,,,,0.5,0.3,0.3,0.2,0.3
JOR,,,,,,0.3,0.2,0.3,0.3,0.3,0.4,0.3,0.3,0.2,0.3,,,
KAZ,,,,,0,,0,0,0,0,0,0,0,0,0,,,
KWT,0.1,,,,,,,,0,,0.1,,,,,,,
KGZ,,,,,,,,0,0,0,0,0,0.1,0,,,,
LVA,,,,,0,0,0,0,0,0,0,0,0,0,,,,
LSO,,,0,,0,,,,,,,,,,,,,
LTU,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,
LUX,4.3,4.7,4.1,4.9,4.8,4.5,3.4,3.9,4.1,4.9,4.9,4.9,5.2,5.2,,,,
MKD,,,,,,,,0.2,0.3,0.3,0.2,0.2,0.3,0.1,,,,
MYS,,,,,,,0,0,0,0,0,0,0,0,0,,,
MDV,,,,,,,,,0.1,,,0.2,,,,,,
MLI,,,,,,,,,,0,,,,,,,,
MUS,,,,,,,,,,0,0,0.1,0.1,0.1,,,,
MEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
MNG,,,,,,,,,0.1,,,,0.1,,,,,
MNE,,,,,,,,,0.1,,0.2,,,,,,,
NAM,,,0.1,,,0.1,,,,0,,,,0,,0.4,,
NPL,,,,,0.1,,0.6,,,,,,,,,,,
NZL,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,,,,
NIC,,,,,,,,,0.3,0.2,0.4,0.4,,,,,,
NIU,,,,,,,0.6,0.6,,,,,,,,,,
OMN,,0.1,,,,0,,,,,,,,,,7.5,,
PAN,0.8,0.6,0.6,0.3,0.2,0.1,0,0,0.1,0.1,0,0.1,0.1,0.1,0,0.1,,
PNG,,,,,,0,,,,,,,,,,,,
PER,,0,0,0,0,0,0,0,0,0,,0,0,0,,,,
PHL,,,,,,,0,0,0,0,0,0,0,0,,,,
POL,,,,0,,,,,,,,,,,,,,
QAT,,,0.2,,,,0.2,,,0.3,,0.3,0.2,0.2,0.2,,,
KOR,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,
MDA,,,,,0,0,0,0,0,0,0,0.1,0.1,0.1,,,,
