ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DZA,,,,,,,0,,0,0.2,,,,,,,,
ATG,,,,,,,6.8,,,,,,,,,,,
ARG,0.4,0.4,0.6,0.4,0.3,0.4,0.3,0.3,0.6,0.3,0.3,0.2,0.4,0.6,0.5,0.5,0.6,
AUS,0,0,0,0,0,0,,,,,,,,,,,,
BHS,0.2,0.5,0.3,0.4,0.4,,0.4,0.5,0.3,0.1,0.3,0.3,0.2,0.4,0.4,,0.4,
BHR,,,,,,,1.9,,,,,,,,,,,
BLR,,,,,,,,,,,,,,,5.9,,,
BLZ,,,,,,,,,,,0.1,,,,,,,
BOL,0.1,0,0,,,,0,,,,,,,,,,,
BWA,,0.1,,1.6,,1.2,0.7,,0,,,0,,,,,,
BRA,,,,,,1.3,,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,,,
BGR,,,,,,0.5,,,,0.2,,,,,,,,
CHL,,,,,,,,0,,,,,,,,,,
CHN,,,,,,,,,3.1,3.2,3.2,3.3,3.3,3.4,3.5,3.6,2.9,
COL,,,,,,,,0,0,0,0,,0,0.2,,,,
CRI,,0.9,0.7,0.8,0.5,0.7,0.4,0.3,0.4,0.3,0.4,0.2,0.3,0.4,,,0.3,
CZE,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,,,,
DNK,0.1,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.1,0.1,0,0,0.1,0.1,,,,
ECU,,,,,0,0,0.5,0,0,0,0,0,,,,,,
EGY,,1.1,0.3,0,0,0,0,0,0,0,0.2,0.2,0.2,0.1,,,,
SLV,,,0.2,0.1,0.1,0.1,0.1,0.4,0,0,0,0,0,,0.1,0,0,0
EST,0,0,0,0,,,,,,,,,,,,,,
ETH,,,,,,,,,,0,0,0.1,,,,,,
FIN,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.5,,,,
FRA,0.1,0,0,0,0,0,0,,0.7,0.2,0.4,0.2,0.2,0.6,,,,
GEO,,,,0.1,0.1,0.1,0.1,0,0,0.1,0,0,0,,,,,
GUY,,,1.5,,,,,3.6,,,,,,,,,,
HUN,0,0,0,0,,,,,,,,,,,,,,
ISL,0,0.1,0.1,0,0.1,0.1,0.3,0.2,0.1,0.2,0.1,0,0.2,0.1,,,,
IDN,,,,,,0,0,0,0,0,0.1,0,0.1,0.1,,,,
IRN,,2,,,,,,,,,0,0,0,0.1,,,,
IRQ,,,,,,,,,,,,0,3.6,0,,,,
IRL,0.3,0.3,0.3,0.8,0.5,0.7,0.5,0.6,0.4,0.5,0.7,0.6,0.4,0.5,,,,
ISR,0.7,0.5,0.6,0.6,1,1.1,1.1,1.2,0.8,1,0.9,0.8,0.8,0.8,0.9,,,
JPN,,,,,,,,,0.9,1.1,1.2,1.1,1.2,1.2,,,,
KAZ,,,,,0.1,,,,,,,,,,,,,
KWT,1,,,,,,,,0,,0.7,,,,,,,
LVA,,,,,0,0,0,0,0,0,0,0,0,0,,,,
LUX,0.6,,,0.4,0.4,,0.3,,0.3,,,,,,,,,
MDV,3.5,,,,,17.2,,,2.6,,,4.3,,,,,,
MLI,,,,,,,,,,,,0.1,,,,,,
MUS,,,,,,,,,,0.2,0.1,0.3,0.6,0.4,,,,
MEX,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.6,0.7,0.7,0.8,,,,
MNG,,,,,,,,,,,,,0,,,,,
MNE,,,,,,,,,4.2,,,,,,,,,
MAR,,,,,,,,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1
NAM,,,0.5,,,0.6,,,,0.1,,,,0.2,,1.7,,
NPL,,,,,,,0.2,,,,,,,,,,,
NLD,3,5.7,5.9,4.7,5.2,6.3,5.5,9.4,3.4,4.8,4.8,4.4,3.9,5.7,,,,
NZL,0.1,0.3,0.3,0.3,0.2,0.4,0.2,0.1,0.2,0.2,0.2,0.4,0.5,0.5,,,,
NIU,,,,,,,0.5,0,,,,,,,,,,
NOR,0.3,,,,,,,,,,,,,,,,,
OMN,,0.2,,,,0.3,,,,,,,,,,0.1,,
PNG,,,,,,1.3,,,,,,,,,,,,
PRY,,,,,,,,,,,,,0,0,,,,
PER,,0,0,0,0,0,0,0,0,0,,,,0,,,,
POL,0.1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
QAT,,,0.1,,,,0.6,,,0,,,,,,,,
RWA,,,,,,,,,,,0.8,,,,,,,
LCA,0.7,0.2,0.3,0.3,0.1,1.3,,14.8,10.9,9.7,5.1,7.9,,,,,,
VCT,,,,,,,4.2,,,,,,,,,,,
WSM,,,,,,,1.7,,,,,4.7,,,,,,
SMR,4.7,4.3,4.3,3.9,3.5,,0,0,0,0,0,0,0.1,0.1,,,,
STP,,,,,,0.6,,,,,,,,,,,,
SAU,,,,,0.1,0.1,0.2,,,,,,,,,,,
SEN,,,,,,,,,,,,15.4,,,,,,
SRB,,,,,,,,,,0.1,0,0,0,0,,,,
SVK,0.1,0,0,0,0,0,0,0,0.1,0.2,0.2,0.1,0,0,,,,
SVN,0,0.1,0.2,0.4,0.3,0.7,1.1,0.7,0.7,1.1,0.5,0.3,1,,,,,
ZAF,,,,,,0.8,0.4,0.6,0.3,0.2,0.2,0.3,0.4,0,,,,
LKA,,,,,,,,5.2,5.5,5.5,5.3,2.8,3.4,2.4,2.8,2.7,2.8,1.4
SUR,,,,,,,,,,4.8,,,,,,,,
SWE,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.1,,,,
SYR,,,,,,,,,,,,,0,,,,,
TJK,,,,,,,,,,0.4,,,,,,,,
THA,0,0.1,0,0,0,0,0.1,0,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,
TLS,,,,,,,3.2,,,,,,4.9,,,,,
TUN,,,,,,,,,,,,,0.9,0.9,0.9,0.9,0.7,
UGA,,,,,,,,,,,0.7,,,,0.1,,,
ARE,0.1,,,,,0.1,,,,,0.7,,,0.2,0,,,
GBR,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.2,0.3,0.4,0.3,,,,
URY,,,,,,0,0,0,0,0,0,0.1,0.1,,,,,
YEM,,,,1,0,,,,,,,,,,,,,
ZWE,,,,,,,,,,10.6,,,,,,,,
AAE,,,,,,,,,0.86,0.92,0.96,1.61667,1.44286,1.06,1.8,1.85,1.5,
AME,,,,,,0.466667,,1.58462,1.15455,1.325,0.636364,1.06667,0.211111,0.325,,,,
ANE,,,,,,,,,,,,,0.8,0.328571,,,,
UMA,,,,,,,,,1.51333,1.18235,0.735714,1.17333,0.807692,0.486667,1.85,1.36,0.92,
EAM,,,,,,,,,0.2,0.2,0.2,0.4,0.5,0.5,0.1,0.1,0.1,
LCM,,,,,,0.4,,0.3,0.2,0.1,0.2,0.2,0.2,0.2,,,,
MEM,,,,,,,,,,,,,0.2,0.2,,,,
UMM,,,,,,,,,0.3,0.2,0.1,0.2,0.4,0.2,0.5,0.9,0.6,
EAE,,,,,,,,,1.98702,2.05603,2.06837,2.11197,2.1231,2.17435,2.14842,2.20765,1.77516,
LCE,,,,,,0.550529,,0.216224,0.174071,0.208736,0.208679,0.220582,0.232655,0.281836,,,,
MEE,,,,,,,,,,,,,0.385501,0.104017,,,,
UMW,,,,,,,,,1.84919,1.9105,1.90155,1.96217,2.00778,2.02188,2.04921,2.06277,1.6595,
# Series: SWESTOX3,,,,,,,,,,,,,,,,,,
