ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,,,,,,,,,,38.7,45.9,47.1,48.5,,
DZA,,,,,,,61.4,,64.6,61.9,36,,,34.1,32,32.4,65.6,
ATG,,,,,,,77.4,,,,,,,,,,,
ARG,68,68.5,69.6,69.9,70.1,69.6,68.8,67,69.9,70.8,71.2,72.5,73.2,73.2,73,73.5,73.8,74
ARM,,,,,,,,,,,,,,63.1,60.4,62.3,59.3,
AUS,82.1,82.4,82.6,82.9,82.9,83.3,83.4,83.4,83.8,84.1,84.5,84.9,85.5,85.9,85.9,86.1,86.7,
AUT,85.6,85.4,85.7,85.7,85.9,85.7,85.7,85.4,85.7,85.2,84.8,84.7,83.9,84.3,84.5,84.1,84.1,84.5
AZE,,,,,,,,,34.3,33.2,33.8,47.5,50.7,47.7,,,,37.4
BHS,83.1,78.4,80.7,81,78.9,,80.6,79.3,81.4,81.6,,,,82.9,,,80.5,
BHR,,,,,,,,95.2,95.3,94.5,95.4,95.3,95.6,95.7,95.8,96.2,,
BGD,,14.7,,,,15.2,,,13.8,,14.5,,,,,,,
BRB,83.9,83.6,83.6,83.4,81.4,82.6,81.3,81.1,80.1,79.5,,,,,,,,
BLR,,,,,,,,,,,,,,,93.5,,,
BEL,81,80.6,81.3,81,81.8,82.3,83.2,83.1,83,83,82.5,82.4,82.6,83,82.3,82.7,82.5,82.4
BLZ,65.5,61.7,61.8,64,62.1,,,,,,66.9,,,,,,,
BEN,,,,,,,,,16.3,,,,,,,,,
BTN,,,,,,,,,,,,40.9,,,36,38.5,39.9,41.2
BOL,59,57.3,53.1,,37,36.1,37.7,36.2,44,44,41.4,39.2,43.1,42.5,46.2,,,
BIH,,,,,,,,,,,,72.2,72.7,72.6,74.1,74.4,75,72.8
BWA,,,,,,,,,,,,62.2,,,,,,
BRA,60,60.5,,,,62.4,60.1,60.3,60.1,60.9,61.3,61.9,63,64.2,64.3,,,
BGR,,,,,,80.1,81.2,81.6,80.6,80.9,83.1,84.1,84.9,85.3,85.2,85,85.5,85.9
BFA,,,,,,,,,8.4,,,9.7,,,,,,
BDI,,,,9.6,,,,,,,,,,,,,,
KHM,,,,,,18.6,19.1,,,,,,,20.6,30.9,35.4,35.8,41.2
CMR,,22.3,,,,,29.3,,,,,,,,,28.6,,
CAN,80.8,80.1,79.6,79.6,79.6,80.6,81.3,81.3,81.2,81,80.9,81.4,80.8,80.9,89.5,89.8,90.1,
CPV,,,,,,43.8,,,,,,,,,,,,
