ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ALB,,,,,,,,,,,,,34.6,40.4,41.4,43.8,,
DZA,,,,,,,60.9,,64.8,59.8,38.2,,,35,33.1,33,67,
AGO,,,,,,,,,,,,,,,20.6,,,
ATG,,,,,,,79.7,,,,,,,,,,,
ARG,70.6,70.7,71.7,72.1,72.4,72.3,71.8,71.6,73.6,74.1,74.5,75.8,76.4,76.3,76,76.4,76.9,77
ARM,,,57.4,55.1,53.8,52.8,51.9,50,48.9,47.6,48.2,48.8,58.1,58,56.8,56.9,55.6,
AUS,84.6,84.9,84.9,85.4,85.5,85.9,86.2,86.1,86.6,86.8,87.1,87.5,88,88.2,88.4,88.4,88.8,
AUT,85.7,85.6,86.1,86.2,86.3,86.5,86.6,86.5,87,87,86.7,86.5,85.7,86.3,86.6,86.2,86.3,86.7
AZE,,,,,,,,,32.7,33.2,33.8,41,41.8,42.4,,,,33.3
BHS,85.2,81.8,84.7,84.9,83.2,,85.1,84,85.2,84.4,,,,86.5,,,85.4,
BHR,,,,,,,,95.8,95.9,95.4,96,95.9,96.1,96.2,96.3,96.8,,
BGD,,12.4,,,,12.6,,,13.7,,13.9,,,,,,,
BRB,86.8,86.2,87.1,86.6,85.5,87,85.6,85.6,85.3,84.4,,,,,,,,
BLR,,,,,,,,,,,,,,,94.2,,,
BEL,82.1,82,82.8,82.6,82.7,84,84.8,84.6,84.8,85.3,84.8,84.9,85.2,85.8,85.2,85.6,85.7,85.7
BLZ,68.3,65.6,64.5,66.6,65,,,,,,69.3,,,,,,,
BEN,,,,,,,,,10.1,,,,,,,,,
BTN,,,,,,,,,,,,32.2,,,25.5,31.1,28.9,27.5
BOL,51.6,49.4,47.1,,28.9,29,29.5,29.2,36,36,34.8,34.6,34,37.1,40.2,,,
BIH,,,,,,,,,,,,72.5,72.9,72.5,72.8,73.5,74.8,72.6
BWA,,,,,,,,,,,,60.5,,,,,,
BRA,60.1,61.6,,,,66.6,62.1,62,62.1,62.9,62.7,63.6,64.8,65.8,66.4,,,
BGR,,,,,,83.1,84.3,84.4,83.8,83.9,85.7,86.9,87.6,87.6,87.5,87.2,87.9,88.4
BFA,,,,,,,,,5.7,,,7.1,,,,,,
BDI,,,,5.5,,,,,,5.2,,,,,,,,
KHM,,,,,,15.2,16.2,,,12.9,,,,17.3,26.9,29.8,31.4,35.8
CMR,,14.2,,,,,19.2,,,,16,,,,,20.3,,
CAN,84.2,83.4,82.9,82.9,83,83.8,84.8,84.9,84.7,84.6,84.5,84.8,84.5,84.6,90.5,90.8,91,
CPV,,,,,,38.9,,,,,,,,,,,,
CHL,69.4,70.1,70.4,69.2,69.2,69.4,68.6,68.5,68.2,68.2,70.2,71.1,72.1,72.8,72.3,73.5,68.5,
COL,66.2,66.5,64.9,64.1,61.4,52.2,48,48.4,50.3,49.1,49.3,50.8,54.2,48.6,47.5,46.3,46.3,46.4
COG,,,,,,,,,,,21.7,,,,,,,
COK,,,,,,,,,,,,84.5,,,,,97.7,
CRI,71.4,71.2,69.9,70.9,71,70.8,68.8,68.3,69.5,68.8,71.4,70.7,73,72.9,72.7,76.1,76,76.1
CIV,,,,,,,,19.6,,,,,,,,,,
HRV,,71.4,74.1,75.3,75.2,76.1,75.7,75.9,75.6,75.9,75.1,77,78.4,78.4,78.4,77.4,77.3,78.8
CUB,84,84.3,83.6,82.7,81.5,81,80.1,80.2,79.7,79.8,80.4,82,83.1,83.3,83.8,83.8,77.3,
