ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,306,364,,685,1576,,,,,,,2793,4164,
DZA,,,,,,,,7251,8283,,,,9599,,,
ARG,,,,,,,,30437,33111,33712,34115,35027,37524,40013,,
AUS,6853,6957,7363,6781,7220,7422,7589,7656,7617,7498,7666,7933,8549,8667,,
AUT,,3098,,,,1979,2072,2350,2524,1897,2350,2423,2745,2842,,
AZE,,,,,,,,,,,267,281,351,351,342,
BGD,,,,1120,1209,1698,1520,1493,,3158,3158,4222,,6800,,
BRB,,,,,,,,,,,,,,6,,
BLR,,,,,,,,11583,12874,,13031,13621,14204,14140,14121,
BEL,,,3509,3680,3736,4107,4158,4843,4937,5110,5277,5448,6195,5956,,
BEN,,,,,,,,,,,,362,,325,,
BTN,,,,,,,,,,,,,30,30,,
BIH,,,,,,,,,,,,,,1860,2000,
BRA,,,,,29421,32511,35193,38862,,44727,49848,54523,61076,,,
BGR,,2492,2351,2251,2355,2228,2376,2372,2562,2671,2867,3029,3243,3311,,
BFA,,,,,,,,,,70,77,144,212,131,34,
BDI,,,,,59,,,,,,,,,,,
KHM,,,,75,153,,279,,,,,,,,,
CMR,,,,,,,,,,,150,173,203,196,,
CAN,9389,,,,,,,,,,,,,,,
CPV,,,,,,,,,,,,,6,,,
CAF,,,,,,,,,,,,,89,,,
CHL,,,,,11857,11669,11270,13767,13811,11249,12014,12029,12987,12985,12748,
COL,,,,6590,,,8646,11109,,11177,12863,12704,13383,26243,20674,
COG,,,,77,118,,,,,,,,,,,
CRI,,,,,,,1343,,,,,,,,,
CIV,,,,,,,,,,126,,64,45,,,
HRV,,1755,,1848,1881,1901,,2226,2338,2447,2628,2608,2695,2941,,
CUB,,,,,,,,,,3962,4777,,4457,3428,3170,
CYP,,,,,,,,,,2,18,38,62,96,,
CZE,,5606,4666,4799,5138,5739,6339,6896,7115,7715,8087,8719,9179,9360,,
COD,,,,,,,,,,,,,,8019,5531,
DNK,,1815,1873,1656,1801,1652,1693,1744,1771,1883,1851,1926,2133,,,
ECU,,,,,,,,,,,4729,,,,,
SLV,,,,,,449,,529,518,568,580,652,765,801,871,
ERI,,,,,,,27,,,,,314,,,,
EST,,586,602,592,2651,790,846,909,901,878,845,815,824,,,
ETH,,824,715,579,990,1393,1834,2122,,,3874,,5230,,,
FIN,2549,2801,3017,3256,3291,3350,3452,3535,3532,3577,3613,3471,3453,3489,,
FRA,,,,,,,,,8870,8784,10275,10217,11801,12108,,
GEO,,1546,1515,1226,1501,1193,1097,1635,1541,1191,,1379,1238,,399,
DEU,,,13902,14037,14038,14505,,,,,,,,19667,,
GHA,,,,,,,,,,,1370,2770,,1781,1376,
GRC,,,,,13295,,15756,16929,,15783,,,14011,,,
GRD,,,,,,,,,,,,363,,,,
GIN,,,,,,,77,,796,,818,1962,,,,
GUY,,,,,,,36,,58,91,7,,64,78,76,
HND,,,,,,593,,,,,,,,,1474,
HUN,,5161,,5521,5370,5865,6225,6170,5743,5229,4795,4322,4168,4011,,
ISL,5,16,14,23,21,29,34,40,34,43,63,54,71,98,,
IRN,,,,,,,46974,54762,52827,57414,68328,66986,84320,92629,96968,
IRQ,,,,,,,5007,,,,,,,,,
IRL,1200,,,,,,,,,,1081,1139,1224,1320,,
ISR,,737,765,760,786,876,963,960,965,911,892,929,882,,,
ITA,,15620,15759,15731,17747,19163,19793,20481,20826,21230,,,,21216,,
JAM,,,,,,,,,,,,,4,77,,
JPN,33309,33327,35119,35321,35264,35713,34854,34607,34335,34290,34812,35576,36138,37275,,
JOR,,,,,,,,2040,2071,2057,2326,2453,2244,2358,,
KAZ,,,,,,,,,,,,,,,7679,
KEN,,,1824,1909,,,,,,,,,,,,
KGZ,,,,514,379,350,388,443,514,679,966,,908,957,,
LAO,,,,,,,,,,1041,1202,1398,1071,1682,2020,
LVA,,1126,724,802,884,918,922,876,781,713,662,620,600,616,,
LBN,,,236,247,286,295,309,375,277,872,470,442,587,687,740,
LSO,,,,,,,,54,,,,,,,,
LBR,,14,189,,,,,,,,,,128,,566,
LTU,,3303,3380,3664,2260,2200,2274,2136,2113,2162,2216,2214,2080,1811,,
MKD,,1017,1150,1105,1046,726,633,675,549,611,587,597,646,643,,
MDG,,,,,,,,418,498,562,574,704,675,836,1067,
MWI,,120,,,,,,,,,,,,,,
MYS,,,,,9166,,13285,16072,16723,2209,3403,3221,4457,6499,,
MLI,,,,,,,,,,,,339,,327,272,
MLT,,13,3,15,8,9,11,22,,1,10,9,9,7,,
MRT,,,,,,12,,,,,,,,,,
MUS,,,,,,,,,,,,,,227,204,
MEX,,10181,10910,11964,12403,13644,14056,20905,22218,22606,22643,22767,24251,21388,,
MNG,,1384,2099,1683,2108,1947,2190,2324,2490,2523,2496,2791,2628,2757,2988,
MAR,,516,479,504,,660,663,684,786,1014,1144,1443,,,,
MOZ,,,,,,,262,392,,,720,1249,,1751,,
MMR,,,,,,,,,,,,,,2881,,
NAM,129,,,,,116,,,,,280,,,,,
NPL,,,,,,,,159,172,,213,212,292,267,,
NLD,,4045,4055,3942,4011,3868,4224,4085,3385,3404,3357,3330,3488,4754,,
NZL,1079,1143,1050,1238,1207,1269,1521,1570,1306,1327,1389,1561,1565,1708,,
NER,,,,,,,,,90,49,37,48,78,86,64,
NOR,1427,1398,987,991,1107,1154,1039,1064,,960,914,950,994,983,,
OMN,,,,,,,,,,,,,,653,,
PAN,,,,,451,36,405,536,351,616,491,542,592,970,,
PNG,40,,,,,,,,,,,,,,,
PHL,,,,,,43651,,,,,,,,,,
POL,23709,21834,19113,21249,22317,23098,23341,24119,25065,24864,23795,22769,21538,19439,18092,
PRT,,,6333,,5529,5173,4603,4251,3947,3887,4189,3864,3872,,,
KOR,15422,14750,16771,16241,16092,6999,13688,14165,13095,12806,12550,12381,12765,13396,13443,
ROU,,6589,7353,8451,9393,7474,7802,7628,8957,9536,8489,8233,7804,7206,,
RWA,,,,,,,,,,,,,,,1698,
WSM,,,36,,,,,,,,,,,,,
SMR,,,6,,,,,,,,,,,,,
SAU,1086,2183,1216,1338,1504,1597,,12,1305,1104,1145,1211,1939,1354,1497,
SRB,,,,,,,,,,4546,3321,3376,3275,3247,3343,
SLE,,,165,267,,,,,,,,,,,,
SGP,,,,,,,,,,,,60,98,111,125,109
SVK,,1920,2147,2163,2358,2371,2071,2181,2187,2409,2687,2525,2404,2457,2484,
SVN,,1132,1350,1457,1455,1547,1680,1958,1945,2115,2260,2232,2072,1924,1775,
ESP,,25448,26560,26514,21396,21195,20094,18796,32848,16324,15516,14788,14991,13984,,
LKA,,,,,,,,,,,,,2531,2438,2708,
SUR,,,,,38,,,,,,,,,,,
SWZ,,112,64,70,,,50,80,61,,,,,,,
SWE,,1652,1697,1681,1712,1775,1908,1968,2247,2316,2464,2521,2789,2887,,
CHE,,958,933,988,1007,1088,1127,1278,1168,1158,1170,1215,1322,1284,,
TJK,,,,,,,,,,,,,,,347,
TZA,,279,,,,,,,,,,,,,293,
THA,,,,,,,,,,,,,,31752,,
TTO,,,193,191,,,334,,,,,,,,,
TUN,,,,,,,,,,,,,4770,,,
TUR,18862,,,19338,20282,19282,23483,20895,35825,42278,51035,57037,61299,44944,,
UGA,,164,330,306,,,310,,,,,,,,,
UKR,,,,,,,,,,,,,,34264,,
GBR,,,,13449,13363,11383,11961,12172,13273,12772,14092,14573,15272,16514,,
USA,,,,,,,,,,,62209,60906,65068,66821,,
URY,,,,,,,,,,2269,2269,2329,,,,
UZB,,,,,,,,,1600,1603,1696,1837,2250,2759,,
VEN,,,,,,,,,,,20810,,,,,
VNM,,9906,8281,,15708,16864,,,,41797,46401,58754,69734,76748,,
ZMB,64,,,,,,,,,,,,,,,
ZWE,,,,,,,,,,,,,754,724,724,
ECZ,,,,,,,,,211972,210777,,,,266232,,
HIS,,,,,,,,,,,244366,243383,265815,288729,,
