ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,665,725,,736,2433,,,,,,,6087,6995,
DZA,,,,,,,,7766,9318,,,,10305,,,
ARG,,,,,,,,41866,43093,43448,43951,45099,47027,46440,,
AUS,10145,9589,9589,8490,8465,8228,8362,7409,6825,7056,6799,7030,7373,7184,,
AUT,,2798,,,,1296,1315,1381,1619,1080,1310,1420,1869,2003,,
AZE,,,,,,,,,,,399,472,364,382,386,
BGD,,,,6466,5689,7144,6883,7159,,9642,9658,10347,,14719,,
BRB,,,,,,,,,,,,,,13,,
BLR,,,,,,,,28670,30265,,30470,30917,32234,32307,32974,
BEL,,,4515,4345,4005,4058,4191,4961,4829,4716,4831,6184,5477,5082,,
BEN,,,,,,,,,,,,1113,,1264,,
BTN,,,,,,,,,,,,,226,121,,
BIH,,,,,,,,,,,,,,2428,2406,
BRA,,,,,43637,47943,52022,58418,,68081,73877,77617,83636,,,
BGR,,3525,3326,2989,3110,2924,3093,3099,3405,3793,3449,3344,3587,3572,,
BFA,,,,,,,,,,251,194,368,741,363,100,
BDI,,,,,333,,,,,,,,,,,
KHM,,,,656,937,,1365,,,,,,,,,
CMR,,,,,,,,,,,525,606,718,886,,
CAN,10196,,,,,,,,,,,,,,,
CPV,,,,,,,,,,,,,23,,,
CAF,,,,,,,,,,,,,254,,,
CHL,,,,,14385,14713,15420,17866,15808,14308,14353,14050,15006,14575,14187,
COL,,,,11498,,,14332,18873,,17690,21058,20126,19594,26832,27874,
COG,,,,337,262,,,,,,,,,,,
CRI,,,,,,,1939,,,,,,,,,
CIV,,,,,,,,,,523,,349,755,,,
HRV,,2544,,2488,2406,2491,,2640,2890,2877,2872,2702,3157,2826,,
CUB,,,,,,,,,,8990,10751,,9610,7930,6203,
CYP,,,,,,,,,,20,19,32,48,58,,
CZE,,5448,5389,5342,4895,5618,5574,5840,5359,5714,6152,6811,7010,7158,,
COD,,,,,,,,,,,,,,25961,28247,
DNK,,1540,1700,1548,1902,1571,1622,1586,1604,1590,1541,1426,1469,,,
ECU,,,,,,,,,,,9976,,,,,
SLV,,,,,,994,,961,915,985,1095,1251,1498,1665,1863,
ERI,,,,,,,389,,,,,872,,,,
EST,,656,727,717,852,796,792,853,802,802,731,689,727,,,
ETH,,4080,4024,3825,5017,6139,8282,7728,,,22989,,27777,,,
FIN,3255,3240,3341,3510,3440,3508,3367,3381,3330,3316,3363,3165,3261,3325,,
FRA,,,,,,,,,12768,14190,15063,13961,14953,14889,,
GEO,,3539,4232,3704,3648,3625,3462,3999,3131,2745,,2715,2546,,1410,
DEU,,,16700,16352,16692,16712,,,,,,,,21367,,
GHA,,,,,,,,,,,5719,5315,,7523,7181,
GRC,,,,,17543,,20360,21432,,19070,,,16989,,,
GRD,,,,,,,,,,,,152,,,,
GIN,,,,,,,842,,3874,,3329,6926,,,,
GUY,,,,,,,103,,105,190,10,,96,125,111,
HND,,,,,,1494,,,,,,,,,3505,
HUN,,5999,,6444,6610,6962,7493,7256,7013,6382,5703,5207,5105,5130,,
ISL,10,53,50,44,36,43,55,52,46,50,52,37,41,57,,
IRN,,,,,,,79269,82605,75337,70981,81028,79910,88718,90113,94985,
IRQ,,,,,,,11487,,,,,,,,,
IRL,1298,,,,,,,,,,1265,1392,1629,1809,,
ISR,,672,677,680,621,623,678,748,746,728,680,723,744,,,
ITA,,21718,21898,21295,22931,24857,26080,26271,25378,25328,,,,22836,,
JAM,,,,,,,,,,,,,9,70,,
JPN,55803,54759,54205,53410,52987,52276,52166,52607,53485,55020,56188,57403,57450,57884,,
JOR,,,,,,,,1757,1697,1743,1805,2292,2042,2357,,
KAZ,,,,,,,,,,,,,,,5984,
KEN,,,4797,5060,,,,,,,,,,,,
KGZ,,,,2711,2499,1785,2576,1730,1949,2430,2548,,2421,2217,,
LAO,,,,,,,,,,3220,3423,3533,2653,4187,4300,
LVA,,1095,944,993,1141,1190,1151,1027,824,728,634,646,582,656,,
LBN,,,278,310,290,309,359,348,303,375,400,417,590,592,580,
LSO,,,,,,,,35,,,,,,,,
LBR,,383,1129,,,,,,,,,,1202,,2275,
LTU,,1870,1895,2125,2106,2190,2244,2421,2372,2220,2100,2056,1757,1818,,
MKD,,1429,1683,1670,1707,1430,1240,1291,1179,1248,1217,1151,1158,1180,,
MDG,,,,,,,,722,849,800,765,887,1031,1060,1270,
MWI,,370,,,,,,,,,,,,,,
MYS,,,,,4634,,3729,4358,4398,1900,4650,4734,3360,5649,,
MLI,,,,,,,,,,,,673,,358,1492,
MLT,,14,13,26,20,21,14,50,,8,34,20,16,18,,
MRT,,,,,,8,,,,,,,,,,
MUS,,,,,,,,,,,,,,152,136,
MEX,,29277,30246,31245,32173,32467,32019,37241,38560,38783,39625,40301,43024,39784,,
MNG,,718,1101,1195,1195,1107,1376,1530,1569,1654,1619,1777,1961,2145,2298,
MAR,,1937,1809,1756,,1992,1756,1594,1657,1650,1677,2061,,,,
MOZ,,,,,,,1210,1085,,,1348,2417,,3462,,
MMR,,,,,,,,,,,,,,3011,,
NAM,281,,,,,182,,,,,367,,,,,
NPL,,,,,,,,724,846,,958,959,1222,1199,,
NLD,,5952,5714,4744,4579,4201,4882,4822,3359,3334,3179,3210,3320,3865,,
NZL,1792,1684,1437,1744,1349,1594,1584,1528,961,1093,1048,1083,1091,1047,,
NER,,,,,,,,,589,279,217,271,375,399,242,
NOR,1470,1306,1103,1030,1004,1027,887,817,,685,657,650,658,742,,
OMN,,,,,,,,,,,,,,758,,
