ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,971,1089,,1421,4009,,,,,,,8880,11159,
DZA,,,,,,,,15017,17601,,,,19904,,,
ARG,,,,,,66570,,72303,76204,77160,78066,80126,84551,86453,,
AUS,16998,16546,16952,15271,15685,15650,15951,15065,14442,14554,14465,14963,15922,15851,,
AUT,,5896,,,,3275,3387,3731,4143,2977,3660,3843,4614,4845,,
AZE,,,,,,,,,,,666,753,715,733,728,
BGD,,,,7586,6898,8842,8403,8652,,12800,12816,14569,,21519,,
BRB,,,,,,,,,,,,,,19,,
BLR,,,,,,,,40253,43139,44689,43501,44538,46438,46447,47095,
BEL,,,8024,8025,7741,8165,8349,9804,9766,9826,10108,11632,11672,11038,,
BEN,,,,,,,,,,,,1475,,1589,,
BTN,,,,,,,,,,,,,256,151,,
BOL,,,10563,,,,,,,,,,,,,
BIH,,,,,,,,,,,,,,4288,4406,
BRA,,,,,73058,80454,87215,97280,,112808,123725,132140,144712,,,
BGR,,6017,5677,5240,5465,5152,5469,5471,5967,6464,6316,6373,6830,6883,,
BFA,,,,,,,,,,321,271,512,953,494,134,
BDI,,,,,392,,,,,,,,,,,
KHM,,,,731,1090,,1644,,,,,,,,,
CMR,,,,,,,645,,696,706,675,779,921,1082,,
CAN,19585,,,,,,,,,,,,,,,
CPV,,,,,,,,,,,,,29,62,62,
CAF,,,,,,,,,,,,,343,184,,
CHL,,,,,26242,26382,26690,31633,29619,25557,26367,26079,27993,27560,26935,
COL,,,,18088,,,22978,29982,,28867,33921,32830,32977,53075,48548,
COG,,,,414,380,,,,,,,,,,,
CRI,,,,,,,3282,,,,,,,,,
CIV,,,,,,,,,,649,,413,800,,,
HRV,,4299,,4336,4287,4392,,4866,5228,5324,5500,5310,5852,5767,,
CUB,,,,,,,,,,12952,15528,,14067,11358,9373,
CYP,,27,18,13,15,23,22,20,23,22,37,70,110,154,,
CZE,,11054,10055,10141,10033,11357,11913,12736,12474,13429,14239,15530,16189,16518,,
COD,,,,,,,,,,,,,,33980,33778,
DNK,,3355,3573,3204,3703,3223,3315,3330,3375,3473,3392,3352,3602,,,
ECU,,,,,,,,,,,14705,,,,,
SLV,,,,,,1443,,1490,1433,1553,1675,1903,2263,2466,2734,
ERI,,,,,,,416,,,,,1186,,,,
EST,,1242,1329,1309,3503,1586,1638,1762,1703,1680,1576,1504,1551,,,
ETH,,4904,4739,4404,6007,7532,10116,9850,,,26863,,33007,,,
FIN,5804,6041,6358,6766,6731,6858,6819,6916,6862,6893,6976,6636,6714,6814,,
FRA,,,,,,,,,21638,22974,25338,24178,26754,26997,,
GEO,,5085,5747,4930,5149,4818,4559,5634,4672,3936,,4094,3784,,1809,
DEU,,,30602,30389,30730,31217,,,,,,,,41034,,
GHA,,,,,,,,,,,7089,8085,,9304,8557,
GRC,,,,,30838,,36116,38361,,34853,,,31000,,,
GRD,,,,,,,,,,,,515,,,,
GIN,,,,,,,919,,4670,,4147,8888,,,,
GUY,,,,,,,139,,163,281,17,,160,203,187,
HND,,,,,,2087,,,,,,,2722,,4979,
HUN,,11160,12031,11965,11980,12827,13718,13426,12756,11610,10498,9529,9273,9140,,
ISL,15,69,64,67,57,72,89,92,80,93,115,91,112,155,,
IDN,,,,,,,,,,,,,,286230,,
IRN,,,,,,,126243,137367,128164,128395,149356,146896,173038,182742,191953,
IRQ,,,,,,,16494,,,,,,,,,
IRL,2498,,,,,,,,,,2346,2531,2853,3129,,
ISR,,1409,1442,1440,1407,1499,1641,1708,1711,1639,1572,1652,1626,,,
ITA,,37338,37657,37026,40678,44020,45873,46752,46204,46558,,,,44052,,
JAM,,,,,,,,,,,,,13,147,,
JPN,89112,88086,89324,88731,88251,87989,87020,87214,87820,89310,91000,92979,93588,95159,,
JOR,,,,,,1599,1599,3797,3768,3800,4131,4745,4286,4715,,
KAZ,,,,,,,,,,,,,,,13663,
KEN,,,6621,6969,,,,,,,,,,,,
KGZ,,,,3225,2878,2135,2964,2173,2463,3109,3514,4276,3329,3174,,
LAO,,,,,,,,,,4261,4625,4931,3724,5869,6320,
LVA,,2221,1668,1795,2025,2108,2073,1903,1605,1441,1296,1266,1182,1272,,
LBN,,,514,557,576,604,668,723,580,1247,870,859,1177,1279,1320,
LSO,,,,,,,,89,,,,,,,,
LBR,,397,1318,,,,,,,,,,1330,,2841,
LBY,,,7528,,,,,,,,,,,,,
LTU,,5173,5275,5789,4366,4390,4518,4557,4485,4382,4316,4270,3837,3629,,
MKD,,2446,2833,2775,2753,2156,1873,1966,1728,1859,1804,1748,1804,1823,,
MDG,,,,,,,,1140,1347,1362,1339,1591,1706,1896,2337,
MWI,,490,,,,,,,,,,,,,,
MYS,,,,,13800,,17014,20430,21121,4109,8053,7955,7817,12148,,
MLI,,,,,,,,,,,3,1012,1322,685,1764,
MLT,,27,16,41,28,30,25,72,,9,44,29,25,25,,
MRT,,,,,,20,,,,,,,,,,
MUS,,,,,,,,,,,,,,379,340,
MEX,,39458,41156,43209,44576,46111,46075,58146,60778,61389,62268,63068,67275,61172,,
MNG,,2102,3200,2878,3303,3054,3566,3854,4059,4177,4115,4568,4589,4902,5286,
MAR,,2453,2288,2260,,2652,2419,2278,2443,2664,2821,3504,,,,
MOZ,,,,,,,1472,1477,,,2068,3666,,5213,,
MMR,,,,4476,,,,,,,,,,5892,,
NAM,410,,,,,298,,,,,647,,,,,
NPL,,,,,,,,883,1018,,1171,1171,1514,1466,,
NLD,,9997,9769,8686,8590,8069,9106,8907,6744,6738,6536,6540,6808,8619,,
NZL,2871,2827,2487,2982,2556,2863,3105,3098,2267,2420,2437,2644,2656,2755,,
NER,,,,,,,,,679,328,254,319,453,485,306,
NOR,2897,2704,2090,2021,2111,2181,1926,1881,,1645,1571,1600,1652,1725,,
OMN,,,,,,,,,,,,,,1411,,
PAN,,,,,1362,161,1495,1497,1450,1717,1747,1986,1937,2297,,
PNG,262,,,,,,,,,,,,,,,
PHL,,,,,,84609,78201,,,,,,,,,
POL,41994,39049,35016,38583,40614,41667,42945,44013,46881,47069,45296,43380,40742,36619,33967,
PRT,,,11544,,10021,9307,8412,7776,7045,6939,7757,7082,7024,,,
QAT,,,,,,,22,,,,,,,,,
KOR,58964,55814,60675,58283,57011,23750,43343,43797,40858,39844,38314,37544,37450,39935,40200,
ROU,,15984,17853,20284,23305,19488,21196,21801,23933,25371,23074,22108,21392,19295,,
RWA,,,,,,,,,,,,,,,5102,
WSM,,,126,,,,,,,,,,,,,
SMR,,,13,,,,,,,,,,,,,
SAU,3530,3797,4221,4491,4800,4932,2076,2516,5674,4188,4465,4713,6345,4494,5665,
SRB,,,,,,,,,,10204,8111,8021,7640,7522,7555,
SLE,,,328,1360,,,,,,,,,,,,
SGP,,,,,,,,,,,,83,135,154,156,146
SVK,,5543,5988,5922,6791,6613,5581,5771,5533,5637,5867,5388,4993,5004,4884,
SVN,,2263,2616,2807,2703,2873,3127,3565,3506,3705,3819,3788,3689,3435,3249,
ESP,,58359,59776,59487,48575,47181,44383,41163,60863,35137,33491,31794,32512,30698,,
LKA,,,,,,,,,,,,,4463,4251,5236,
SUR,,,,,57,,,,,,,,,,,
SWZ,,275,217,215,,,290,294,345,,,,,,,
SWE,,3149,3154,3104,3146,3198,3401,3414,3774,3904,4014,4062,4439,4579,,
CHE,,2518,2329,2399,2362,2544,2534,2812,2389,2353,2261,2296,2668,2676,,
TJK,,,,,,,,,,,,,,,5493,
TZA,,1268,,,,,,,,,,,,,1636,
