ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AFG,,,,,,,,,20867,22011,,,,,78022,,73842,,
ALB,13410,13914,14881,15535,15470,16108,15790,16036,16420,20168,25129,31268,36444,39627,40529,54247,60159,71570,
DZA,,,,,,,,,,351043,354695,369912,384205,,481964,477125,493863,496797,
AND,,,,,,,,134,157,170,168,188,,195,,,,192,
AGO,,,,4912,4785,,,7557,,,,,,,,,103688,,
ATG,,,,,,,,,,,,,,,305,309,342,548,
ARG,,,,,613715,700592,782421,824649,847903,886155,860792,886725,889737,921395,966465,1022170,1056710,,
ARM,,,,,,39381,37393,41290,44368,43777,46886,53460,57367,59931,63147,63449,62389,53409,
AUS,481402,495385,512313,398942,387950,386594,398037,465666,461374,459651,466527,469427,487013,499588,530627,560568,576844,590735,
AUT,122145,123324,123358,125824,126359,128107,127447,105854,108024,111316,113266,116899,120850,133020,144090,164279,168764,175306,
AZE,64865,60367,58120,,,,,,,,,88863,89302,90471,90820,91482,90992,92353,
BHS,1091,,,,,,,,,,,,,,,,,,
BHR,3166,3219,,,4418,,,,7269,6840,6060,5825,,,,15830,12763,12729,
BGD,,,,,480364,491904,581272,581540,596384,562199,606665,686666,745705,839753,997163,,1195910,,
BRB,,,,,2129,2236,2339,,,,,,3648,,4490,4168,3833,,
BLR,,145800,146546,161473,171086,180692,191924,200273,209788,217843,228524,235035,236715,227114,231424,240309,249374,253446,
BEL,178298,179381,,,166482,169840,169452,172139,174736,178354,177573,178643,177372,180609,192182,199550,206855,212642,
BLZ,,,,,,,1445,1658,1699,1734,1790,1867,2044,2212,2608,2686,2706,3114,
BEN,9082,9176,11398,,15307,17970,22507,,,,,,,,59388,,86774,,
BTN,,,,,940,,,,,,2316,2533,2806,3296,3123,3487,4134,4440,
BOL,,,,,,,,,,,,,193761,,,,,,
BIH,,,,,,,,,,,37347,40911,44402,46314,46460,46323,47651,47672,
BWA,4157,4653,,,5011,5488,6008,6573,7757,7537,7416,7601,,,,,,,
BRA,,,,992428,1091800,1219180,1372260,1559200,1740130,1866310,2018120,,2334640,2635220,2632100,2825510,2993470,3106240,
BRN,,,,1034,1263,1404,1649,1624,1605,1670,1682,1729,1874,1928,2287,2121,2530,3176,
BGR,88072,95110,101708,101784,109463,111650,107925,105133,108804,108578,113969,113308,119738,118139,121767,127709,128050,129282,
BFA,7365,7124,6889,,7627,,,11589,14122,,19355,21023,23119,28138,32298,34868,41112,46462,
BDI,,,,3133,3549,4489,4577,7335,8120,11353,12235,12471,,,,18917,,,
KHM,9811,11285,8428,7172,,16561,18466,22782,,31174,38935,64689,78955,91041,107843,122934,139199,,
CMR,,,,,,,,47569,49780,51362,60416,70054,74172,82581,97630,121858,141130,,
CAN,840981,824757,,528891,537340,533226,,,,,,,,,,,,,
CPV,,,,,,392,351,886,1043,1439,1916,2186,2399,2962,3702,4542,5086,5041,
CAF,,,,,5227,5296,,,,,,3460,,6972,7244,8422,,9153,
TCD,,2996,3242,4138,,5016,5190,,6642,8819,11629,,,16574,17403,18866,19690,,
CHL,186174,200207,205361,219221,238504,238923,,273800,295836,302103,344165,336146,381045,403055,431882,483974,513958,536941,
CHN,,,,,,,,,8529040,9856860,11127100,12366600,13207600,13667400,14870600,15615400,15603600,16169100,
COL,289937,309984,365646,442732,420349,452115,470899,480494,478552,541814,595588,638392,665764,757502,777364,811105,895786,935254,
COM,,,,,372,415,,,970,1011,,,,,2711,2954,3402,3880,
COG,,,,,8462,11913,11804,10241,8829,,,,,,19347,,21453,24187,
COK,,,,,,,,,,,,,,,,,,246,
CRI,,,,,,,,,,49682,50573,,,,,,88398,92353,
CIV,39448,,64601,,71283,,,,,,,,104571,,100415,95566,,45653,
HRV,41889,44240,42189,44730,45163,45777,49531,53509,56973,,62151,62678,64313,65107,62553,65477,65703,68147,
CUB,58651,49379,44453,41161,71905,73848,85197,87226,103454,149453,178769,267390,315176,381502,375423,312225,260184,205814,
CYP,3392,3617,4423,,4767,4469,5011,6291,9228,10859,9636,10116,11090,13093,16475,17365,16131,14914,
CZE,93110,101950,106906,111525,116233,127406,129746,138738,141550,155449,159342,156095,164707,174858,181431,188853,190963,188205,
COD,,,,,,,,,,,,,176305,228073,288657,,337604,330050,
DNK,81795,80523,,81573,83013,81518,83732,83506,84902,91502,98879,97591,98510,96903,97965,100871,109719,117148,
DJI,,69,90,,86,101,289,404,535,626,988,1157,1306,1472,1875,1922,2828,,
DOM,,,75223,,,,,,110981,,,,,,,,,,
ECU,,,,,,,,,,,,,,251948,,,,,
EGY,,,,,,,1207910,1272300,1147390,1275990,1304830,1306810,1437480,1322140,1381070,1410290,1201020,1191450,
SLV,56865,55668,,52753,53192,52453,50395,51917,53747,54963,55446,56620,59747,62951,65648,68744,74386,79376,
GNQ,,,,,,699,,,,,,,,,,,,,
ERI,2713,2671,,2686,3454,3543,4767,4769,,4006,,,,,7510,8739,,,
EST,12321,18837,20235,19631,20560,22267,23059,23379,24472,25101,26083,26233,26780,26102,26047,26951,,27610,
ETH,26113,28345,33702,36852,42536,53051,68724,74931,110695,128804,144635,,,244700,278898,404493,441223,475088,
FJI,,,,,,,,,5981,5993,5970,,,,,,,,
FIN,96568,101247,106805,116244,121011,125086,129043,130285,135652,139784,142124,142471,142160,141757,136440,140146,141870,143119,
FRA,934155,944486,928505,918522,916871,922867,932114,917186,952901,971175,979496,984008,974250,969564,972890,1011340,1020770,1037170,
GAB,,,,,4806,,5436,,6414,,,,,,,,,,
GMB,1018,,,,904,,,,,1237,,,,,1087,1940,3301,,
GEO,73644,73475,79871,,62506,69628,71785,74822,79619,76699,86419,68949,67770,59629,42902,47289,50522,43803,
DEU,1220280,1188310,1156460,,,,,,,,,,,,,,1364030,1467740,
GHA,,,,,,,,,,,77776,73080,92076,133023,127603,,179572,183990,
GRC,149826,170104,189106,186622,192951,211230,233792,258003,275377,288310,316147,320663,298991,,,321931,335043,,
GRD,,,,,,,,,,,,,,,2871,,,,
GTM,,,,,,,,63661,,,,,115047,,,,,,
GIN,,7043,7272,7298,,,,,14221,14525,19353,33592,51604,60646,62996,74335,76536,74211,
GUY,3597,4036,4425,,,,,,,2409,2361,2309,2402,3016,2330,2316,2556,2940,
HND,,,,,37627,39770,42400,45726,49612,50875,,,,59096,,79911,,74817,
HUN,81768,91071,100617,117122,127926,141667,149487,158532,169090,180424,181355,182223,179819,173931,171775,169169,168595,169435,
ISL,3135,3082,3282,3242,3202,3682,3801,4262,4850,5219,5323,5605,5673,5915,6044,6598,7118,,
IND,3234130,3642700,3861860,,,5852430,6032550,6441310,6952630,7325330,7135720,7723310,9047440,,11227800,12444600,15521200,,
IDN,1375330,1499890,,,,1675410,1724800,1717480,1930340,1994860,,1928780,1929580,2323020,2503940,2667460,2892040,3066600,
IRN,,663632,,,740058,768907,825825,798076,844455,951000,1042610,1162190,1346340,1595920,1641190,1915890,2078920,2213200,
IRQ,,,,,178628,190364,,209755,,263332,271197,,,,,,,,
IRL,61552,63371,65084,67465,70237,73707,75442,79123,80402,84374,84060,83455,85306,81723,84126,92371,94768,94666,
ISR,,,,102680,104624,109265,117325,130378,133588,133101,136845,139312,144461,144384,151883,160124,161014,,
ITA,851678,835434,870727,816345,805791,787334,797372,811223,837099,869908,875191,873532,869672,857341,851227,839315,833400,818593,
JAM,,,,,,12587,14093,14145,,,,,,19177,19162,22363,21924,26373,
JPN,2192510,,,2196200,2180260,2195000,2190470,2176790,2168880,2183210,2185170,2219680,2193580,2136960,2100320,2073900,2094580,2088790,
JOR,,53323,60025,,,69092,,83106,91133,104414,108295,106463,112848,123951,129934,118218,119321,144862,
KAZ,216449,188641,,,151011,170254,203929,232671,261444,282745,315439,328152,323254,301012,264696,254736,265455,270845,
KEN,,,,,,57750,61657,63928,,67787,71222,,,,98775,,,,
KWT,10494,11014,11266,,12728,,12777,13568,13198,13165,,,,,,,,,
KGZ,39257,42712,47822,58135,64603,80215,93728,98370,92408,94356,98632,103601,105090,115640,114571,113553,115839,,
LAO,5658,8206,8887,7230,8196,9351,10628,14817,18064,20945,27901,34019,43854,50796,63678,67556,72962,69966,
LVA,,,22733,28852,31503,33387,39259,42509,45541,48183,48131,48115,46726,45475,45555,41936,40428,39194,
LBN,,41428,,,56172,56007,64461,67264,66215,73798,78257,81070,86050,89166,92514,93770,102265,97150,
LSO,1963,2105,,,1467,1706,1818,2100,2363,,3415,3810,,,,,,10355,
LBR,,,,,16817,33808,,,,,,,,,,22012,,27165,
LBY,,,,,158479,149019,161770,174522,182307,,,,,,,,,,
LIE,,,,,,,,,321,390,375,443,459,536,515,494,661,,
LTU,29605,30605,34079,38276,42963,48812,54587,58841,66997,73064,77912,79711,79844,82107,85908,81720,76738,72753,
LUX,,,,,,,1187,,1437,,,1303,,1558,,2585,,,
MKD,13365,13504,14016,14564,15782,16597,17783,20019,20003,20043,21377,20957,26471,30637,30659,29260,31613,29573,
MDG,16359,15884,14711,16797,16736,17208,16738,17443,19381,22198,23803,26563,30927,32763,35935,38887,44305,46963,
MWI,3770,3876,,,2303,2596,,3209,,3739,3757,4181,4287,,,6385,7424,,
MYS,,,,216246,236729,269127,254688,284070,310418,326037,306419,332935,355775,407488,444373,461546,458394,,
MDV,,,,,,,,,22,,,,1707,2456,,,,,
MLI,7028,7993,11042,11085,12777,13431,14647,15162,,,,,39359,46756,54516,57895,60519,69199,
MLT,3011,3153,3099,3540,3374,2949,3354,3128,3849,3470,4122,3833,4176,3988,4500,4733,4998,5353,
MHL,,,,,,,,393,,,,,,,,,,680,
MRT,6447,7010,7803,7732,8432,,7516,6436,7025,7092,6608,7552,,8616,8994,10434,11513,12634,
MUS,3101,,3870,,6012,6535,8377,8558,8886,9040,10194,11175,10684,11558,14088,15297,15739,17415,
MEX,757065,806320,842924,897297,950231,1006540,1043430,1087860,1126300,1162280,1186420,1217200,1257060,1304610,1346310,1423170,1497390,1594750,
MNG,,11714,13576,16179,22892,26777,31280,33179,36822,41554,47775,54238,56228,59270,63868,65823,69239,71835,
MNE,,,,,,,3596,3375,3442,3798,4381,5191,6925,8831,10176,10876,,,
MAR,173460,,183591,148747,159026,159477,174617,177416,185069,186552,201323,210933,193549,211456,222518,235554,,,
MOZ,4957,5396,,,,,,,11687,15230,18922,,,46351,51734,,69609,,
MMR,94496,,,129075,,,,,,,,,213596,,,,280112,,
NAM,4440,,4184,5238,,,7252,4646,5517,,7225,7023,,8506,,,,,
NPL,,,,,,68400,,95024,94696,106546,117877,128880,,171643,174441,223669,224930,,
NLD,265644,258307,242954,237018,238256,244015,249503,254765,258051,266843,276902,283235,286478,291177,297954,313519,375790,385503,
NZL,73028,71465,72433,67019,68575,70878,73486,76256,81031,101201,99042,97471,100305,101609,110655,111596,110427,108419,
NIC,24703,,26801,,,,,48014,49585,,,,,,,,,,
NER,,,,,,,,,6444,6368,7607,8223,7768,9032,11358,12009,12761,15706,
NGA,,,,,397093,,,,740536,764622,825020,,,,,,,,
NOR,78426,80663,81096,79237,79873,79391,77451,79519,85518,86428,86484,86426,85565,83297,85362,88060,91117,95028,
OMN,4993,5124,6613,8894,,,,21377,21536,20023,23842,27688,30340,,38045,39056,44228,,
