ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,11110,11387,,10886,7232,,,,,,,12166,21459,
DZA,,,,,,,,8727,9385,,,,14727,,,
AND,,,,,,,29,5,,,27,,,,57,
AGO,,1161,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,80,152,124,178,
ARG,,,,,,,,180512,182289,185100,201754,215315,235472,256502,,
AUS,53796,52515,52510,54363,62814,63693,64273,67180,69010,71073,71227,74873,78681,81964,,
AUT,,30822,,,,25024,23737,24207,24175,24142,22931,25887,31475,37045,,
AZE,,,,,,,,,,,22157,22138,21006,21144,21746,
BHR,,,,,,439,,286,196,,,,,,,
BGD,,,,3709,6802,8321,6197,8762,,10671,6100,7945,,11403,,
BRB,,,,,,,,,,,,,1942,,,
BLR,,,,,,,,54061,53940,,50342,47265,44534,42385,41044,
BEL,,,27782,30162,33832,34817,38253,35152,29349,34755,32708,33547,36120,37906,,
BEN,,,,,,,,,,,,5,,553,,
BTN,,,,,,,,,,,729,,601,586,,
BIH,,,,,,,,,,,,,,8429,7902,
BRA,,,,,579318,640329,652094,668576,,745012,849367,874868,972850,,,
BRN,,1453,1546,1632,,1554,1808,1866,1862,1898,1770,1460,983,695,695,
BGR,,25310,21396,20041,14476,14659,12598,11491,11644,11364,10573,10837,11341,11903,,
BFA,,,,,,,,,87,202,405,394,527,460,430,
BDI,,,,,876,,,,,,,,,,,
KHM,,,,109,77,,146,,,,,,,,,
CMR,,,,,,,,,,,3709,4361,9720,9533,,
CAN,64438,,,,,,,,,,,,,,,
CPV,,,,,,,,,,,1172,1090,740,,,
CAF,,,,,,,,,,,,,165,,,
CHL,,,,,46827,57082,56631,65975,62746,73377,78405,82013,91224,97835,101178,
COL,,,,70689,,,66358,77152,76249,92668,75569,73898,86142,89669,95409,
COM,,,,,,81,,,,,,,,,253,
COG,,,,166,86,,,,,,,,,,,
CRI,,,,,,,21036,,,,,,,,,
CIV,,,,,,,,,,1027,,1817,2270,,,
HRV,,4077,,4824,4747,5472,,5980,5423,5231,5820,5454,6134,6240,,
CUB,,,,,,,,,,161399,166293,152026,117867,100719,62265,
CYP,,1343,1267,1457,1632,1907,1837,1886,1693,1840,1934,2020,2014,2363,,
CZE,,20310,22153,22699,24800,25499,33416,36701,34243,35009,40428,41553,42487,43080,,
COD,,,,,,,,,,,,,,17535,16818,
DNK,,13636,14283,14096,13827,15035,15505,18413,18472,18540,18577,18481,18119,,,
ECU,,,,,,,,,,,52254,,,,,
SLV,,,,,8049,6484,,7494,7754,8931,9447,10001,10420,10458,11041,
ERI,,,,,,,94,,,,,451,,,,
EST,,3635,4091,5086,5550,5541,5295,4889,4680,4363,4170,4416,4315,,,
ETH,,2571,3137,5119,6357,7197,7854,11691,,,44392,,65313,,,
FIN,11118,11445,11904,12275,12562,12778,13041,13031,13079,12788,12800,11449,12029,12347,,
FRA,,,,,,,,,50815,45712,44782,44566,43531,43241,,
GMB,,,,,,,1,,,,,,,,,
GEO,,7541,7019,7083,7112,7314,6973,6855,2218,4475,,1825,2092,,1238,
DEU,,,110510,109445,111120,113080,,,,,,,,143706,,
GHA,,,,,,,,,,,5488,17261,,32385,30822,
GRC,,,,,24756,,28566,29583,,21198,,,23250,,,
GRD,,,,,,,,,,,,83,,,,
GIN,,,,,,,22,,548,,778,519,,,,
GUY,,,,,,,1640,,1919,1941,1483,,2500,2533,2412,
HND,,,,,,19130,,,,,,,,,24232,
HUN,,37048,,35362,36869,37965,38398,41310,42657,37575,30648,22889,20545,20435,,
ISL,1217,1349,1318,1403,1763,2195,2370,2497,2288,2186,2348,2290,2300,2208,,
IRN,,,,,,,46276,38547,110504,111365,132034,122993,126809,137214,149054,
IRQ,,,,,,,41418,,,,,,,,,
IRL,3769,,,,,,,,,,8670,9515,9001,8011,,
ISR,,37712,39183,39751,42180,41165,40143,42164,35386,40281,39365,41286,43537,,,
ITA,,77433,79865,91505,92306,97736,110127,114129,112621,127420,,,,112484,,
JAM,,,,,,,,,,,,,1394,4105,,
JPN,201641,195675,191988,188767,188451,193097,199984,204968,206983,204695,196781,188801,186057,188428,,
JOR,,,,,,22289,22289,32709,26262,26631,26379,26249,20974,37133,,
KAZ,,,,,,,,,,,,,,,111374,
KEN,,,8618,9236,,,,,,,,,,,,
KGZ,,,,31265,40319,40847,40179,45552,46491,50098,50863,,39806,35468,,
LAO,,,,,,,,,,7974,7045,10194,12340,10456,12392,
LVA,,13055,15008,15403,14387,14613,14880,15229,13657,11447,9916,9546,7654,6200,,
LBN,,,2029,2911,3382,3703,3978,5078,5552,6063,6602,6075,5574,5774,5311,
LSO,,,,,,,,1480,,,,,,,,
LBR,,64,1164,,,,,,,,,,205,,581,
LTU,,14721,15601,16789,18120,19100,18290,19450,18972,19060,17422,16495,16055,13722,,
LUX,,,,,,,,,,,372,,626,,,
MKD,,2323,2728,3278,4072,4640,4617,4873,4555,4326,4014,3466,2840,2958,,
MDG,,,,,,,,661,574,615,640,629,680,688,765,
MYS,,,,,27219,,53042,55949,40361,74176,72958,83931,75506,71129,,
MDV,,,,,,51,,,,,,,,,,
MLI,,,,,,,,,,,1718,1821,,2831,2972,
MLT,,1029,1004,1158,1120,1349,896,1069,,829,783,875,883,926,,
MRT,,,,,,31,,,,,,,,,,
MUS,,,,,,,,,,,,,,3061,3051,
MEX,,167595,175984,174541,173309,172978,176517,178118,182688,184227,189932,182615,196731,191474,,
MNG,,7922,8682,8919,9215,8673,8328,9340,9906,11538,14293,16213,17525,17976,18050,
MAR,,1306,1686,7737,,4204,4535,3085,1996,1872,1996,1674,,,,
MOZ,,,,,,,317,701,,,7952,11964,,8725,,
MMR,,,,,,,,,,,,,,2579,,
NAM,2753,,,,,1604,,,,,2513,,,,,
