ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,14679,14687,,14190,8799,,,,,,,16586,32797,
DZA,,,,,,,,12690,13501,,,,20406,,,
AND,,,,,,,35,6,,,30,,,,63,
AGO,,2716,,,4350,,,,,,,,,,,
ATG,,,,,,,,,,,,96,161,140,209,
ARG,,,,,,259706,,223083,224724,228176,248610,266150,292034,317702,,
AUS,72498,69774,69227,72162,84493,85868,87154,91079,93455,95427,94729,99478,104799,108310,,
AUT,,43712,,,,33374,32101,32362,32407,32273,30375,34102,41709,49305,,
AZE,,,,,,,,,,,25881,25286,25081,25201,25832,
BHR,,,,,,654,,499,381,,,,,,,
BGD,,,,13899,18863,22069,17113,24343,,26409,14626,19727,,31733,,
BRB,,,,,,,,,,,,,2605,,,
BLR,,,,,,,,69897,69445,67995,64229,61276,58933,56081,54239,
BEL,,,40136,42969,47548,48702,54780,50088,40066,48574,45672,46793,50397,52894,,
BEN,,,,,,,,,,,,16,,4223,,
BTN,,,,,,,,,,,2028,,1571,1506,,
BOL,,,32406,,,,,,,,,,,,,
BIH,,,,,,,,,,,,,,12492,11980,
BRA,,,,,757890,838102,858943,904201,,1022240,1166020,1159590,1348860,,,
BRN,,2116,2263,2439,,2275,2587,2669,2641,2731,2546,2179,1478,1041,1007,
BGR,,32181,27809,26069,20466,21100,18641,17358,17128,16451,15100,15168,15864,16692,,
BFA,,,,,,,,,427,1887,2126,2040,3610,3010,2478,
BDI,,,,,2661,,,,,,,,,,,
KHM,,,,336,251,,551,,,,,,,,,
CMR,,,,,,,4264,,1044,9088,8799,10159,22645,24857,,
CAN,86717,,,,,,,,,,,,,,,
CPV,,,,,,,,,,,2072,1804,1141,1073,1060,
CAF,,,,,,,,,,,,,643,618,,
CHL,,,,,67529,78098,78386,94259,91027,103715,112682,117192,129546,137737,140935,
COL,,,,110828,,,104551,111928,115938,142562,117241,118957,136698,142175,150221,
COM,,,,,,154,,,,,,,,,529,
COG,,,,1054,932,,,,,,,,,,,
CRI,,,,,,,28869,,,,,,,,,
CIV,,,,,,,,,,2354,,6955,7894,,,
HRV,,4424,,5251,5205,5965,,6489,5900,5731,6333,5887,6584,6639,,
CUB,,,,,,,,,,229114,243423,223467,181084,152948,107828,
CYP,,1471,1409,1608,1800,2136,2087,2076,1928,2149,2274,2397,2632,2887,,
CZE,,27646,30404,31649,33650,34924,45276,49387,45451,46036,52369,52990,54086,54157,,
COD,,,,,,,,,,,,,,75499,67179,
DNK,,19875,20794,20576,19782,21414,22126,26042,26041,26188,25749,25176,25030,,,
ECU,,,,,,,,,,,76282,,,,,
SLV,,,,,10822,8686,,9921,10389,12106,12718,13619,14619,15235,16347,
ERI,,,,,,,1008,,,,,1516,,,,
EST,,4414,4809,5809,6389,6298,6081,5476,5182,4767,4551,4787,4713,,,
ETH,,14822,18085,27752,32689,39194,41429,57540,,,141959,,178459,,,
FIN,14069,14351,14798,15289,15606,15821,16156,16194,16232,15961,15982,14407,15129,15478,,
FRA,,,,,,,,,67346,61387,58099,55821,53865,56097,,
GMB,,,,,,,55,,,,,,,,,
GEO,,10264,9868,10422,10797,11440,10835,11253,4016,4745,,2913,2756,,1329,
DEU,,,159392,157977,160382,163760,,,,,,,,204968,,
GHA,,,,,,,,,,,35011,42135,,71369,70590,
GRC,,,,,36569,,40824,42189,,34352,,,36888,,,
GRD,,,,,,,,,,,,89,,,,
GIN,,,,,,,1121,,1823,,4755,3050,,,,
GUY,,,,,,,2158,,2246,2282,1742,,2861,2960,2991,
HND,,,,,,24092,,,,,,,36165,,35167,
HUN,,50116,50569,48877,51296,52654,53990,56747,58824,50820,41460,30253,25736,24925,,
ISL,1485,1616,1554,1636,2089,2616,2803,2988,2742,2618,2822,2728,2819,2773,,
IDN,,,,,,,,,,,,,,791068,,
IRN,,,,,,,69503,55982,154775,153685,187654,167820,176697,185194,203342,
IRQ,,,,,,,82833,,,,,,,,,
IRL,4982,,,,,,,,,,11482,12165,11811,10881,,
ISR,,43502,45803,46958,50518,49320,48281,50941,42832,48762,47243,49040,52140,,,
ITA,,94772,96703,108970,104447,111581,126922,131604,128995,148836,,,,137259,,
JAM,,,,,,,,,,,,,1887,5281,,
JPN,282307,275184,272468,268550,267027,271572,280385,289063,294980,295796,288955,280766,279677,285227,,
JOR,,,,,,28225,28225,42714,31156,31625,32842,32613,24734,48667,,
KAZ,,,,,,,,,,,,,,,148003,
KEN,,,20561,21757,,,,,,,,,,,,
KGZ,,,,38893,50962,49883,48905,55284,55724,60751,59443,51094,46290,44251,,
LAO,,,,,,,,,,16405,13626,19520,23430,21240,24453,
LVA,,15596,17795,18480,17859,17476,16908,17739,16007,13587,11705,11278,9226,7041,,
LBN,,,2228,3112,3546,3936,4266,5528,5870,6350,7053,6786,5955,6555,5812,
LSO,,,,,,,,2568,,,,,,,,
LBR,,386,2610,,,,,,,,,,713,,1895,
LBY,,,34000,,,,,,,,,,,,,
LTU,,18329,19404,21200,22504,24448,23870,25059,24377,24439,22469,21496,21113,18026,,
LUX,,,,,,,,,612,,497,,899,,,
MKD,,3063,3705,4197,5225,6019,6098,6559,6179,5819,5459,4813,3866,4237,,
MDG,,,,,,,,1442,1420,1373,1435,1509,1658,1795,1814,
MYS,,,,,41594,,91824,91951,70147,105788,104802,122466,110767,101161,,
MDV,,,,,,73,,,,,,,,,,
MLI,,,,,,,,,,,4105,4877,5206,7145,6221,
MLT,,1536,1510,1633,1498,1817,1149,1483,,1042,999,1093,1079,1153,,
MRT,,,,,,248,,,,,,,,,,
MUS,,,,,,,,,,,,,,4074,4003,
