ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,1998,2058,,2783,3128,,,,,,,9649,10692,
DZA,,,,,,,,53887,55492,,,,67131,,,
AGO,,536,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,,,,4,
ARG,,,,,,,,117118,122088,130024,139842,147960,156144,168151,,
AUS,78082,80824,79740,81100,86638,88001,86008,85676,85537,87864,91874,97627,102443,106360,,
AUT,,36687,,,,24989,23834,23525,23524,25573,29948,34708,39504,39845,,
AZE,,,,,,,,,,,7264,8987,9009,9028,9256,
BHR,,,,,,1571,,1230,1248,,,,,,,
BGD,,,,10715,11569,12518,23828,38703,,30264,30665,31461,,53394,,
BRB,,,,,,,,,,,,,,146,,
BLR,,,,,,,,94208,97977,,95656,99488,104920,111769,115419,
BEL,,,34191,33325,32994,31723,34164,31953,31595,29753,29648,32874,36651,38454,,
BEN,,,,,,,,,,,,2752,,3390,,
BTN,,,,,,,,,,,481,,535,656,,
BIH,,,,,,,,,,,,,,7701,7974,
BRA,,,,,204204,221807,234998,254650,,303541,347946,395013,452892,,,
BRN,,75,99,135,,126,105,134,212,247,237,461,461,486,548,
BGR,,29731,32225,33295,33969,33692,34200,34334,34824,35158,35668,37066,36438,36901,,
BFA,,,,,,,,,988,258,460,604,1249,1768,2063,
BDI,,,,,457,,,,,,,,,,,
KHM,,,,682,770,,1021,,,,,,,,,
CMR,,,,,,,,,,,3813,5720,7616,9763,,
CAN,95183,,,,,,,,,,,,,,,
CPV,,,,,,,,,,,433,539,978,,,
CAF,,,,,,,,,,,,,354,,,
CHL,,,,,123269,132260,78584,95027,93310,109203,117653,125329,138931,151654,160759,
COL,,,,188874,,,217286,249014,269289,261310,315106,334873,233277,254674,306288,
COM,,,,,,,,,,,,,,,42,
COG,,,,,104,,,,,,,,,,,
CRI,,,,,,,11531,,,,,,,,,
CIV,,,,,,,,,,12596,,8043,9943,,,
HRV,,13778,,14959,15535,15557,,16491,16632,16189,16179,16149,15352,17023,,
CUB,,,,,,,,,,11006,12035,,11887,11464,10531,
CYP,,685,596,507,483,588,758,879,1085,1231,1551,2108,2394,2578,,
CZE,,41129,30249,30827,46599,46507,52307,52187,36877,38963,46968,46708,46484,45848,,
COD,,,,,,,,,,,,,,29122,27774,
DNK,,12378,13674,14545,13417,14641,14946,16054,15481,15651,14905,14792,15676,,,
DJI,,,,,,,21,,90,,,255,,,,
ECU,,,,,,,,,,,54364,,,,,
SLV,,,,,10385,11447,,11133,11183,11906,12052,12502,13267,14303,13256,
ERI,,,,,,,1163,,,,,2059,,,,
EST,,5512,5433,5265,5046,5313,5748,5999,6120,6665,6548,6781,7036,,,
ETH,,5402,5438,10430,8618,12548,15415,14539,,,16556,,32740,,,
FIN,51636,53486,56924,59140,59566,63139,65326,65745,65076,63780,62589,60478,61217,59780,,
FRA,,,,,,,,,193667,212135,213848,210068,221453,221949,,
GEO,,16105,18114,20426,22448,24960,24421,21300,7730,8116,,7441,7539,,4095,
DEU,,,265613,263106,269525,276991,,,,,,,,400998,,
GHA,,,,,,,,,,,14495,14706,,17127,19699,
GRC,,,,,53184,,64973,76981,,75794,,,84891,,,
GRD,,,,,,,,,,,,112,,,,
GIN,,,,,,,1919,,1471,,8692,,,,,
GUY,,,,,,,389,,403,304,481,,500,516,610,
HND,,,,,,14267,,,,,,,,,15200,
HUN,,40670,,40961,36180,44281,44264,43680,44390,40296,42015,42947,44637,46478,,
ISL,346,380,430,450,511,626,675,702,781,825,953,1033,1110,1212,,
