ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
BRB,,,,,,,,,,,,,12,13,,
KHM,,,,,,,324,,,,,,,,,
CRI,,,,,,,1730,,,,,,,,,
ETH,,570,967,1407,1654,1971,,,,,,,,,,
GIN,,,,,,,142,,826,,,,,,,
GUY,,,,,,,6,,8,,1,,,,,
IRN,,,,,,,21299,24217,,,,,,,,
MUS,,,,,,,,,,,,,,44,37,
MNG,,800,1273,,,,,,,,,,,,,
MAR,,,,,,1008,1020,,,,,,,,,
NAM,136,,,,,427,,,,,,,,,,
OMN,,,,,,,,,,,,,,4811,,
PAN,,,,,,5092,4299,351,389,3549,3596,2590,2676,,,
QAT,,,,120,,366,770,,,,,,,,1838,
WSM,,,21,,,,,,,,,,,,,
SAU,,,8469,,,,1676,1997,1627,7403,7775,8239,27028,40043,60454,
SGP,,,,,,,,,,,,,,,319,124
TZA,,802,,,,,,,,,,,,,722,
VNM,,24837,20981,,18546,21641,,,,27824,29571,26126,28607,30880,,
# Series: TEDGENFE,,,,,,,,,,,,,,,,
"# Name: Enrollment in tertiary education, general programs, female",,,,,,,,,,,,,,,,
"# Definition: Number of females enrolled in tertiary education, per program",,,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,
