ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,2319,2400,,2562,3102,,,,,,,13145,13830,
DZA,,,,,,,,31608,31786,,,,36960,,,
AND,,,,,54,57,36,44,42,,42,,,,67,
AGO,,335,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,91,71,59,98,
ARG,,,,,,,,179087,196813,203429,210667,220167,232245,259600,,
AUS,88971,85386,84437,84939,100126,103781,104762,112339,121281,132054,140255,158473,174966,190108,,
AUT,,16617,,,,14208,15466,15645,15837,13702,17665,17614,17785,17631,,
AZE,,,,,,,,,,,8908,9191,9335,9364,9615,
BHR,,,,,,1181,,1207,1090,,,,,,,
BGD,,,,12039,21108,7494,8003,8097,,10439,14397,14401,,18111,,
BRB,,,,,,,,,,,,,129,699,,
BLR,,,,,,,,19075,17607,,21367,24045,26211,28026,29288,
BEL,,,48092,47487,47765,46614,50637,47357,62949,56023,57961,60739,69759,75788,,
BEN,,,,,,,,,,,,845,,853,,
BTN,,,,,,,,,,,,,146,158,,
BIH,,,,,,,,,,,,,,10368,10798,
BRA,,,,,298844,341894,393937,444632,,556455,635819,653436,679868,,,
BRN,,357,325,366,,424,400,346,269,280,354,397,301,242,279,
BGR,,14062,10988,9632,8710,8406,8713,9246,10446,10875,11687,12473,13141,13746,,
BFA,,,,,,,,,777,866,852,905,911,1015,1368,
BDI,,,,,153,,,,,,,,,,,
KHM,,,,268,280,,487,,,,,,,,,
CMR,,,,,,,,,,,1827,2205,2909,1619,,
CAN,77231,,,,,,,,,,,,,,,
CPV,,,,,,,,,,,123,419,798,,,
CAF,,,,,,,,,,,,,285,,,
CHL,,,,,27667,33090,50767,64717,67713,84759,101739,120158,147277,168868,184595,
COL,,,,62588,,,77067,81734,79443,87323,77916,82319,92343,104007,115598,
COM,,,,,,77,,,,,,,,,95,
COG,,,,86,,,,,,,,,,,,
CRI,,,,,,,6611,,,,,,,,,
CIV,,,,,,,,,,3917,,2863,2898,,,
HRV,,4999,,5416,6941,6682,,7362,7608,7156,7614,7457,8887,10589,,
CUB,,,,,,,,,,146142,175020,185967,170582,133213,107356,
CYP,,488,484,424,440,527,615,671,943,842,1079,1363,1371,1588,,
CZE,,19881,23315,23722,25018,27623,23603,24665,30426,32491,31458,33131,35352,37508,,
COD,,,,,,,,,,,,,,40670,76057,
DNK,,34948,36377,36196,39581,40872,40943,41476,40833,40993,39973,40947,40977,,,
ECU,,,,,,,,,,,38952,,,,,
SLV,,,,,11319,11999,,13594,14534,15946,16734,17388,18526,20218,21849,
ERI,,,,,,,61,,,,,266,,,,
EST,,3056,4029,4852,3407,5414,5321,5279,5187,5122,4949,5052,5521,,,
ETH,,622,698,1050,1258,1842,2320,3066,,,6055,,11855,,,
FIN,31500,32052,31948,31847,31244,30974,32088,33326,34756,35668,37071,37722,39207,41105,,
FRA,,,,,,,,,222955,232816,238436,245178,253020,259489,,
GMB,,,,,,,30,,,,,,,,,
GEO,,11214,10816,9424,9801,8939,9346,10920,10218,9628,,9114,9108,,7669,
DEU,,,236263,236157,238871,244475,,,,,,,,359086,,
GHA,,,,,,,,,,,2699,5333,,4205,7859,
GRC,,,,,26447,,30639,33304,,38439,,,33682,,,
GRD,,,,,,,,,,,,1834,,,,
GIN,,,,,,,409,,1093,,3473,2181,,,,
GUY,,,,,,,310,,265,575,214,,910,793,916,
HND,,,,,,7491,,,,,,,,,16176,
HUN,,16126,,19389,19828,21974,25683,25512,27315,28750,27888,26697,26466,26127,,
ISL,981,1037,1094,1095,1144,1294,1527,1642,1696,1704,1767,1819,2057,2170,,
IRN,,,,,,,105956,102281,102999,100528,147058,110732,113340,121675,130137,
IRQ,,,,,,,13680,,,,,,,,,
IRL,5819,,,,,,,,,,21936,22296,22700,23463,,
ISR,,8353,8937,4762,13505,14532,14658,15638,16989,18741,18472,18011,19330,,,
ITA,,108438,117745,126645,138819,144588,155087,163460,166796,172126,,,,170535,,
JAM,,,,,,,,,,,,,,1265,,
JPN,261981,268221,270339,276988,280923,284802,288802,294422,299700,299850,299338,297992,300957,315566,,
JOR,,,,,,8977,8977,11444,13185,15734,17683,18681,13636,9914,,
KAZ,,,,,,,,,,,,,,,24116,
KEN,,,3910,3963,,,,,,,,,,,,
KGZ,,,,3911,3120,3051,2879,3236,3810,3734,10571,,10597,11099,,
LAO,,,,,,,,,,829,1167,1753,1447,759,2561,
LVA,,3298,3065,3749,3191,3579,3644,5362,5847,7108,7654,7753,7810,8987,,
LBN,,,4672,5570,6438,7190,8458,9976,10849,11292,12501,13443,13640,15077,15073,
LSO,,,,,,,,46,,,,,,,,
LBR,,2064,3939,,,,,,,,,,1694,,2600,
LIE,,,,,,,,,,3,10,7,16,12,,
LTU,,7506,8247,8419,10287,12662,14365,14533,15414,14084,14718,14940,14673,14784,,
LUX,,,,,,,,,,,22,,173,,,
MKD,,2114,2396,2369,3033,3209,3247,3326,3653,3861,4476,4646,4252,5090,,
MDG,,,,,,,,1534,1792,2058,2473,3027,3537,4904,4526,
MWI,,221,,,,,,,,,,,,,,
MYS,,,,,18784,,26488,30480,29288,61152,61350,87410,93990,72918,,
MLI,,,,,,,,,,,1877,1766,,1935,1368,
MLT,,425,762,883,904,1036,914,915,,1178,1133,1391,793,1378,,
MRT,,,,,,5,,,,,,,,,,
MUS,,,,,,,,,,,,,,1149,1004,
MEX,,86351,94049,98751,104351,111492,184856,126399,130825,143162,139000,167392,169573,176972,,
MNG,,3643,3629,4316,4775,5568,7007,7750,8615,9289,10519,11990,12906,14359,12548,
MAR,,5857,6097,6481,,7867,8887,9322,11060,12249,13462,14129,,,,
