ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,909,917,,1376,1120,,,,,,,5549,6692,
DZA,,,,,,,,22972,22267,,,,19678,,,
AND,,,,,8,9,5,9,12,,14,,,,15,
AGO,,248,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,0,1,0,15,
ARG,,,,,,,,82770,84638,85008,87592,91001,95239,88463,,
AUS,28627,27475,28083,27569,31466,32598,33281,35879,39008,42742,45788,50543,56228,60341,,
AUT,,10269,,,,7124,7408,7430,7867,6878,9675,9723,9855,9775,,
AZE,,,,,,,,,,,4531,4761,4666,4710,4778,
BHR,,,,,,229,,219,192,,,,,,,
BGD,,,,24132,93071,10895,11415,13465,,14614,25555,25644,,27014,,
BRB,,,,,,,,,,,,,46,107,,
BLR,,,,,,,,4543,4186,,5403,5637,6147,6553,7008,
BEL,,,20238,18754,18552,17500,18674,17637,24365,20186,21365,22941,25500,27551,,
BEN,,,,,,,,,,,,1298,,1631,,
BTN,,,,,,,,,,,,,168,197,,
BIH,,,,,,,,,,,,,,4090,4229,
BRA,,,,,125539,142103,162568,177832,,208409,252692,224698,214023,,,
BRN,,122,130,136,,137,122,94,75,103,126,146,94,95,98,
BGR,,5986,5718,5447,5140,4673,4806,5022,5060,5240,5460,5922,6545,7102,,
BFA,,,,,,,,,1708,2157,1876,2038,1653,1902,2333,
BDI,,,,,519,,,,,,,,,,,
KHM,,,,681,650,,883,,,,,,,,,
CMR,,,,,,,,,,,1661,1822,2202,1845,,
CAN,24360,,,,,,,,,,,,,,,
CPV,,,,,,,,,,,42,129,541,,,
CAF,,,,,,,,,,,,,930,,,
CHL,,,,,13615,15921,20346,26885,30118,32428,38213,43812,52694,58243,62396,
COL,,,,25282,,,31597,24689,32407,38417,37509,39041,43650,61970,49269,
COM,,,,,,62,,,,,,,,,118,
COG,,,,276,,,,,,,,,,,,
CRI,,,,,,,5460,,,,,,,,,
CIV,,,,,,,,,,5982,,6198,6319,,,
HRV,,2049,,2259,2631,2606,,2673,2699,2629,2638,2685,2949,3260,,
CUB,,,,,,,,,,54616,66259,75126,74561,66826,55391,
CYP,,158,152,154,189,224,264,276,421,513,581,724,917,848,,
CZE,,8177,8287,8724,9054,9595,7912,8285,10417,10806,9081,9565,10146,10434,,
COD,,,,,,,,,,,,,,55373,60766,
DNK,,8507,8980,8485,8893,9354,9418,9690,9956,10052,9645,9748,9839,,,
ECU,,,,,,,,,,,21702,,,,,
SLV,,,,,4766,5268,,4984,5403,5794,6257,6333,6812,7776,8602,
ERI,,,,,,,238,,,,,880,,,,
EST,,598,731,811,741,779,707,675,635,594,622,639,744,,,
ETH,,2872,3297,3893,3749,4995,6742,8736,,,16329,,24472,,,
FIN,6084,6311,6326,6259,6121,5816,6170,6241,6418,6708,7044,7535,8100,8803,,
FRA,,,,,,,,,90187,96272,99053,100833,105055,102744,,
GMB,,,,,,,201,,,,,,,,,
GEO,,4022,4101,3437,3306,3476,3377,3673,3482,3255,,2911,3157,,3955,
DEU,,,97919,93182,90751,90330,,,,,,,,114959,,
GHA,,,,,,,,,,,3001,4011,,4801,6184,
GRC,,,,,10309,,10471,11412,,19365,,,16509,,,
GRD,,,,,,,,,,,,2009,,,,
GIN,,,,,,,1183,,2235,,5762,4221,,,,
GUY,,,,,,,71,,99,142,130,,232,236,254,
HND,,,,,,2910,,,,,,,,,6795,
HUN,,6121,,6708,6459,6640,7622,7817,8499,9316,9081,9444,9711,9919,,
ISL,282,297,289,288,295,272,261,270,259,300,331,319,318,340,,
IRN,,,,,,,37363,35827,32157,35017,70297,45476,48906,51791,58975,
IRQ,,,,,,,19598,,,,,,,,,
IRL,2649,,,,,,,,,,5931,6186,7036,7661,,
ISR,,3235,3319,2320,4040,4690,4290,4688,5397,5666,5280,5161,5366,,,
ITA,,70568,74432,74737,77498,79147,84294,87601,87410,90771,,,,87408,,
JAM,,,,,,,,,,,,,,146,,
JPN,127302,131947,136721,144100,150832,159277,170538,184234,196828,204966,208434,207072,206781,214629,,
JOR,,,,,,8844,8844,13263,14992,17134,16321,17161,7354,6525,,
KAZ,,,,,,,,,,,,,,,8354,
KEN,,,4512,4985,,,,,,,,,,,,
KGZ,,,,2399,2327,2435,2722,3236,3799,3695,4882,,5379,5366,,
LAO,,,,,,,,,,612,842,1231,2201,517,1583,
LVA,,605,778,738,749,589,685,826,946,1038,1130,1275,1364,1603,,
LBN,,,2806,3243,3592,4088,4625,4978,5557,5720,5844,6092,5905,6412,6494,
LSO,,,,,,,,40,,,,,,,,
