ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,2310,2473,,2994,4885,,,,,,,9989,6772,
DZA,,,,,,,,103405,105870,,,,188057,,,
AND,,,,,11,12,6,8,21,,16,,,,24,
ATG,,,,,,,,,,,,9,111,112,5,
ARG,,,,,,,,169884,181972,184166,187243,193180,203457,219647,,
AUS,89033,85750,83704,77433,75306,75987,75793,75872,77214,78097,79432,84337,88703,90818,,
AUT,,23186,,,,17620,20163,22059,24925,26867,26861,27706,30892,30645,,
AZE,,,,,,,,,,,26104,25260,25579,25808,26466,
BHR,,,,,,1133,,1398,1334,,,,,,,
BGD,,,,118109,110506,123598,93580,90213,,122188,121735,156767,,250038,,
BRB,,,,,,,,,,,,,830,1050,,
BLR,,,,,,,,21673,22469,,22520,23139,23910,23902,23327,
BEL,,,23235,23551,23755,22604,22325,23374,23336,23936,23522,24614,24790,27247,,
BEN,,,,,,,,,,,,3942,,3588,,
BTN,,,,,,,,,,,,,237,1047,,
BIH,,,,,,,,,,,,,,5792,5840,
BRA,,,,,72868,84117,91926,93830,,95057,98306,104134,79482,,,
BRN,,198,214,206,,320,264,268,280,284,387,617,783,1047,1362,
BGR,,17190,16135,15347,13572,12293,12149,12038,12079,13219,13743,14372,15141,15333,,
BFA,,,,,,,,,1409,1580,2270,2769,3037,3736,3891,
BDI,,,,,286,,,,,,,,,,,
KHM,,,,955,1123,,2144,,,,,,,,,
CMR,,,,,,,,,,,6443,7521,8757,24653,,
CAN,77893,,,,,,,,,,,,,,,
CPV,,,,,,,,,,,33,141,326,,,
CAF,,,,,,,,,,,,,901,,,
CHL,,,,,17097,19713,20364,21308,25205,24981,25479,26858,29570,28699,27919,
COL,,,,14392,,,20793,24005,25202,28504,30796,37357,38793,35886,31786,
COM,,,,,,181,,,,,,,,,597,
COG,,,,113,416,,,,,,,,,,,
CRI,,,,,,,2509,,,,,,,,,
CIV,,,,,,,,,,6472,,5414,5412,,,
HRV,,7852,,8307,8063,8878,,8841,9582,9512,9346,8595,9331,10335,,
CUB,,,,,,,,,,6127,5932,,4944,4490,4182,
CYP,,652,740,883,952,1066,1266,1316,1321,1569,1868,2172,2206,2319,,
CZE,,10739,12271,12925,14232,15733,18667,20179,18618,20771,22574,24301,26128,26503,,
COD,,,,,,,,,,,,,,5403,6960,
DNK,,21664,21368,21288,20719,21825,22251,21824,21391,22132,22048,21473,21298,,,
DJI,,,,18,,,125,,216,,,566,,758,,
ECU,,,,,,,,,,,1811,,,,,
SLV,,,,,677,1845,,2693,2917,3459,3774,4454,4852,6001,8261,
ERI,,,,,,,34,,,,,217,,,,
EST,,4021,4598,4903,5242,5458,5631,5845,5942,5814,6102,6187,6985,,,
ETH,,537,638,497,589,662,1292,1736,,,2349,,13004,,,
FIN,25180,26368,28006,29368,30489,30855,31277,31573,31993,32089,32174,30217,30522,30712,,
FRA,,,,,,,,,249403,239510,228162,218291,215506,205129,,
GMB,,,,,,,102,,,,,,,,,
GEO,,21110,21420,21519,22543,22657,23469,35896,35281,30946,,14083,14748,,10389,
DEU,,,215092,218362,228878,239979,,,,,,,,241063,,
GRC,,,,,52934,,53051,54916,,56226,,,56199,,,
GRD,,,,,,,,,,,,147,,,,
GIN,,,,,,,357,,957,,1037,4030,,,,
GUY,,,,,,,270,,161,192,1,,81,154,175,
HND,,,,,,557,,,,,,,,,4365,
HUN,,16558,,18739,19916,18960,21074,22435,23234,24732,24821,24887,24031,22448,,
ISL,922,901,1013,1005,1069,1255,1454,1440,1538,1518,1599,1535,1718,1760,,
IRN,,,,,,,197261,193443,208854,234347,227206,246481,262895,247049,254350,
IRQ,,,,,,,16582,,,,,,,,,
IRL,15863,,,,,,,,,,17447,17934,18891,15104,,
ISR,,20235,22542,23116,23693,21705,21370,21818,21328,21481,20545,20964,22581,,,
ITA,,220558,214045,220817,217667,219509,220952,228680,227330,224057,,,,187133,,
JAM,,,,,,,,,,,,,870,1068,,
JPN,488666,484229,473366,462336,448074,445168,442529,437925,430405,421313,415211,409743,404563,401484,,
JOR,,,,,,18475,18475,22340,22622,22586,25474,25270,24574,19754,,
KAZ,,,,,,,,,,,,,,,22412,
KEN,,,2180,2357,,,,,,,,,,,,
KGZ,,,,9196,10273,6588,8200,10012,17760,14500,10834,,13795,11125,,
LAO,,,,,,,,,,7546,7147,5531,7326,8316,7761,
LVA,,5524,5566,5350,6112,6526,7142,6781,7156,7351,7496,7294,7326,6997,,
LBN,,,16377,17909,20362,20081,18770,19202,18510,20567,21530,20283,20962,20140,20882,
LSO,,,,,,,,436,,,,,,,,
LBR,,245,3967,,,,,,,,,,3325,,4216,
LIE,,,,,,15,15,9,,2,4,,,,,
LTU,,6553,7445,8234,8483,8693,9611,10047,10155,10382,10534,10866,10656,10090,,
LUX,,,,,,,,,,,184,,394,,,
MKD,,3527,3446,3662,3438,3476,3758,3686,3588,4462,5167,5349,4944,5843,,
MDG,,,,,,,,3909,3292,3795,3539,4365,3551,4965,6038,
MYS,,,,,48786,,41113,37672,40049,13502,19630,19269,36557,40384,,
MLI,,,,,,,,,,,1966,2064,,2934,19798,
MLT,,459,354,468,428,573,516,721,,927,991,1089,1166,1200,,
MRT,,,,,,523,,,,,,,,,,
MUS,,,,,,,,,,,,,,1803,1886,
MEX,,34447,37589,41677,43914,43884,23240,58636,58225,64778,70377,73913,78445,78246,,
MNG,,6221,6033,7142,6358,7928,9797,11502,11623,9867,9347,10086,10255,10750,10702,
MAR,,35844,36385,39633,,44875,45077,39143,32118,27958,40812,38640,,,,
MOZ,,,,,,,818,1139,,,764,1855,,3202,,
MMR,,,,,,,,,,,,,,81566,,
NAM,232,,,,,244,,,,,1668,,,,,
NPL,,,,,,,,19281,20673,,25820,25957,27312,26191,,
NLD,,22112,22167,21957,23503,23086,22987,24476,25891,26873,27483,28033,29370,36474,,
NZL,22052,22043,21558,21277,22921,22890,12801,11834,26552,26193,26151,23122,24161,22736,,
NER,,,,,,,,,781,718,255,358,188,206,1245,
NOR,19397,19938,6390,12306,12492,13362,14702,15147,,15542,14241,14257,14570,14324,,
OMN,,,,,,,,,,,,,,6767,,
PAN,,,,,5573,6131,9136,7308,7727,6118,6030,5957,6058,7096,,
PNG,231,,,,,,,,,,,,,,,
PHL,,,,,,43033,,,,,,,,,,
POL,80836,94679,101263,109189,113817,116908,121503,125463,137715,154033,154373,143739,137705,134248,127453,
PRT,,,20118,,22882,22060,21380,20247,19072,18230,18937,18219,19062,,,
QAT,,,,1005,,1100,436,,,,,,,,3327,
KOR,246420,271531,296625,311350,328112,322915,335923,332931,331620,331900,333688,335696,341331,351435,349348,
ROU,,29441,32057,38700,42975,48061,51509,52642,61055,62020,59450,56149,50326,44907,,
RWA,,,,,,,,,,,,,,,1116,
WSM,,,51,,,,,,,,,,,,,
SMR,,,114,,,,,,,,,,,,,
SAU,33290,89848,25880,32528,21620,22526,68288,125096,184287,167862,177722,188315,206357,209736,215087,
SRB,,,,,,,,,,18517,16016,16425,15454,15883,16822,
SYC,,,,,,,,,,,,,,,7,
SLE,,,540,502,,,,,,,,,,,,
SGP,,,,,,,,,,,10950,11293,11955,13872,14865,14785
SVK,,4825,4539,4204,4720,4901,5368,5813,6965,8193,9389,9937,10584,10822,10877,
SVN,,3929,4190,4610,4451,4903,5794,6283,6234,6583,6776,6662,6596,6696,6258,
ESP,,119967,121071,119540,120479,119937,119975,116008,112816,110813,109975,112099,118306,126959,,
LKA,,,,,,,,,,,,,99612,91347,97242,
SUR,,,,,126,,,,,,,,,,,
SWZ,,355,460,496,,,637,594,754,,,,,,,
SWE,,28519,29151,30217,31891,34890,36336,34522,33127,32317,32658,35517,37637,38165,,
CHE,,11833,11916,12247,12600,13816,14601,14956,15786,16060,16464,17574,17918,18401,,
TJK,,,,,,,,,,,,,,,16157,
TZA,,50,,,,,,,,,,,,,2458,
THA,,,,,,,,,,,,,,111555,,
TTO,,,758,799,,,1102,,,,,,,,,
TUN,,,,,,,,,,,,,58170,,,
TUR,41968,,,48406,49867,53847,53749,55981,74341,74860,85050,98628,147398,186594,,
UGA,,1056,1036,1062,,,1903,,,,,,,,,
UKR,,,,,,,,,,,,,,157099,,
GBR,,,,216576,274576,219864,234707,236264,244291,248133,240479,238630,244785,246642,,
USA,,,,,,,,,,,1649400,1644970,1757530,1804540,,
URY,,,,,,,,,,4751,4847,4927,,,,
UZB,,,,,,,,,21358,22053,22953,22511,21063,21253,,
VEN,,,,,,,,,,,15014,,,,,
VNM,,16301,14471,,20772,19190,,,,40565,45529,47022,52125,55722,,
ZMB,84,,,,,,,,,,,,,,,
ZWE,,,,,,,,,,,,,4473,4800,5251,
ECZ,,,,,,,,,1505770,1583820,,,,1973740,,
HIS,,,,,,,,,,,3785520,3777790,3989020,4361260,,
LCS,,,,,,,169340,377664,,418133,449610,450936,447493,,,
NAS,,,,,,,,,,,1649400,1644970,1757530,1804540,,
# Series: TEDHUMFE,,,,,,,,,,,,,,,,
"# Name: Enrollment in tertiary education, humanities and arts, female",,,,,,,,,,,,,,,,
"# Definition: Number of females enrolled in tertiary education, per program",,,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,
