ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,951,1038,,1191,2000,,,,,,,4849,2718,
DZA,,,,,,,,34395,37153,,,,69589,,,
AND,,,,,2,1,3,2,6,,6,,,,4,
ATG,,,,,,,,,,,,0,34,34,3,
ARG,,,,,,,,90832,92113,93260,95423,102472,109424,112996,,
AUS,45104,43493,42324,40558,40140,40081,40158,43155,44676,47245,48680,52408,55353,57862,,
AUT,,14192,,,,9636,10766,11527,12743,13440,14060,14432,16107,15975,,
AZE,,,,,,,,,,,11438,11651,12192,12144,12456,
BHR,,,,,,233,,217,278,,,,,,,
BGD,,,,187042,162556,232955,144803,130769,,163830,181241,200170,,356918,,
BRB,,,,,,,,,,,,,293,473,,
BLR,,,,,,,,7302,7624,,6571,6826,6882,6884,7095,
BEL,,,15807,15880,16187,15702,17595,17087,18258,18851,18682,19607,19896,21024,,
BEN,,,,,,,,,,,,14320,,25138,,
BTN,,,,,,,,,,,,,307,1032,,
BIH,,,,,,,,,,,,,,3169,3359,
BRA,,,,,42002,51296,58591,63058,,72226,77887,82528,66730,,,
BRN,,160,185,168,,242,227,213,192,212,242,355,396,513,687,
BGR,,7587,7309,7583,7268,8168,7591,7873,7178,7238,6857,6818,6895,7245,,
BFA,,,,,,,,,2102,3684,4091,6614,6258,7337,7772,
BDI,,,,,1196,,,,,,,,,,,
KHM,,,,1961,2349,,4361,,,,,,,,,
CMR,,,,,,,,,,,3812,4442,5242,20740,,
CAN,48976,,,,,,,,,,,,,,,
CPV,,,,,,,,,,,12,74,190,,,
CAF,,,,,,,,,,,,,2536,,,
CHL,,,,,15632,16131,17583,20790,25596,23256,23216,24070,26675,24904,24453,
COL,,,,15934,,,24858,25111,30580,30799,38530,44272,43320,45406,41048,
COM,,,,,,321,,,,,,,,,730,
COG,,,,772,2901,,,,,,,,,,,
CRI,,,,,,,1886,,,,,,,,,
CIV,,,,,,,,,,14021,,13226,13255,,,
HRV,,2769,,3029,3148,3611,,3719,3991,4127,4310,3952,4075,4410,,
CUB,,,,,,,,,,4703,12479,,2907,2420,2305,
CYP,,179,191,224,233,727,376,426,425,549,801,1006,1064,1008,,
CZE,,7358,8517,8757,9353,10028,11602,11845,10085,10798,11507,12374,12998,13222,,
COD,,,,,,,,,,,,,,8742,13068,
DNK,,11355,11707,11488,11644,12941,13149,12961,12889,13389,13174,12793,12560,,,
DJI,,,,16,,,116,,234,,,754,,832,,
ECU,,,,,,,,,,,2187,,,,,
SLV,,,,,865,1645,,2284,2525,2808,3044,3660,3876,4775,7572,
ERI,,,,,,,49,,,,,516,,,,
EST,,1487,1654,1668,1749,1847,1731,1837,1960,2056,2179,2207,2418,,,
ETH,,1313,1693,1679,922,2075,3651,4004,,,5323,,31151,,,
FIN,10491,10845,11412,11857,12110,12390,12688,12721,12905,13082,13130,12670,12789,12890,,
FRA,,,,,,,,,114388,110165,105838,101748,102651,101003,,
GMB,,,,,,,427,,,,,,,,,
GEO,,6054,4644,6244,5829,6696,6445,21495,21441,23051,,6521,4736,,2587,
DEU,,,124687,123999,127072,129704,,,,,,,,125545,,
GRC,,,,,19102,,19455,19856,,24917,,,23650,,,
GRD,,,,,,,,,,,,28,,,,
GIN,,,,,,,1436,,3773,,5763,14229,,,,
GUY,,,,,,,74,,54,39,0,,20,27,48,
HND,,,,,,603,,,,,,,,,2635,
HUN,,9424,,10743,11776,10222,11493,11669,11766,12528,12919,13747,13383,13215,,
ISL,508,464,529,516,547,648,759,729,783,788,777,766,921,1022,,
IRN,,,,,,,78171,79411,86728,108081,92406,101986,108954,103407,109662,
IRQ,,,,,,,27540,,,,,,,,,
IRL,8153,,,,,,,,,,10582,11209,12701,10542,,
ISR,,10248,10983,11191,11474,11641,12089,12189,13113,13204,13874,13725,13421,,,
ITA,,67430,67009,75425,73657,75940,79515,87231,87089,86817,,,,65784,,
JAM,,,,,,,,,,,,,203,392,,
JPN,201724,205491,207080,215417,215239,215816,215483,215405,214973,212192,209485,204211,199633,198514,,
JOR,,,,,,9689,9541,12219,11698,13178,16812,15643,13640,13561,,
KAZ,,,,,,,,,,,,,,,10014,
KEN,,,4648,4832,,,,,,,,,,,,
