ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,3261,3511,,4185,6885,,,,,,,14838,9490,
DZA,,,,,,,,137800,143023,,,,257646,,,
AND,,,,,13,13,9,10,27,,22,,,,28,
ATG,,,,,,,,,,,,9,145,146,8,
ARG,,,,,,240493,,260716,274085,277426,282666,295652,312881,332643,,
AUS,134137,129243,126028,117991,115446,116068,115951,119027,121890,125342,128112,136745,144056,148680,,
AUT,,37378,,,,27256,30929,33586,37668,40307,40921,42138,46999,46620,,
AZE,,,,,,,,,,,37542,36911,37771,37952,38922,
BHR,,,,,,1366,,1615,1612,,,,,,,
BGD,,,,305151,273062,356553,238383,220982,,286018,302976,356937,,606956,,
BRB,,,,,,,,,,,,,1123,1523,,
BLR,,,,,,,,28975,30093,30954,29091,29965,30792,30786,30422,
BEL,,,39042,39431,39942,38306,39920,40461,41594,42787,42204,44221,44686,48271,,
BEN,,,,,,,,,,,,18262,,28726,,
BTN,,,,,,,,,,,,,544,2079,,
BOL,,,12204,,,,,,,,,,,,,
BIH,,,,,,,,,,,,,,8961,9199,
BRA,,,,,114870,135413,150517,156888,,167283,176193,186662,146212,,,
BRN,,358,399,374,,562,491,481,472,496,629,972,1179,1560,2049,
BGR,,24777,23444,22930,20840,20461,19740,19911,19257,20457,20600,21190,22036,22578,,
BFA,,,,,,,,,3511,5264,6361,9383,9295,11073,11663,
BDI,,,,,1482,,,,,,,,,,,
KHM,,,,2916,3472,,6505,,,,,,,,,
CMR,,,,,,,14683,,9219,9173,10255,11963,13999,45393,,
CAN,126869,,,,,,,,,,,,,,,
CPV,,,,,,,,,,,45,215,516,461,455,
CAF,,,,,,,,,,,,,3437,4820,,
CHL,,,,,32729,35844,37947,42098,50801,48237,48695,50928,56245,53603,52372,
COL,,,,30326,,,45651,49116,55782,59303,69326,81629,82113,81292,72834,
COM,,,,,,502,,,,,,,,,1327,
COG,,,,885,3317,,,,,,,,,,,
CRI,,,,,,,4395,,,,,,,,,
CIV,,,,,,,,,,20493,,18640,18667,,,
HRV,,10621,,11336,11211,12489,,12560,13573,13639,13656,12547,13406,14745,,
CUB,,,,,,,,,,10830,18411,,7851,6910,6487,
CYP,,831,931,1107,1185,1793,1642,1742,1746,2118,2669,3178,3270,3327,,
CZE,,18097,20788,21682,23585,25761,30269,32024,28703,31569,34081,36675,39126,39725,,
COD,,,,,,,,,,,,,,14145,20028,
DNK,,33019,33075,32776,32363,34766,35400,34785,34280,35521,35222,34266,33858,,,
DJI,,,,34,,,241,,450,,,1320,,1590,,
ECU,,,,,,,,,,,3998,,,,,
SLV,,,,,1542,3490,,4977,5442,6267,6818,8114,8728,10776,15833,
ERI,,,,,,,83,,,,,733,,,,
EST,,5508,6252,6571,6991,7305,7362,7682,7902,7870,8281,8394,9403,,,
ETH,,1850,2331,2176,1511,2737,4943,5740,,,7672,,44155,,,
FIN,35671,37213,39418,41225,42599,43245,43965,44294,44898,45171,45304,42887,43311,43602,,
FRA,,,,,,,,,363791,349675,334000,320039,318157,306132,,
GMB,,,,,,,529,,,,,,,,,
GEO,,27164,26064,27763,28372,29353,29914,57391,56722,53997,,20604,19484,,12976,
DEU,,,339779,342361,355950,369683,,,,,,,,366608,,
GRC,,,,,72036,,72506,74772,,81143,,,79849,,,
GRD,,,,,,,,,,,,175,,,,
GIN,,,,,,,1793,,4730,,6800,18259,,,,
GUY,,,,,,,344,,215,231,1,,101,181,223,
HND,,,,,,1160,,,,,,,3514,,7000,
HUN,,25982,27296,29482,31692,29182,32567,34104,35000,37259,37740,38633,37414,35663,,
ISL,1430,1365,1542,1521,1616,1903,2213,2169,2321,2306,2376,2301,2639,2782,,
IDN,,,,,,,,,,,,,,25709,,
IRN,,,,,,,275432,272854,295582,342428,319612,348467,371849,350456,364012,
IRQ,,,,,,,44122,,,,,,,,,
IRL,24016,,,,,,,,,,28029,29143,31592,25646,,
ISR,,30483,33525,34307,35167,33346,33459,34007,34441,34685,34419,34689,36002,,,
