ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,6671,6999,,7909,12841,,,,,,,25566,29247,
DZA,,,,,,,,182299,183159,,,,262715,,,
AND,,,,,48,66,77,108,139,,168,,,,145,
AGO,,1083,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,413,388,293,841,
ARG,,,,,,,,475118,514137,503784,518414,533755,553181,587299,,
AUS,154630,149463,150953,164033,202082,207687,207162,212569,214914,225643,233814,252991,268593,275971,,
AUT,,53926,,,,45202,47244,48277,48952,52694,57695,63430,72611,73303,,
AZE,,,,,,,,,,,15320,15647,15710,15938,16333,
BHR,,,,,,5741,,6729,6693,,,,,,,
BGD,,,,113986,105602,107217,97541,103294,,177561,217663,274762,,435889,,
BRB,,,,,,,,,,,,,3766,4885,,
BLR,,,,,,,,142997,147758,,154505,156514,158220,162769,161308,
BEL,,,62555,62995,62951,59075,68604,66852,57757,62474,64533,67948,70442,73481,,
BEN,,,,,,,,,,,,12399,,13934,,
BTN,,,,,,,,,,,,,544,529,,
BIH,,,,,,,,,,,,,,23946,23448,
BRA,,,,,747743,838126,900398,961365,,1118690,1272180,1341010,1458310,,,
BRN,,206,226,344,,358,409,437,443,413,454,384,625,909,1335,
BGR,,67203,64882,59475,53733,54559,55158,58424,62335,69004,74967,76586,78017,74575,,
BFA,,,,,,,,,4990,6726,8936,9886,10779,12688,14092,
BDI,,,,,1181,,,,,,,,,,,
KHM,,,,4504,5925,,8702,,,,,,,,,
CMR,,,,,,,,,,,41277,53376,64699,36222,,
CAN,195236,,,,,,,,,,,,,,,
CPV,,,,,,,,,,,1810,2493,2690,,,
CAF,,,,,,,,,,,,,888,,,
CHL,,,,,99563,108412,86349,95167,88084,109052,118131,130018,141322,150419,158820,
COL,,,,244268,,,277767,302094,319139,348326,355111,412456,461630,465072,552326,
COM,,,,,,306,,,,,,,,,1553,
COG,,,,,652,,,,,,,,,,,
CRI,,,,,,,15909,,,,,,,,,
CIV,,,,,,,,,,30721,,34258,31494,,,
HRV,,18729,,22158,23667,27561,,32484,35559,37377,38467,38804,42117,42709,,
CUB,,,,,,,,,,185847,209060,197485,154821,130863,97013,
CYP,,2089,2135,2849,3161,3769,4257,4419,4666,5028,5519,6387,6578,6731,,
CZE,,31398,33594,35426,39533,44184,51442,57009,56963,64290,76232,85060,91279,91446,,
COD,,,,,,,,,,,,,,58765,58741,
DNK,,22629,20988,20529,22696,23526,30386,34934,34085,34087,35896,37717,40109,,,
DJI,,,,128,,,299,,397,,,320,,907,,
ECU,,,,,,,,,,,143204,,,,,
SLV,,,,,32932,33530,,33612,33699,34507,33803,34524,35745,37426,38715,
ERI,,,,,,,179,,,,,467,,,,
EST,,12161,13056,13767,14463,15222,16151,16872,17412,17998,18235,18152,16619,,,
