ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,14173,14237,,14045,21331,,,,,,,46133,51624,
DZA,,,,,,,,313174,318136,,,,441486,,,
AND,,,,,87,133,142,180,221,,253,,,,251,
AGO,,2902,,,4648,,,,,,,,,,,
ATG,,,,,,,,,,,,516,467,395,1045,
ARG,,,,,,816484,,824161,872820,850979,877012,904354,938750,980851,,
AUS,293488,279522,277980,297894,363450,374109,375808,388185,394673,417524,431650,461662,487129,498795,,
AUT,,110477,,,,82369,86059,87687,88589,95133,103222,112937,130080,132203,,
AZE,,,,,,,,,,,47646,50149,50265,50579,51688,
BHR,,,,,,9510,,9921,9536,,,,,,,
BGD,,,,357685,336186,337678,300830,309414,,511068,572067,724189,,968951,,
BRB,,,,,,,,,,,,,5358,6894,,
BLR,,,,,,,,205068,210359,213814,211384,212205,214121,219905,217309,
BEL,,,119172,119988,118638,110550,127331,123358,108352,116284,119495,126143,130913,136096,,
BEN,,,,,,,,,,,,38047,,50575,,
BTN,,,,,,,,,,,,,1206,1314,,
BOL,,,101955,,,,,,,,,,,,,
BIH,,,,,,,,,,,,,,41412,40545,
BRA,,,,,1448440,1621880,1735100,1852370,,2133110,2408080,2469650,2643840,,,
BRN,,328,368,573,,596,645,691,707,662,716,603,931,1405,1974,
BGR,,105016,105198,97725,90649,94120,93870,100604,103395,113852,118977,120898,122791,117807,,
BFA,,,,,,,,,16211,17980,22851,24919,28413,32397,35913,
BDI,,,,,2978,,,,,,,,,,,
KHM,,,,14734,18326,,23478,,,,,,,,,
CMR,,,,,,,36799,,77588,81057,84643,108480,130455,84741,,
CAN,331574,,,,,,,,,,,,,,,
CPV,,,,,,,,,,,2892,4095,4397,6551,6554,
CAF,,,,,,,,,,,,,3602,5052,,
CHL,,,,,181879,199610,169478,181989,170129,203520,218228,235740,257134,271553,285349,
COL,,,,421184,,,476964,523124,563394,601064,631467,693117,770480,842179,915735,
COM,,,,,,655,,,,,,,,,3470,
COG,,,,9080,4117,,,,,,,,,,,
CRI,,,,,,,27928,,,,,,,,,
CIV,,,,,,,,,,75363,,75524,68677,,,
HRV,,28626,,33875,36415,42440,,50390,55341,58421,60021,59733,59329,64967,,
CUB,,,,,,,,,,296503,338158,324206,250812,204779,149640,
CYP,,3356,3673,4991,5831,8034,8522,8821,9763,11081,12717,15959,16665,15603,,
CZE,,57698,59782,63226,69494,76975,87077,94354,93217,103858,122302,136379,146246,144048,,
COD,,,,,,,,,,,,,,183716,182811,
DNK,,50534,44335,43512,47694,48021,59443,69246,67618,67290,70092,73114,76645,,,
DJI,,,,250,,,573,,847,,,713,,2347,,
ECU,,,,,,,,,,,247398,,,,,
