ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,460,509,,711,1654,,,,,,,5270,6119,
DZA,,,,,,,,49253,38585,,,,50614,,,
AND,,,,,20,14,13,9,11,,11,,,,6,
AGO,,286,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,139,139,138,91,
ARG,,,,,,,,98544,101957,101603,104343,106056,115613,114997,,
AUS,37545,38559,38862,47175,47119,45824,43263,40542,38524,37682,37517,39693,41652,43330,,
AUT,,10760,,,,9304,9869,9921,10750,10755,11588,12305,13715,14175,,
AZE,,,,,,,,,,,12327,11928,12152,12297,12608,
BHR,,,,,,1406,,1275,1279,,,,,,,
BGD,,,,27859,25282,25310,32169,36423,,34305,62805,48911,,78181,,
BRB,,,,,,,,,,,,,1047,1034,,
BLR,,,,,,,,6368,6615,,6996,7275,7436,7644,,
BEL,,,9729,10824,11384,9310,10187,8070,8644,7676,7890,7561,7567,6186,,
BEN,,,,,,,,,,,,1528,,1185,,
BTN,,,,,,,,,,,,,102,95,,
BIH,,,,,,,,,,,,,,4167,3702,
BRA,,,,,107682,116544,126425,128423,,130031,147427,149593,120534,,,
BRN,,92,124,117,,99,151,177,201,228,281,421,456,648,1000,
BGR,,6520,6571,6567,6189,6037,5700,6278,5928,6184,6316,6456,6823,6802,,
BFA,,,,,,,,,1415,839,975,891,634,1140,1605,
BDI,,,,,90,,,,,,,,,,,
KHM,,,,501,744,,1036,,,,,,,,,
CMR,,,,,,,,,,,7563,8900,10614,10037,,
CAN,42888,,,,,,,,,,,,,,,
CPV,,,,,,,,,,,225,329,420,,,
CAF,,,,,,,,,,,,,314,,,
CHL,,,,,4234,4262,20751,17188,16631,12389,13688,14406,14734,14247,13946,
COL,,,,13030,,,17505,16337,21474,15265,20548,,,42679,36432,
COM,,,,,,50,,,,,,,,,421,
COG,,,,221,198,,,,,,,,,,,
CRI,,,,,,,3274,,,,,,,,,
CIV,,,,,,,,,,4188,,3211,2504,,,
HRV,,3647,,2580,3454,3924,,4287,4258,4531,4664,4316,4834,5359,,
CUB,,,,,,,,,,9082,10067,,9848,8653,7532,
CYP,,487,481,562,655,765,870,897,936,930,900,983,992,1062,,
CZE,,4703,7472,8715,8741,10164,10625,11465,9362,10435,14927,15908,16874,17863,,
COD,,,,,,,,,,,,,,1871,1815,
DNK,,6503,6450,6169,6534,5782,6288,6004,6002,7147,6567,7134,7147,,,
DJI,,,,29,,,41,,94,,,145,,205,,
ECU,,,,,,,,,,,13639,,,,,
SLV,,,,,4706,4421,,5280,5182,5281,7384,7185,6739,6595,6427,
ERI,,,,,,,88,,,,,339,,,,
EST,,1180,1544,1950,2205,2510,2624,2723,2683,2568,2541,2514,2738,,,
ETH,,382,379,526,792,2481,3570,4232,,,4168,,13362,,,
FIN,9796,10606,11831,12732,13524,14136,14376,14408,14052,13756,13398,12041,12046,11940,,
FRA,,,,,,,,,96368,96933,95733,97463,98764,97591,,
GMB,,,,,,,43,,,,,,,,,
GEO,,4630,4871,4948,5007,4805,4629,6129,3824,4096,,4103,4410,,6593,
DEU,,,84417,92157,101667,109635,,,,,,,,140293,,
GHA,,,,,,,,,,,6288,6467,,6366,6421,
GRC,,,,,31439,,37618,39138,,30566,,,32265,,,
GRD,,,,,,,,,,,,157,,,,
GIN,,,,,,,583,,1363,,2733,3751,,,,
GUY,,,,,,,563,,323,370,429,,442,459,475,
HND,,,,,,2324,,,,,,,,,3146,
HUN,,2714,,5069,5685,9248,8149,7726,7162,8358,8765,8795,8908,9099,,
ISL,301,355,462,529,547,533,476,483,482,478,483,465,560,613,,
IRN,,,,,,,188730,189063,185054,229727,250089,231210,212273,217323,219414,
IRQ,,,,,,,10829,,,,,,,,,
IRL,11373,,,,,,,,,,9222,9445,10404,10465,,
ISR,,9987,12714,11710,11950,15608,12008,11856,12054,12011,11790,12350,12558,,,
ITA,,72514,68319,67232,67893,72033,74906,76166,79323,80765,,,,83092,,
JAM,,,,,,,,,,,,,3160,3303,,
JPN,25556,26252,27180,28068,28867,29541,29992,29911,29700,29233,28821,28356,28312,28383,,
JOR,,,,,,17247,17247,8666,8821,17746,19646,18340,17501,15154,,
KAZ,,,,,,,,,,,,,,,13324,
KEN,,,2710,2818,,,,,,,,,,,,
KGZ,,,,7971,7262,7303,8257,8484,9069,6704,11489,,7299,8027,,
LAO,,,,,,,,,,714,1114,1814,1837,2075,2200,
LVA,,1746,2666,2557,2831,2769,2959,2058,2070,2005,1952,1970,1998,1980,,
LBN,,,6582,8171,9289,9810,10575,9362,10907,11763,13007,12550,11938,13353,12783,
LSO,,,,,,,,996,,,,,,,,
LBR,,90,1939,,,,,,,,,,633,,967,
LIE,,,,,,7,,,,,,,,,,
LTU,,2440,2615,2820,3290,3625,4062,4252,4114,3753,3730,3709,3533,3626,,
LUX,,,,,,,,,,,153,,198,,,
MKD,,2334,2376,2381,2189,2008,2077,2027,1826,2226,2761,2928,2570,2979,,
MDG,,,,,,,,2193,2010,2173,2091,2977,3059,3363,3249,
MYS,,,,,51778,,76255,74983,77808,75658,70785,75677,60691,59195,,
MLI,,,,,,,,,,,827,901,,213,677,
MLT,,87,86,113,111,156,155,195,,351,326,206,836,391,,
MRT,,,,,,128,,,,,,,,,,
MUS,,,,,,,,,,,,,,1943,1882,
MEX,,87254,93388,101442,110483,115197,124449,124949,122906,121431,116763,122164,117068,84450,,
MNG,,2328,2515,2750,2814,3356,3509,3919,4207,4109,4332,4641,4746,4749,4807,
MAR,,16406,15613,15259,,16619,17283,21813,24827,33612,37179,39018,,,,
MOZ,,,,,,,584,808,,,1456,1340,,1522,,
MMR,,,,,,,,,,,,,,93186,,
NAM,164,,,,,348,,,,,966,,,,,
NPL,,,,,,,,2684,3050,,3309,3558,3999,3817,,
NLD,,6607,6719,6755,6952,7398,8063,8508,5922,6162,6532,7150,7959,10502,,
NZL,6968,8281,9218,10047,9547,9910,11804,11129,14118,14153,14402,15194,15085,14923,,
NER,,,,,,,,,60,47,109,165,170,185,361,
NOR,5207,5749,4557,7700,7414,7787,7255,6519,,6733,6540,6958,6656,6842,,
OMN,,,,,,,,,,,,,,11132,,
PAN,,,,,2335,3642,4939,5110,4840,4672,4642,4581,4686,10571,,
PNG,200,,,,,,,,,,,,,,,
PHL,,,,,,161126,,,,,,,,,,
POL,10259,24671,38861,44086,47646,54589,55935,57112,76197,73779,70025,66697,65651,65420,64261,
PRT,,,14361,,16139,15784,15231,14157,13269,12904,13707,12787,12980,,,
QAT,,,,616,,673,1009,,,,,,,,779,
KOR,65866,77519,95212,103060,97490,102105,81734,79807,79797,81236,82088,82857,84585,86250,87095,
ROU,,13983,15658,15943,17174,20038,19641,19505,21077,32817,30594,28066,25635,24180,,
RWA,,,,,,,,,,,,,,,3131,
WSM,,,46,,,,,,,,,,,,,
SMR,,,59,,,,,,,,,,,,,
SAU,7266,27169,10725,11219,12280,17543,35721,51351,77643,77466,81764,86662,90690,84508,96590,
SRB,,,,,,,,,,8144,8878,9052,8784,9765,10628,
SYC,,,,,,,,,,,,,,5,,
SLE,,,68,166,,,,,,,,,,,,
SGP,,,,,,,,,,,14259,13852,14405,15215,15490,15499
SVK,,3514,3208,3560,4569,4652,5130,5489,6410,7128,7362,7729,7688,7771,7573,
SVN,,1148,1282,1412,1430,1461,1623,1925,2062,2163,2285,2554,3010,3770,3191,
ESP,,88346,88732,88405,89648,88184,86859,76177,69378,63060,59647,65104,56825,66713,,
LKA,,,,,,,,,,,,,12189,14387,15408,
SUR,,,,,290,,,,,,,,,,,
SWZ,,106,97,103,,,97,103,119,,,,,,,
SWE,,16146,17868,17708,17824,17924,17328,17022,17554,16794,15730,16142,16404,17710,,
CHE,,4291,4397,4652,4979,5571,5975,6292,6392,6589,6816,7150,7670,8267,,
TJK,,,,,,,,,,,,,,,8558,
TZA,,87,,,,,,,,,,,,,1871,
THA,,,,,,,,,,,,,,109057,,
TTO,,,432,467,,,1185,,,,,,,,,
TUN,,,,,,,,,,,,,48393,,,
TUR,41874,,,45575,47841,52901,58355,63641,69476,72357,76689,86505,98515,126171,,
UGA,,403,364,363,,,699,,,,,,,,,
UKR,,,,,,,,,,,,,,79427,,
GBR,,,,144080,143717,109931,117447,117531,117824,117584,111240,115061,120558,120841,,
USA,,,,,,,,,,,703039,703140,750476,770466,,
URY,,,,,,,,,,8998,9028,9042,,,,
UZB,,,,,,,,,9047,10167,10991,11465,11252,10763,,
VEN,,,,,,,,,,,72488,,,,,
ZMB,410,,,,,,,,,,,,,,,
ZWE,,,,,,,,,,,,,1668,2454,2284,
ECZ,,,,,,,,,688087,736247,,,,1008670,,
HIS,,,,,,,,,,,1470650,1489460,1574010,1772750,,
LCS,,,,,,,299091,395831,,409122,520446,413323,394010,,,
NAS,,,,,,,,,,,703039,703140,750476,770466,,
# Series: TEDSCNFE,,,,,,,,,,,,,,,,
"# Name: Enrollment in tertiary education, science, female",,,,,,,,,,,,,,,,
"# Definition: Number of females enrolled in tertiary education, per program",,,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,
