ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,728,801,,1127,2228,,,,,,,11651,11585,
DZA,,,,,,,,82311,67622,,,,86084,,,
AND,,,,,105,94,104,93,99,,98,,,,67,
AGO,,761,,,1220,,,,,,,,,,,
ATG,,,,,,,,,,,,325,325,328,188,
ARG,,,,,,225650,,207592,208627,212235,217902,224350,242451,249952,,
AUS,99179,101775,104079,123058,135111,132568,126952,118701,110266,105585,104168,109459,114012,116647,,
AUT,,33717,,,,26727,28528,29304,31334,31266,33168,34472,38494,39647,,
AZE,,,,,,,,,,,23405,23241,23091,23282,23887,
BHR,,,,,,1986,,1698,1701,,,,,,,
BGD,,,,87274,81982,100747,122812,141183,,120736,227947,224583,,268650,,
BRB,,,,,,,,,,,,,2254,1913,,
BLR,,,,,,,,12581,12990,12868,13569,14003,14180,14512,,
BEL,,,32653,35157,39447,30956,35722,24016,27141,25677,26627,25141,25722,23998,,
BEN,,,,,,,,,,,,9669,,9249,,
BTN,,,,,,,,,,,,,394,344,,
BOL,,,20030,,,,,,,,,,,,,
BIH,,,,,,,,,,,,,,9393,8508,
BRA,,,,,299530,333559,360059,377818,,406954,459544,460191,415135,,,
BRN,,165,214,245,,196,300,309,345,397,459,721,748,1170,1833,
BGR,,11874,12122,11916,11204,11677,11496,12835,12129,13222,13203,13527,14588,14892,,
BFA,,,,,,,,,6066,4556,6721,6624,4801,7281,10333,
BDI,,,,,512,,,,,,,,,,,
KHM,,,,3114,4496,,7437,,,,,,,,,
CMR,,,,,,,17019,,23749,24645,26936,31406,37509,35135,,
CAN,111711,,,,,,,,,,,,,,,
CPV,,,,,,,,,,,539,848,811,1177,1472,
CAF,,,,,,,,,,,,,1470,1340,,
CHL,,,,,8115,8858,68110,66056,52601,54307,58151,62643,68350,67757,66307,
COL,,,,25286,,,33856,38432,43646,30181,47819,,,90209,88993,
COM,,,,,,183,,,,,,,,,942,
COG,,,,1608,1236,,,,,,,,,,,
CRI,,,,,,,9233,,,,,,,,,
CIV,,,,,,,,,,23004,,17487,14397,,,
HRV,,6506,,6103,7888,8614,,10285,10143,10849,11354,11104,9554,12642,,
CUB,,,,,,,,,,19861,22517,,22718,20951,18257,
CYP,,1097,1152,1562,1780,2379,2623,2575,2605,2642,2522,2740,2732,2791,,
CZE,,15297,33725,36338,24368,29475,30028,31859,28822,31663,42231,44957,47918,50144,,
COD,,,,,,,,,,,,,,11094,17384,
DNK,,19139,19277,18564,19688,17946,19761,18955,18415,20174,18916,20372,20805,,,
DJI,,,,126,,,223,,435,,,539,,700,,
