ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,240,287,,478,441,,,,,,,1107,1768,
DZA,,,,,,,,1872,2165,,,,2710,,,
ARG,,,,,,,,34693,36948,39508,39988,42807,43009,45705,,
AUS,18669,17618,18090,11804,18766,17747,17776,18991,19105,20441,21062,23290,26408,27730,,
AUT,,2063,,,,1866,2322,2486,2665,2210,2687,3891,4319,4419,,
AZE,,,,,,,,,,,1804,1775,1947,1962,2110,
BHR,,,,,,447,,449,380,,,,,,,
BGD,,,,,290,350,398,624,,422,594,638,,,,
BRB,,,,,,,,,,,,,1338,502,,
BLR,,,,,,,,5908,7590,,8836,10118,11364,12402,13088,
BEL,,,3308,3080,2728,2406,3477,2171,2709,3790,3370,3225,3509,4108,,
BEN,,,,,,,,,,,,999,,627,,
BIH,,,,,,,,,,,,,,1491,1553,
BRA,,,,,54380,60069,62027,62426,,63882,68568,71113,79949,,,
BGR,,7683,6975,6103,6075,6105,6706,7680,8686,9515,10014,10510,11069,10978,,
BFA,,,,,,,,,38,23,90,250,85,430,564,
KHM,,,,144,673,,1031,,,,,,,,,
CMR,,,,,,,,,,,300,311,378,,,
CAN,28378,,,,,,,,,,,,,,,
CPV,,,,,,,,,,,119,84,211,,,
CHL,,,,,,,11409,15492,21669,29741,23956,27775,33015,38752,45479,
COL,,,,,,,,,,,,,,25852,25558,
COM,,,,,,42,,,,,,,,,222,
COG,,,,,12,,,,,,,,,,,
CRI,,,,,,,1773,,,,,,,,,
CIV,,,,,,,,,,1748,,2278,1975,,,
HRV,,4504,,4547,4890,5166,,5927,3549,3599,3809,3357,3634,3598,,
CUB,,,,,,,,,,29310,28376,24692,17323,12975,7564,
CYP,,815,722,705,757,961,1042,1102,735,645,849,933,874,929,,
CZE,,3832,3465,4080,3875,4334,5479,5803,8517,6163,8143,9169,9676,10386,,
COD,,,,,,,,,,,,,,117,2442,
DNK,,659,990,1030,1079,1022,1007,1030,1152,1101,1137,1144,1418,,,
DJI,,,,,,,36,,40,,,89,,7,,
ECU,,,,,,,,,,,11413,,,,,
SLV,,,,,36,16,,15,10,16,9,7,12,24,25,
EST,,1480,1439,1514,1690,2174,2579,2890,2956,2891,2904,2920,2833,,,
ETH,,,,7,6,,188,90,,,,,260,,,
FIN,6893,7416,7502,7852,7998,8472,8883,10005,10466,10736,10821,10586,10485,10664,,
FRA,,,,,,,,,31139,30686,30775,31755,33510,32766,,
GEO,,740,661,511,347,522,584,626,599,358,,,502,,1435,
DEU,,,25052,26304,27707,28733,,,,,,,,35091,,
GHA,,,,,,,,,,,1448,1399,,1575,2637,
GRC,,,,,11144,,11022,14337,,9005,,,8561,,,
GRD,,,,,,,,,,,,6,,,,
GIN,,,,,,,48,,73,,705,359,,,,
GUY,,,,,,,25,,38,35,,,58,10,59,
HND,,,,,,471,,,,,,,,,848,
HUN,,5046,,13692,13517,15756,17296,20140,21320,23586,23019,23702,24419,23220,,
ISL,,,120,134,195,186,215,223,198,189,193,171,215,287,,
IRN,,,,,,,13276,19003,27587,35074,36857,41541,48354,62101,75970,
IRQ,,,,,,,17754,,,,,,,,,
IRL,775,,,,,,,,,,4203,3893,3430,3783,,
ISR,,,,,,,,,,,794,998,1180,,,
ITA,,6205,7065,12671,15701,20140,22354,23634,25223,26519,,,,34531,,
JPN,45726,40104,37381,219487,216630,216949,218239,215965,187163,183375,179195,171959,163691,163560,,
JOR,,,,,,1484,1484,388,456,431,1738,,35,209,,
KAZ,,,,,,,,,,,,,,,14275,
KEN,,,418,439,,,,,,,,,,,,
KGZ,,,,1612,3230,2729,3297,2889,3069,3316,4410,,5435,4300,,
LAO,,,,,,,,,,483,273,2412,1730,2008,2270,
LVA,,583,1130,1258,1419,2148,2664,2789,3289,3864,4236,4314,3892,3736,,
LBN,,,1103,1157,1241,1217,1843,1507,845,895,920,843,803,636,634,
LBR,,220,261,,,,,,,,,,,,,
LTU,,2831,2695,2863,2717,2731,2574,2566,2918,2715,2854,2862,2560,2369,,
LUX,,,,,,,,,,,30,,,,,
