ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,,,,,,,,,,,,10,843,
DZA,,,,,,,,28723,43489,,,,68998,,,
AGO,,57,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,,,,28,
ARG,,,,,,,,1714,11522,7006,3993,5232,4611,7025,,
AUS,3607,3957,4673,5562,11636,292,249,270,279,471,1776,2000,1989,1992,,
AUT,,191,,,,406,163,50,46,267,361,311,382,410,,
AZE,,,,,,,,,92430,,1082,1233,1102,1136,1117,
BHR,,,,,,954,,1078,1273,,,,,,,
BGD,,,,19255,1634,5432,16236,49250,,33743,20896,69764,,,,
BRB,,4786,,,,,,,,,,,,128,,
BEL,,,114,473,173,12857,9,15657,16028,15089,17666,20121,16533,15061,,
BEN,,,,,,,,,,,,2465,,1933,,
BTN,,,,,,,,,,,,,183,50,,
BIH,,,,,,,,,,,,,,201,221,
BRA,,,,,57139,61350,62543,65999,,77906,76955,82240,95976,,,
BRN,,103,91,72,2794,110,150,163,188,168,263,236,202,176,38,
BGR,,246,172,183,179,166,227,241,217,222,232,1484,3457,3788,,
BFA,,,,,,,,,,9,,,,2,31,
BDI,,,,,523,,,,,,,,,,,
KHM,,,,354,220,,2,,,,,,,,,
CMR,,,,,,,,,,,3112,,,17391,,
CAN,145130,,,,,,,,,,,,,,,
CPV,,,,,,,,,,,107,58,97,,,
CHL,,,,,,,,,,1952,508,519,575,351,379,
COL,,,,,,,,,,,,,481,,5173,
COG,,,,,429,,,,,,,,,,,
CRI,,,,,,,272,,,,,,,,,
CIV,,,,,,,,,,2097,,882,212,,,
HRV,,,,,,,,,,,,,565,,,
CUB,,,,,,,,,,4284,2382,1102,4857,5926,3868,
CYP,,,42,,,,18,21,,,,,,,,
CZE,,8546,8802,7223,12051,21,490,186,4744,8950,1355,2962,2013,3520,,
COD,,,,,,,,,,,,,,15427,9681,
DNK,,,7,2151,472,,,,,,,,,,,
DJI,,,,32,,,,,,,,,,,,
ECU,,,,,,,,,,,16,,,,,
SLV,,,,,245,,,3,,,,,,,,
ETH,,4,,7,8,8,277,104,,,325,,160,,,
FIN,56,3042,15,22,,,,,,,,,,,,
FRA,,,,,,,,,31530,9127,4814,1466,1045,13700,,
GMB,,,,,,,77,,,,,,,,,
GEO,,119,94,,5,16,21,26,6,15,,4,,,,
DEU,,,,,,,,,,,,,,3571,,
GHA,,,,,,,,,,,,2,,591,1141,
GRC,,,,,,,,,,,,,11090,,,
GIN,,,,,,,95,,,,,,,,,
GUY,,,,,,,,,27,84,,,,9,49,
HND,,,,,,56,,,,,,,,,,
IRN,,,,,,,,,,,2074,,,,,
IRL,13480,,,,,,,,,,630,3068,4842,10510,,
ISR,,413,1773,1476,1770,1083,901,2248,2079,2488,1545,1571,2194,,,
ITA,,,2519,854,1025,3021,3177,3414,9979,4639,,,,13380,,
JAM,,,,,,,,,,,,,39633,35572,51895,
JPN,295105,287379,317829,116665,125475,132187,149623,155675,174699,176600,168987,170550,174534,180133,,
JOR,,,73098,,,1547,681,4300,10157,1977,1914,,4431,150,,
KAZ,,,,,,,381704,,452631,,,,,,704,
KEN,,,317,270,,,,,,,,,,,,
KGZ,,66619,,2090,,,,,,,61,,,,,
LAO,,,,,,,,,,,41,,,,,
LVA,,50,,,,,,,83,89,92,69,31,21,,
LBN,,,347,786,391,521,481,510,656,651,614,363,353,243,245,
LUX,,,,,,,,,,,73,,,,,
MKD,,,,,,,,,,,,1,,,,
MDG,,,,,,,,132,106,213,321,307,191,359,,
MYS,,,,,29685,,35,,,4386,5106,1488,,1950,,
MLI,,,,,,,,,,,1909,455,,213,,
MRT,,,,,,25,,,,,,,,,,
MUS,,,,,,,,,,,,,,36,49,
MEX,,26850,27902,25394,46,2584,,,10056,2441,,10322,,2970,,
MNG,,,,,7345,720,403,301,707,697,1349,961,811,825,853,
MAR,,,39,,,291,,5,9,,2,572,,,,
MOZ,,,,,,,,32,,,,,,,,
MMR,,,,,,,,,,,,,,168,,
NAM,,,,,,146,,,,,32,,,,,
NLD,,2821,2509,4067,3168,3187,3260,3490,4168,4492,4588,5098,5845,3784,,
NZL,5560,5164,3513,3762,4516,4768,7144,7770,1042,2773,3006,3606,841,936,,
NER,,,,,,,,,273,307,425,540,,1,,
NOR,1658,1978,15845,7032,7146,5722,2156,2038,,2248,2724,1849,1639,1474,,
PAN,,,,,1658,,121,,,,,,,,,
PNG,1723,,,,,,,,,,,,,,,
PHL,,,,,,28407,,,,,,,,,,
POL,37336,61926,79819,103601,96037,89896,91916,96278,,,,,,,,
QAT,,,,2,,,39,,,,,,,,14,
MDA,,,,,,64405,,,,,,,,,,
ROU,,4042,10900,19840,7892,7591,8583,8801,10864,2289,,,,,,
WSM,,,5,,,,,,,,,,,,,
SMR,,,10,,,,,,,,,,,545,,
SAU,,7396,,,,427,7702,14693,7678,1704,1432,1526,132,9,,
SRB,,,,,,,,,,196,,,,,,
SYC,,,,,,,,,,,,,,,2,
SGP,,,,,,,,,,,,275,35,2,29,111
ESP,,566,1748,2075,1954,1861,1079,2694,3767,12646,4111,6693,5574,189,,
LKA,,,,,,,,,,,,,842,950,73,
SUR,,,,,109,,,,,,,,,,,
SWZ,,,4,,,,,,,,,,,,,
SWE,,766,469,531,550,483,730,583,525,614,516,645,131,139,,
CHE,,330,274,273,324,352,388,391,401,728,801,815,920,985,,
TZA,,10,,,,,,,,,,,,,2372,
THA,,,,1102960,1122230,1167000,1208040,,1193570,,,,,12652,,
TTO,,,141,147,,,654,,,,,,,,,
TUN,,,,,,,,,,,,,5949,,,
UGA,,81,175,535,,,1027,,,,,,,,,
UKR,,,,,,,,,,,,,,16646,,
GBR,,,,,,163268,73220,74585,70490,71830,88354,91666,78161,74725,,
USA,,,,,,,,,,,644043,1185650,1267200,1301170,,
UZB,,,,,,,,,,,,,25,17,,
VEN,,,,,,,,,,,32723,,,,,
VNM,,,,,,,,,,,,,,9,,
ZWE,,,,,,,,,,,,,2932,,,
HIS,,,,,,,,,,,947645,1500700,1576470,1626910,,
LCS,,,,,,,,,,93673,,99415,,,,
NAS,,,,,,,,,,,644043,1185650,1267200,1301170,,
# Series: TEDUNSFE,,,,,,,,,,,,,,,,
"# Name: Enrollment in tertiary education, unspecified programs, female",,,,,,,,,,,,,,,,
"# Definition: Number of females enrolled in tertiary education, per program",,,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,
