ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,,,,,,,,,,,,7,794,
DZA,,,,,,,,63096,71245,,,,86305,,,
AGO,,152,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,,,,194,
ARG,,,,,,,,1468,8379,5059,2720,3595,3439,4350,,
AUS,3643,3653,4246,4949,10531,157,99,131,144,275,906,1060,1190,1172,,
AUT,,252,,,,296,84,53,101,254,285,248,331,369,,
AZE,,,,,,,,,88863,,8620,5083,4624,3938,3511,
BHR,,,,,,471,,382,486,,,,,,,
BGD,,,,39613,8499,12342,69360,88834,,89930,61249,87563,,,,
BRB,,2129,,,,,,,,,,,,72,,
BEL,,,112,244,136,16029,2,16390,16477,14507,16304,18556,15728,15043,,
BEN,,,,,,,,,,,,5240,,5678,,
BTN,,,,,,,,,,,,,327,174,,
BIH,,,,,,,,,,,,,,143,173,
BRA,,,,,46367,47908,50773,55768,,77398,75816,78877,93416,,,
BRN,,48,41,46,1624,44,52,52,63,61,107,87,77,72,59,
BGR,,219,168,165,125,135,187,249,249,230,285,1483,4420,3853,,
BFA,,,,,,,,,,29,,,,82,54,
BDI,,,,,826,,,,,,,,,,,
KHM,,,,1183,772,,26,,,,,,,,,
CMR,,,,,,,,,,,4611,,,18955,,
CAN,101058,,,,,,,,,,,,,,,
CPV,,,,,,,,,,,127,64,102,,,
CHL,,,,,,,,,,2007,444,501,589,409,458,
COL,,,,,,,,,,,,,581,,7129,
COG,,,,,1150,,,,,,,,,,,
CRI,,,,,,,163,,,,,,,,,
CIV,,,,,,,,,,1703,,7440,6584,,,
HRV,,,,,,,,,,,,,8803,,,
CUB,,,,,,,,,,5345,11035,6237,5039,4552,3561,
CYP,,,52,,,,433,101,,,,,,,,
CZE,,4963,9548,4297,8175,1093,2507,1479,16777,17926,4669,2159,1732,5058,,
COD,,,,,,,,,,,,,,25817,4548,
DNK,,,35,2874,491,,,,,,,,,,,
DJI,,,,41,,,,,,,,,,,,
ECU,,,,,,,,,,,164,,,,,
SLV,,,,,1262,,,0,,,,,,,,
ETH,,20,,33,36,41,1331,462,,,235,,504,,,
FIN,10,1495,2,16,,,,,,,,,,,,
FRA,,,,,,,,,44317,9111,2971,5962,2703,15398,,
GMB,,,,,,,36,,,,,,,,,
GEO,,155,122,,18,6,17,30,21,1,,2,,,,
DEU,,,,,,,,,,,,,,2410,,
GHA,,,,,,,,,,,,4,,2717,4338,
GRC,,,,,,,,,,,,,8803,,,
GIN,,,,,,,564,,,,,,,,,
GUY,,,,,,,,,10,18,,,,8,9,
HND,,,,,,267,,,,,,,,,,
IRN,,,,,,,,,,,835,,,,,
IRL,11031,,,,,,,,,,432,1576,3187,6530,,
ISR,,493,976,1056,1170,605,810,1301,1220,1287,1181,1395,1995,,,
ITA,,,567,506,751,1391,2170,1923,5535,3362,,,,4014,,
JAM,,,,,,,,,,,,,18561,16456,26373,
JPN,123139,122382,153835,120454,125450,133363,149862,153144,178777,176389,152206,155305,160416,167480,,
JOR,,,69092,,,1924,1334,3189,5422,1330,1585,,3723,0,,
KAZ,,,,,,,282745,,328152,,,,,,3288,
KEN,,,855,835,,,,,,,,,,,,
KGZ,,64603,,1871,,,,,,,202,,,,,
LAO,,,,,,,,,,,274,,,,,
LVA,,443,,,,,,,14,13,15,12,8,8,,
