ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ALB,,,,,,,,6.4,,,,,,,2.8,,
AGO,,,,,,,,,,,,,28.6,,,,
ARM,,,,,,6,,,,,4.7,,,,,4.9,
AZE,,,,,,,6.8,,,,,6.3,,,,,
BGD,,,35.6,,,34.7,,,,32.7,,,32.7,,,,
BEN,,26,,,,,21.5,,,,,21.4,,,,,
BOL,,,,13.7,,,,,15.7,,,,,17.9,,,
BRA,,18,,,,,,,,,,,,,,,
BFA,,,,,25.4,,,,23.2,,,,,,,23.6,
BDI,,,,,,,,,,,,,,,,9.6,
KHM,,,,,,8.2,,,,,7.8,,,,,8.2,
CMR,,,,31.2,,,,,,28.4,,,,,,,
CPV,,,,17.6,,,,,,,,,,,,,
CAF,36.1,,,,,,,,,,,,,,,,
TCD,,,38.5,,,,,,,36.6,,,,,,,
COL,17.4,,,,,19.1,,,,,20.5,,,,,19.5,
COM,,9.1,,,,,,,,,,,,,,,
COG,,,,,,,,,,,27.3,,,,,,
CIV,,,,,31,,,,,,,,,,,,
HRV,,,,,3.8,3.6,5.5,5.3,5,4.4,4.4,4.4,4.2,4.1,3.7,,
COD,,,,,,,,,,,,,23.8,,,,
DOM,,22.7,,,20.8,,,23.3,,,,,20.6,,,,
ECU,,,,,,,,,,19.4,,,,,,,
EGY,10.2,,,,,8.5,,,,,9.4,,,9.6,,,
SLV,,,,24.3,,,,21.6,21.6,,,,,22.8,,,
ERI,23,,,,,,,14,,,,,,,,,
ETH,,,,,,16.3,,,,,16.6,,,,,,12.4
GAB,,,,,,32.7,,,,,,,,,,,
GEO,,,,,10.6,10.6,,,,,10.2,,,,,,
GHA,,,,14.1,,,,,13.8,,,,,13.3,,,
GTM,21.1,,,,21.6,,,19.2,,,,,,21.8,21.8,,
GIN,,,,,37.2,,,,,,31.8,,,,,,
GUY,,,,,,,,,,,,,,,18,,
HTI,14.5,,,,,18,,,,,,14,,,,,
HND,,27.7,,,,,28.5,,,,,21.5,,,,,
IND,,,,,20.6,,,,,,,16,,,,,
IDN,,,12.2,,,,,,10.4,,,,8.5,,,,
JAM,,,26.6,,,,,,,,,,,13.7,13.7,,
JOR,,,5.7,,,,,4.3,,,,,4.1,,4.7,,
KAZ,8.7,,,,6.7,,,,,,,7.1,,,,,
KEN,,,,20.9,,,,,23,,,,,,17.7,,
KGZ,,,9.4,,,,,,,,,,,,,,
LAO,,,,,,,,,,,17,,,,,,
LSO,,,,,,,,,,20.2,,,,,19.6,,
LBR,,,,,,,,,,,,,32.1,,37.6,,
MDG,,,35.7,,,,,,,34,,,,,31.7,,
MWI,,,,,,33,,,,34.1,,,,,,25.6,
MDV,,,,,,,,,,,6.1,,,,2.1,,
MLI,,41.5,,,,,40.4,,,,,35.5,,,,,
MRT,,,,,,,15.8,,,,,,,,,,
MAR,,,,,,,,,,6.5,,,,,,,
MOZ,,,40,,,,,,41,,,,,,,,
NAM,,,,,,17.6,,,,,,,15.4,,,,
NPL,,23.9,,,,,21.4,,,,,18.5,,,,,16.7
NIC,,,,27,,,24.7,,,,,25.2,25.2,,,,
NER,,,,43.1,,,,,,,,39.3,,,,,
NGA,,,,,21.9,,,,25.2,,,,,22.9,,,
PAK,,,,,,,,,,,,,9.1,,,,
PRY,,14,,,,,,,,13.2,,,,11.6,,,
PER,,13.4,,,,13,,,,,,12.2,,13.6,,,
PHL,,,,7.2,,,,,8,,,,,9.9,,,
MDA,,,8.1,,,,,,,,6.1,,,,,,
ROU,,,,,6.5,,,,,,,,,,,,
RWA,,,,,,6.8,,,,,4.1,,,5.7,,6.1,
STP,,,,,,,,,,,,,,,22.8,,
SEN,,,22.3,,,,,,,,18.9,,,,17.5,,18.7
SLE,,,,,,,,,,,,,,34,,,
ZAF,,,,16,,,,,,,,,,,,,
SWZ,,,,,,,,,,,,,22.6,,,,
TZA,,26.1,,,24.5,,,,,,26,,,,,22.8,
TLS,,,,,,,,,,,,,,,,7.2,
TGO,,,,19.4,,,,,,,,,,,,,
TUR,,,,10.2,,,,,,,,,,,,,
TKM,,,,,,4.3,,,,,,,,,,,
UGA,42.9,,,,,,31.4,,,,,24.9,,,,,
UKR,,,,,7.6,,,,,,,,4.2,,,,
UZB,,9.5,,,,,,,,,,,,,,,
VNM,,,5.7,,,,,3.4,,,,,,,,,
YEM,,,15.5,,,,,,,,,,,,,,
ZMB,,30.7,,,,,,31.6,,,,,27.9,,,,
ZWE,,,,,20.5,,,,,,,21.2,,,,,23.5
# Series: TEENFEMO,,,,,,,,,,,,,,,,,
# Name: % women ages 15-19 who have children or are pregnant,,,,,,,,,,,,,,,,,
# Definition: Teenage mothers are the percentage of women ages 15-19 who already have children or are currently pregnant.,,,,,,,,,,,,,,,,,
# Source: Compiled by World Bank; Source Demographic and Health Surveys by ICF International.,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,
