ISO,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,,,,,,,,,,,,,1.6,,,,,
AGO,,,,,,,,,,,,,46.6,,,,,,,
ARM,,,,,,,13.2,,,,,5.3,,,,,8.4,,,
AZE,,,,,,,,,,,,,5.9,,,,,,,
BGD,,,,,,,,,,,42.8,,,41.5,,,,41.6,,
BEN,,,44,,,,,40,,,,,33.6,,,,,,26.7,
BOL,,,,,27.6,,,,,29.3,,,,,31.3,,,,,
BRA,,,33.6,,,,,,,,,,,,,,,,,
BFA,,,,,,31,,,,26,,,,,,,29.6,,,
BDI,,,,,,,,,,,,,,,,,9.9,,,
KHM,,,,,,,8.6,,,,,11.2,,,,,13.3,,,
CMR,,,,,47.1,,,,,,36.3,,,,,,,37.6,,
TCD,,,,29.7,,,,,,,30.9,,,,,,,,,
COL,27.7,31.2,,,,,31.8,,,,,31.5,,,,,28.9,,,
COM,,,10.5,,,,,,,,,,,,,,,,17,
COG,,,,,,,,,,,,35.4,,,,,,,,
CIV,,,,,52.2,,,,,,,,,,,,,,53.8,
COD,,,,,,,,,,,,,,28.6,,,,,,42.2
DOM,,,40.9,,,21,,,41.5,,,,,36.9,,,,,,35.1
EGY,,,,,,,,,,,,10,,,11.7,,,,,
ERI,,31.1,,,,,,,13.2,,,,,,,,,,,
ETH,,,,,,,10.6,,,,,23.8,,,,,,20.6,,
GAB,,,,,,,41.6,,,,,,,,,,,,48.8,
GHA,,,,,25.1,,,,,26.1,,,,,17.9,,,,,
GTM,,34.2,,,,30.4,,,,,,,,,,,,,,
GIN,,,,,,51.5,,,,,,38.9,,,,,,,49.6,
GUY,,,,,,,,,,,,,,,,38.3,,,,
HTI,,,,,,,20.8,,,,,,21.5,,,,,,15.1,
HND,,,,,,,,,,,,31.3,,,,,,35.4,,
IND,,,,,,,,,,,,,25.3,,,,,,,
IDN,,,,,,,,,,17.3,,,,5.9,,,,,16.7,
JOR,,,,,,,,,,,,,,7.6,,5,,,4.1,
KAZ,,9.2,,,,7.7,,,,,,,,,,,,,,
KEN,,,,,27.7,,,,,28.8,,,,,23.7,,,,,
KGZ,,,,13.5,,,,,,,,,,,,,,,7.3,
LSO,,,,,,,,,,,27.6,,,,,27.3,,,,
LBR,,,,,,,,,,,,,,45.9,,53,,,,47
MDG,,,,58.2,,,,,,,49.5,,,,51,,,,,
MWI,,,,,,,36.7,,,,43.2,,,,,,31.1,,,
MDV,,,,,,,,,,,,,,,,3.6,,,,
MLI,,,50.8,,,,,45,,,,,36.7,,,,,,46.1,
MRT,,,,,,,13.9,,,,,,,,,,,,,
MAR,,,,,,,,,,9.2,,,,,,,,,,
MOZ,,,,57.6,,,,,,60.5,,,,,,,,44.6,,
NAM,,,,,,,20.6,,,,,,22.4,,,,,,,
NPL,,,,,,,,,,,,,18.2,,,,,18.4,,
NIC,,,,,40.2,,,37.6,,,,,,,,,,,,
NER,,,,,49,,,,,,,,39.7,,,,,,49.2,
NGA,38.4,,,,,,,,,32.2,,,,,45.8,,,,,43.3
PAK,,,,,,,,,,,,,15.8,,,,,,11.5,
PRY,31.3,,,,,,,,,,,,,,,,,,,
PER,,,30.8,,,,30,,,,32.2,,,35,,26.9,22.4,22.4,26.1,
PHL,,,,,19,,,,,20.7,,,,,18.5,,,,,14.7
MDA,,,,,,,,,,,,8.3,,,,,,,,
RWA,,,,,,,6.4,,,,,2.9,,,5.4,,8.9,,,
STP,,,,,,,,,,,,,,,36.8,,,,,
SEN,,,,40.5,,,,,,,,33.5,,,33.6,,38.3,,,
SLE,,,,,,,,,,,,,,,49.4,,,,,35.7
ZAF,,,,,22.1,,,,,,,,,,,,,,,
SWZ,,,,,,,,,,,,,32.5,,,,,,,
TJK,,,,,,,,,,,,,,,,,,,3.4,
TZA,,,26.9,,,27.8,,,,,32,,,,,,28.1,,,
TLS,,,,,,,,,,,,,,,,9.1,,,,
TGO,,,,,36,,,,,,,,,,,,,,,
TUR,,,,,11.4,,,,,,,,,,,,,,,
TKM,,,,,,,5.1,,,,,,,,,,,,,
UGA,,48.8,,,,,47.5,,,,,,40.7,,,,,34.4,,
UKR,,,,,,,,,,,,,,7.7,,,,,,
UZB,,,11.7,,,,,,,,,,,,,,,,,
ZMB,,,41.4,,,,,,36.3,,,,,37.2,,,,,,
ZWE,,,,,,28.1,,,,,,32.1,,,,,36.4,,,
# Series: TEPREGLQ,,,,,,,,,,,,,,,,,,,,
"# Name: % women ages 15-19 who have children or are pregnant, lowest income quintile",,,,,,,,,,,,,,,,,,,,
"# Definition: Teenage mothers are the percentage of women ages 15-19 who already have children or are currently pregnant, by household wealth index",,,,,,,,,,,,,,,,,,,,
# Source: DHS Household Surveys,,,,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,,,
