ISO,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,,,,,,,43,,,,,,50.8,,,,,
AGO,,,,,,,,,,,,,57.1,,,,,,,
ARM,,,,,,,0,,,,,,,,,,,,,
AZE,,,,,,,,14.3,,,,,6.9,,,,,,,
BGD,,,54,,,55.7,,,,,45.7,,,48.4,,,,46.7,,
BEN,,,34.5,,,,,32.6,,,,,39.3,,,,,32.4,,
BOL,,,,,51.5,,,,,47.2,,,,,51.7,,,,,
BRA,,,54.4,,,,,,,,,,,,,,,,,
BFA,,,,,28.5,,,,,27.8,,,,,,,32.9,,,
BDI,,,,,,,,,,,,,,,,,21.3,,,
KHM,,,,,,,13.3,,,,,21.4,,,,,17,,,
CMR,,,,,47.4,,,,,,50.2,,,,,,,55.6,,
CPV,,,,,93.4,,,,,,,,,,,,,,,
TCD,,,40.4,,,,,,,,41.2,,,,,,,,,
COL,62.4,50.7,,,,,45.5,,,,,52.3,,,,,55,,,
COM,,,13.9,,,,,,,,,,,,,,,,27,
COG,,,,,,,,,,,,39.4,,,,,,64.5,,
CIV,,,,,38.9,,,,,,,,,,,,,38.9,,
COD,,,,,,,,,,,,,,39.1,,,,,,39.2
DOM,,,58.3,,,31.1,,,60.7,,,,,51.3,,,,,,83.2
ECU,,,,,,,,,,,42.9,,,,,,,,,
EGY,,21.3,,,,,17.2,,,,,23,,,26.1,,,,,
SLV,,,,,0,,,,48.8,,,,,,48.4,,,,,
ERI,,41.7,,,,,,,25.3,,,,,,,,,,,
ETH,,,,,,,20.8,,,,,28.9,,,,,,32.8,,
GAB,,,,,,,35.4,,,,,,,,,,,,51.9,
GEO,,,,,,,,,,,,0,,,,,,,,
GHA,,,,,22.1,,,,,26,,,,,30.9,,,,,
GTM,,37.4,,,40.5,,,,36.4,,,,,,44.1,,,,,
GIN,,,,,,45.5,,,,,,42.8,,,,,,,47.5,
GUY,,,,,,,,,,,,,,,,80.7,,,,
HTI,,,,,,,44.6,,,,,30,,,,,,,27.1,
HND,,,49.8,,,,,45.3,,,,46.3,,,,,,45.8,,
IND,,,,,63,,,,,,,32.6,,,,,,,,
IDN,,,,23.3,,,,,13.2,,,,,18.7,,,,,15.6,
JOR,10.6,,,10.4,,,,,14,,,,,0.9,,17.8,,,0,
KAZ,,,,,,0,,,,,,,,,,,,,,
KEN,,,,,41.4,,,,,45.9,,,,,32.1,,,,,
KGZ,,,,0,,,,,,,,,,,,,,,,
LSO,,,,,,,,,,,53.9,,,,,48.9,,,,
LBR,,,,,,,,,,,,,,58.4,,67.3,,,,48.9
MDG,,,,53.5,,,,,,56.5,,,,,60.4,,,,,
MWI,,,,,,,56.1,,,,63.5,,,,,,44.6,,,
MDV,,,,,,,,,,,,,,,,4.6,,,,
MLI,,46,,,,,,46.8,,,,,43.3,,,,,,49.3,
MRT,,,,,,,22.3,,,,,,,,,,,,,
MAR,,,,,,,,,,14.6,,,,,,,,,,
MOZ,,,,50.1,,,,,,61.9,,,,,,,,50.6,,
NAM,,,,,,,37.1,,,,,,58,,,,,,,
NPL,,,31.8,,,,,31.5,,,,,32.7,,,,,31.6,,
NIC,,,,,54.2,,,46.3,,,,,64.2,,,,,,,
NER,,,,,48.8,,,,,,,,46.9,,,,,,50,
NGA,52.1,,,,,57.7,,,,53.9,,,,,55.3,,,,,47.6
PAK,65.1,,,,,,,,,,,,15.5,,,,,,12.9,
PRY,33.8,49.3,,,,,,,,,34.6,,,,33.3,,,,,
PER,,,55.5,,,,36.9,,,,39.4,,,57.9,,47.9,26.5,19.7,56.7,
PHL,,,,,17.3,,,,,39.4,,,,,30.8,,,,,36.2
MDA,,,,,,,,,,,,0,,,,,,,,
ROU,,,,,,51.1,,,,,,,,,,,,,,
RWA,,,,,,,12.7,,,,,10,,5.1,,,24.9,,,
STP,,,,,,,,,,,,,,,4.2,,,,,
SEN,,,,29.3,,,,,,,,28.2,,,26.7,,31.1,,,
SLE,,,,,,,,,,,,,,,54.4,,,,,46.2
ZAF,,,,,34.4,,,,,,,,,,,,,,,
SWZ,,,,,,,,,,,,,61.3,,,,,,,
TJK,,,,,,,,,,,,,,,,,,,12.6,
TZA,,,39.6,,,32.7,,,,,42.9,,,,,,51.9,,,
TLS,,,,,,,,,,,,,,,,13.2,,,,
TGO,,,,,37.7,,,,,,,,,,,,,,,
TUR,,,,,22.1,,,,,,,,,,,,,,,
TKM,,,,,,,0,,,,,,,,,,,,,
UGA,,48.5,,,,,59,,,,,,50.2,,,,,44.5,,
VNM,,,,10.9,,,,,7.5,,,,,,,,,,,
YEM,,,,19,,,,,,,,,,,,,,,,
ZMB,,,48.1,,,,,45.6,,,,,,54.3,,,,,,
ZWE,,,,,,36.8,,,,,,55.9,,,,,21,,,
# Series: TEPREGNE,,,,,,,,,,,,,,,,,,,,
"# Name: % women ages 15-19 who have children or are pregnant, no education",,,,,,,,,,,,,,,,,,,,
"# Definition: Teenage mothers are the percentage of women ages 15-19 who already have children or are currently pregnant, by highest educational level of respondent",,,,,,,,,,,,,,,,,,,,
# Source: DHS Household Surveys,,,,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,,,
