ISO,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,,,,,,,8.8,,,,,,4.7,,,,,
AGO,,,,,,,,,,,,,27.6,,,,,,,
ARM,,,,,,,10.3,,,,,0,,,,,2.8,,,
AZE,,,,,,,,10.9,,,,,14.9,,,,,,,
BGD,,,39.1,,,44.5,,,,,43,,,42.1,,,,39.4,,
BEN,,,19,,,,,15,,,,,16.2,,,,,19.1,,
BOL,,,,,28.9,,,,,25.2,,,,,31.9,,,,,
BRA,,,28.3,,,,,,,,,,,,,,,,,
BFA,,,,,18.6,,,,,18.1,,,,,,,18.1,,,
BDI,,,,,,,,,,,,,,,,,6.8,,,
KHM,,,,,,,7.5,,,,,9,,,,,12.7,,,
CMR,,,,,35.5,,,,,,33.4,,,,,,,35,,
CPV,,,,,24.9,,,,,,,,,,,,,,,
TCD,,,37.9,,,,,,,,31.8,,,,,,,,,
COL,20.3,29.2,,,,,33.7,,,,,42.3,,,,,46.5,,,
COM,,,8.8,,,,,,,,,,,,,,,,23,
COG,,,,,,,,,,,,31.6,,,,,,43.7,,
CIV,,,,,30.6,,,,,,,,,,,,,35.5,,
COD,,,,,,,,,,,,,,29.5,,,,,,34.5
DOM,,,29.6,,,27,,,34.2,,,,,32,,,,,,37.7
ECU,,,,,,,,,,,34.1,,,,,,,,,
EGY,,12.7,,,,,17.5,,,,,16.7,,,13.1,,,,,
SLV,,,,,26.4,,,,34.4,,,,,,39.8,,,,,
ERI,,18.6,,,,,,,13.5,,,,,,,,,,,
ETH,,,,,,,8.9,,,,,10.4,,,,,,8.8,,
GAB,,,,,,,37.8,,,,,,,,,,,,41.6,
GEO,,,,,,6,,,,,,10.9,,,,,,,,
GHA,,,,,23.5,,,,,20.8,,,,,25.9,,,,,
GTM,,25.3,,,25.6,,,,24.2,,,,,,26.9,,,,,
GIN,,,,,,24.1,,,,,,21.2,,,,,,,33.8,
GUY,,,,,,,,,,,,,,,,38.1,,,,
HTI,,,,,,,18.8,,,,,16.6,,,,,,,19.5,
HND,,,31.5,,,,,36.8,,,,31.5,,,,,,37.8,,
IND,,,,,61,,,,,,,21.6,,,,,,,,
IDN,,,,21.5,,,,,20.9,,,,,21.3,,,,,30.1,
JAM,,,,33.4,,,,,,,,,,,13,,,,,
JOR,13,,,12.7,,,,,12.1,,,,,15.8,,15.5,,,8.6,
KAZ,,,,,,0,,,,,,,,,,,,,,
KEN,,,,,23.7,,,,,24.9,,,,,20.6,,,,,
KGZ,,,,34.3,,,,,,,,,,,,,,,0,
LSO,,,,,,,,,,,22.6,,,,,26.6,,,,
LBR,,,,,,,,,,,,,,31.1,,34.7,,,,30.7
MDG,,,,37,,,,,,38.5,,,,,38.2,,,,,
MWI,,,,,,,33.2,,,,36.2,,,,,,28.1,,,
MDV,,,,,,,,,,,,,,,,4.3,,,,
MLI,,36,,,,,,31.9,,,,,31.2,,,,,,42.4,
MRT,,,,,,,15.7,,,,,,,,,,,,,
MAR,,,,,,,,,,7.6,,,,,,,,,,
MOZ,,,,37.9,,,,,,38.4,,,,,,,,40.8,,
NAM,,,,,,,18.7,,,,,,23.8,,,,,,,
NPL,,,22.3,,,,,19.6,,,,,23,,,,,27.8,,
NIC,,,,,37.4,,,32.4,,,,,34,,,,,,,
NER,,,,,29.4,,,,,,,,24.8,,,,,,33.3,
NGA,23.1,,,,,20.6,,,,23.5,,,,,26.5,,,,,32.2
PAK,55.2,,,,,,,,,,,,8.8,,,,,,10.5,
PRY,24.2,21.6,,,,,,,,,26.2,,,,14.8,,,,,
PER,,,30.6,,,,26.4,,,,33.3,,,32.7,,32.5,33.7,33.9,34.9,
PHL,,,,,15.9,,,,,19.4,,,,,17.1,,,,,22.8
MDA,,,,33.3,,,,,,,,70.9,,,,,,,,
ROU,,,,,,17.3,,,,,,,,,,,,,,
RWA,,,,,,,6.1,,,,,3.5,,6.3,,,6.1,,,
STP,,,,,,,,,,,,,,,36,,,,,
SEN,,,,16.3,,,,,,,,14.6,,,16.4,,20.5,,,
SLE,,,,,,,,,,,,,,,33.9,,,,,28.7
ZAF,,,,,20.2,,,,,,,,,,,,,,,
SWZ,,,,,,,,,,,,,29.9,,,,,,,
TJK,,,,,,,,,,,,,,,,,,,10.1,
TZA,,,24.4,,,23.1,,,,,24.6,,,,,,28.7,,,
TLS,,,,,,,,,,,,,,,,15.5,,,,
TGO,,,,,16.1,,,,,,,,,,,,,,,
TUR,,,,,15,,,,,,,,,,,,,,,
TKM,,,,,,,0,,,,,,,,,,,,,
UGA,,47.3,,,,,33.1,,,,,,27.9,,,,,26.9,,
UKR,,,,,,4.1,,,,,,,,59.2,,,,,,
UZB,,,0,,,,,,,,,,,,,,,,,
VNM,,,,9.3,,,,,10,,,,,,,,,,,
YEM,,,,14.4,,,,,,,,,,,,,,,,
ZMB,,,33.1,,,,,35.7,,,,,,32.9,,,,,,
ZWE,,,,,,30.8,,,,,,34.1,,,,,41.9,,,
# Series: TEPREGPE,,,,,,,,,,,,,,,,,,,,
"# Name: % women ages 15-19 who have children or are pregnant, primary education",,,,,,,,,,,,,,,,,,,,
"# Definition: Teenage mothers are the percentage of women ages 15-19 who already have children or are currently pregnant, by highest educational level of respondent",,,,,,,,,,,,,,,,,,,,
# Source: DHS Household Surveys,,,,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,,,
