ISO,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,,,,,,,2.6,,,,,,1.3,,,,,
AGO,,,,,,,,,,,,,7.9,,,,,,,
ARM,,,,,,,6,,,,,4.7,,,,,5.3,,,
AZE,,,,,,,,6.5,,,,,6,,,,,,,
BGD,,,18.7,,,20.9,,,,,25.7,,,27.9,,,,26.2,,
BEN,,,2.8,,,,,4.9,,,,,6.2,,,,,6.5,,
BOL,,,,,8.8,,,,,9.8,,,,,12.2,,,,,
BRA,,,14.1,,,,,,,,,,,,,,,,,
BFA,,,,,9.9,,,,,8,,,,,,,6.1,,,
BDI,,,,,,,,,,,,,,,,,5.4,,,
KHM,,,,,,,5.9,,,,,4.1,,,,,5.3,,,
CMR,,,,,20.3,,,,,,18.1,,,,,,,15.6,,
CPV,,,,,8.6,,,,,,,,,,,,,,,
TCD,,,16,,,,,,,,22.3,,,,,,,,,
COL,7.5,12.1,,,,,15,,,,,16.3,,,,,17,,,
COM,,,2.3,,,,,,,,,,,,,,,,5.7,
COG,,,,,,,,,,,,23.6,,,,,,28.3,,
CIV,,,,,8.6,,,,,,,,,,,,,14.2,,
COD,,,,,,,,,,,,,,13.9,,,,,,22.2
DOM,,,11,,,13.8,,,14.1,,,,,14.7,,,,,,15.1
ECU,,,,,,,,,,,14.2,,,,,,,,,
EGY,,1.6,,,,,4.8,,,,,6.7,,,7.6,,,,,
SLV,,,,,10.5,,,,14.5,,,,,,16.7,,,,,
ERI,,4.4,,,,,,,6.5,,,,,,,,,,,
ETH,,,,,,,9.5,,,,,3,,,,,,4.2,,
GAB,,,,,,,29.7,,,,,,,,,,,,24.7,
GEO,,,,,,10.7,,,,,,10.2,,,,,,,,
GHA,,,,,9.8,,,,,8.9,,,,,7.7,,,,,
GTM,,7.5,,,9.2,,,,6.6,,,,,,13,,,,,
GIN,,,,,,10.1,,,,,,17.1,,,,,,,16.7,
GUY,,,,,,,,,,,,,,,,15.8,,,,
HTI,,,,,,,10.7,,,,,8.7,,,,,,,8.9,
HND,,,15,,,,,12.5,,,,10.5,,,,,,15.3,,
IND,,,,,53.1,,,,,,,8.9,,,,,,,,
IDN,,,,5.4,,,,,6.5,,,,,5.1,,,,,7.1,
JAM,,,,23.3,,,,,,,,,,,13.9,,,,,
JOR,6.2,,,5.2,,,,,3.9,,,,,3.9,,4.4,,,4.5,
KAZ,,8.7,,,,6.7,,,,,,,,,,,,,,
KEN,,,,,9.2,,,,,10.4,,,,,10,,,,,
KGZ,,,,9.4,,,,,,,,,,,,,,,6.3,
LSO,,,,,,,,,,,16.3,,,,,14.9,,,,
LBR,,,,,,,,,,,,,,16.9,,28.3,,,,29.1
MDG,,,,17.7,,,,,,10.1,,,,,15.6,,,,,
MWI,,,,,,,19.7,,,,18.9,,,,,,15.5,,,
MDV,,,,,,,,,,,,,,,,2,,,,
MLI,,14.6,,,,,,15.9,,,,,15.8,,,,,,21.9,
MRT,,,,,,,5.3,,,,,,,,,,,,,
MAR,,,,,,,,,,1.3,,,,,,,,,,
MOZ,,,,11.4,,,,,,16,,,,,,,,25.9,,
NAM,,,,,,,15.6,,,,,,11.6,,,,,,,
NPL,,,9.6,,,,,12.4,,,,,10.8,,,,,11.6,,
NIC,,,,,14.2,,,16.3,,,,,16.3,,,,,,,
NER,,,,,9.7,,,,,,,,8.4,,,,,,15.1,
NGA,9.4,,,,,4.9,,,,9.1,,,,,8.8,,,,,8.9
PAK,55.3,,,,,,,,,,,,3.7,,,,,,4,
PRY,6.2,6,,,,,,,,,9.4,,,,7.8,,,,,
PER,,,8.3,,,,9.2,,,,9,,,11,,11.2,11,10.4,10.7,
PHL,,,,,5.5,,,,,6,,,,,8.6,,,,,8.6
MDA,,,,8,,,,,,,,6,,,,,,,,
ROU,,,,,,2.8,,,,,,,,,,,,,,
RWA,,,,,,,3.8,,,,,4.1,,2.9,,,3.6,,,
STP,,,,,,,,,,,,,,,13.6,,,,,
SEN,,,,7.6,,,,,,,,3.8,,,6.7,,4.4,,,
SLE,,,,,,,,,,,,,,,16.5,,,,,21.7
ZAF,,,,,14.7,,,,,,,,,,,,,,,
SWZ,,,,,,,,,,,,,16.1,,,,,,,
TJK,,,,,,,,,,,,,,,,,,,7.2,
TZA,,,9.4,,,12.3,,,,,4,,,,,,6,,,
TLS,,,,,,,,,,,,,,,,3.8,,,,
TGO,,,,,4,,,,,,,,,,,,,,,
TUR,,,,,3.3,,,,,,,,,,,,,,,
TKM,,,,,,,4.3,,,,,,,,,,,,,
UGA,,18.7,,,,,16.7,,,,,,15.3,,,,,15.8,,
UKR,,,,,,9.4,,,,,,,,4.1,,,,,,
UZB,,,9.6,,,,,,,,,,,,,,,,,
VNM,,,,4,,,,,1.9,,,,,,,,,,,
YEM,,,,9.7,,,,,,,,,,,,,,,,
ZMB,,,21.1,,,,,21.3,,,,,,20.6,,,,,,
ZWE,,,,,,15.5,,,,,,16,,,,,18.4,,,
# Series: TEPREGSE,,,,,,,,,,,,,,,,,,,,
"# Name: % women ages 15-19 who have children or are pregnant, secondary education or higher",,,,,,,,,,,,,,,,,,,,
"# Definition: Teenage mothers are the percentage of women ages 15-19 who already have children or are currently pregnant, by highest educational level of respondent",,,,,,,,,,,,,,,,,,,,
# Source: DHS Household Surveys,,,,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,,,
