ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,0.164903,0.157478,0.152461,0.148742,0.145094,0.140808,0.135845,0.148855,0.158764,,,,,,0.018514,0.058526,0.046414,0.045265
ALB,1.25526,1.91108,2.60558,3.47847,4.2313,4.61995,6.01007,6.74103,7.87186,8.5367,8.72846,8.0514,9.47501,10.8848,11.5195,10.573,10.7437,9.86691
DZA,4.01261,4.28257,4.61467,4.79227,5.11569,5.55283,5.84755,5.98656,6.30075,7.43162,7.57341,8.23392,8.74264,8.59092,7.08063,7.88588,8.10142,8.32084
AND,46.6611,48.175,49.8986,51.6403,52.4421,52.3173,50.7426,48.7472,46.496,44.3208,43.6379,44.5876,45.7031,46.7369,48.1598,48.9956,49.3174,48.9025
AGO,0.435689,0.422625,0.486882,0.495526,0.497387,0.466071,0.533879,0.53874,0.551473,0.590109,0.584851,0.573313,0.532349,0.624076,1.60186,1.55096,1.50254,1.45529
ATG,37.8791,39.8605,42.9173,45.8184,48.0004,49.3252,47.1863,47.5397,46.9692,46.5014,44.1834,44.9279,44.9068,44.5231,43.2793,41.6379,40.2532,37.2284
ARG,16.4044,17.7593,19.1276,19.6499,19.7816,21.3917,21.8157,20.4865,22.6594,22.8683,24.43,24.2628,24.1538,24.5559,24.4059,24.5558,23.8714,23.5218
ARM,18.0816,18.261,18.0963,17.8801,17.5898,17.3397,17.3681,17.8157,18.5663,19.1355,19.7154,20.1105,20.8938,21.0446,20.2112,19.9865,19.8016,19.6588
AUS,49.1055,50.0026,50.3678,50.7594,51.2943,52.1824,51.6235,52.7527,52.4229,51.2897,49.316,47.6383,45.9375,43.2893,48.5952,47.4235,46.4941,45.4264
AUT,47.5482,48.7131,49.5301,50.0434,49.1893,49.8363,49.6556,47.9868,47.6154,46.6365,45.3839,43.5524,40.9916,39.3784,38.8571,40.4431,40.176,39.686
AZE,8.22993,8.21505,8.30999,8.51905,9.07065,9.86974,10.5522,11.1839,11.2467,11.9715,12.7776,13.5831,14.2906,14.7618,15.5916,16.5655,18.2982,18.5198
BHS,29.89,31.5368,34.2084,36.5159,37.8896,38.4025,40.6931,40.9515,41.7763,43.4045,40.4372,39.2001,38.8406,38.111,36.3799,35.8709,36.3046,36.2942
BHR,24.9854,24.908,25.4943,25.5238,25.8021,25.5861,24.8809,23.9503,24.0599,23.3457,22.0026,20.4212,19.7162,19.7472,19.9742,18.2179,21.3901,22.7204
BGD,0.239097,0.258234,0.294542,0.323668,0.333137,0.371122,0.41927,0.442265,0.533134,0.588346,0.747545,0.782778,0.810421,0.908601,0.826,0.847496,0.639595,0.621602
BRB,34.2492,36.5869,40.9881,42.5937,43.1974,46.346,48.0648,49.3463,49.475,49.8639,49.3033,48.8359,48.5965,48.6252,48.6369,49.0328,49.917,50.8437
BLR,19.3191,20.9523,22.8505,24.699,26.2932,27.5702,28.8541,30.1147,31.3911,32.6738,33.9821,35.0086,38.3068,38.9093,41.8147,43.6052,44.527,46.858
BEL,46.0748,45.3891,46.7201,47.5061,48.9008,49.0479,49.8185,47.6991,46.9429,45.9823,45.6276,44.6536,45.3946,43.9497,42.6799,42.4062,42.0975,41.8997
BLZ,13.9866,13.9376,14.0363,14.4333,15.5766,14.9858,14.3708,12.4322,12.8812,12.7211,12.4191,12.3035,11.8468,10.6028,10.3543,9.81481,9.11977,7.84268
BEN,0.471226,0.529102,0.573043,0.585871,0.647668,0.743147,0.826463,0.845194,0.867646,0.918729,0.93209,0.915976,1.27207,1.2848,1.37595,1.40305,1.56154,1.55924
BTN,1.02985,1.18495,1.23382,1.95546,2.18557,2.50642,3.02175,3.27761,3.83804,4.77762,5.07367,4.73671,4.39484,3.96946,3.73973,3.66726,3.7687,3.64036
BOL,3.23339,4.46519,4.81956,5.55054,6.03873,6.01223,6.04899,6.67889,6.76805,6.8073,6.90872,7.00352,7.00874,8.02282,8.04748,8.38079,8.50879,8.37753
BIH,6.75499,7.81076,8.56587,9.15129,9.80599,20.3424,21.8342,23.164,24.0778,24.4814,24.9716,25.5215,27.5147,26.7107,25.9156,25.9655,24.8986,23.1177
BWA,3.76854,4.45339,5.16439,6.02879,7.17823,7.74193,8.30768,8.18999,7.17008,7.10472,7.2749,6.96402,7.15053,7.35795,7.04109,6.97807,7.52896,8.00874
BRA,8.19256,9.18892,10.2074,11.7934,14.5256,17.7223,21.1511,21.6344,21.5705,21.5091,21.4097,20.6237,20.737,21.5029,21.4465,21.5877,21.8477,22.3025
BRN,23.0937,26.0467,24.7783,24.5077,24.3716,24.2615,26.0797,23.4637,23.1656,23.0323,22.8077,21.3976,20.8562,20.8202,20.4232,19.9469,19.64,17.2068
BGR,30.6638,31.995,32.6972,33.9177,35.1279,36.02,36.3832,36.4882,36.0896,35.2092,32.4084,31.4767,30.4153,29.1806,29.6177,29.2896,30.9941,29.3069
BFA,0.297754,0.328318,0.339972,0.375808,0.419591,0.458453,0.485816,0.503464,0.526412,0.653854,0.679418,0.685547,0.820129,1.01065,1.01001,0.926386,0.884815,0.85879
BDI,0.277862,0.241179,0.249106,0.276829,0.290179,0.299658,0.300364,0.313794,0.328936,0.36939,0.357768,0.34673,0.342206,0.352621,0.348629,0.378782,0.314558,0.176597
KHM,0.079189,0.139532,0.175887,0.207619,0.23163,0.252641,0.268541,0.278685,0.242602,0.244726,0.246855,0.189214,0.272992,0.309171,0.383195,2.4981,3.62868,3.93198
CMR,0.470919,0.492828,0.511237,0.621661,0.609779,0.596445,0.650056,0.660712,0.565473,0.562598,0.553162,0.702205,0.988989,1.30291,2.16581,2.61586,3.16202,3.39842
CAN,59.9661,60.7509,62.478,64.0134,67.005,67.8884,68.1774,65.9192,65.2451,64.4324,56.2675,55.9198,55.4239,54.69,55.4268,53.8999,52.7787,50.6545
CPV,5.38529,6.17236,7.96073,9.38765,10.7942,12.351,14.2259,15.2866,15.3588,15.1401,14.9587,14.8521,14.8361,14.8272,14.7976,14.7602,15.1875,14.203
CAF,0.255976,0.289646,0.286562,0.273374,0.276227,0.26023,0.240737,0.238901,0.248065,0.256832,0.252468,,,,0.083469,0.021357,0.018372,0.018187
TCD,0.076414,0.0832,0.100103,0.111738,0.121206,0.123609,0.123989,0.132088,0.133709,0.134506,0.129813,0.193109,0.299223,0.407955,0.512403,0.437061,0.263567,0.159252
CHL,12.5899,14.6703,18.1092,20.2137,20.3648,21.3694,22.1686,21.916,20.3309,20.5233,21.0304,20.501,20.7549,20.9709,20.977,20.1595,19.449,18.7559
CHN,3.28927,4.40317,5.59338,6.90953,8.54069,11.311,14.0049,16.5381,20.1677,23.7906,26.5856,27.7334,27.402,25.3482,23.218,21.6487,20.835,20.199
COL,10.5891,12.4757,14.2337,16.5083,16.9888,18.0279,18.175,18.8421,18.7434,17.8441,17.7816,17.9287,17.8076,17.5602,16.3176,15.4725,15.1379,13.0142
COM,0.939482,1.04283,1.12473,1.23992,1.26614,1.28201,1.63771,1.84487,2.32168,2.57658,2.81972,3.09168,4.11309,4.43699,4.622,3.10505,3.30555,3.34493
COG,0.786949,0.786396,0.764331,0.742903,0.722628,0.703729,0.686291,0.669972,0.208122,0.400711,0.448987,0.377168,0.356598,0.23346,0.290352,0.325898,0.336066,0.344289
CRI,13.7697,14.739,18.716,19.7946,20.8915,22.8709,23.5444,25.3548,27.7915,31.6318,32.1403,30.2677,32.1896,31.7191,32.5899,22.7078,21.775,20.7057
CIV,0.814423,0.887128,0.946155,1.10129,1.38767,1.6345,1.78785,1.94806,1.40747,1.50447,1.48623,1.53191,1.37931,1.95236,1.5164,1.49312,1.42596,1.39183
HRV,27.4415,29.8854,32.338,34.2044,36.2068,38.4595,40.0514,41.2327,42.4199,42.9029,42.8927,41.8182,42.265,43.074,42.7407,43.0087,40.7248,37.9219
CUB,3.23054,3.24347,3.36349,3.50366,3.90721,4.38667,5.13997,5.93678,6.44021,6.81426,7.58016,8.50867,9.33594,9.63221,9.91942,10.3142,10.5836,10.7934
CYP,40.6064,41.9542,43.3366,44.5696,45.82,46.655,45.2404,43.6205,42.4893,41.185,40.6775,38.9501,38.4988,38.3741,38.0093,37.4375,36.2758,33.0556
CZE,23.6396,27.2779,31.8078,36.3564,37.0604,37.7707,37.7351,35.9844,35.5385,33.5787,31.4479,28.1033,23.2426,23.7991,24.0964,22.4319,20.7699,19.8629
PRK,2.29741,2.27102,2.24812,2.22767,2.20831,2.18912,3.73208,3.94011,4.17925,4.23024,4.19933,4.1719,4.89383,4.86721,4.84165,4.81622,4.79065,4.76514
COD,0.085689,0.083483,0.020645,0.020796,0.020811,0.020895,0.02072,0.020195,0.019095,0.020051,0.019581,0.017449,0.00612,0.063449,0.069966,0.067518,0.089111,0.090608
DNK,61.0294,61.8745,63.3068,65.976,68.3933,71.8396,72.1768,68.9304,67.1437,64.6711,61.8008,56.9495,51.6702,54.1301,50.219,47.0866,45.1068,43.4334
DJI,1.13795,1.20596,1.20411,1.13327,1.24092,1.34239,1.35363,1.36009,1.34674,1.4499,1.36212,1.43497,1.76702,1.84051,2.04924,2.21501,2.17824,2.32129
DMA,24.9415,26.336,27.1355,28.5511,30.517,32.578,33.3764,33.9627,32.0706,29.8087,26.9343,24.756,24.6486,24.6886,23.2407,21.7573,20.9969,20.3379
DOM,7.30275,7.61897,8.53133,9.2008,9.69462,10.3211,10.8548,10.1727,10.0185,9.79928,9.59239,9.46303,9.42781,10.1097,9.76727,10.1121,10.3518,10.414
ECU,6.16774,6.92872,7.63083,8.22791,9.19287,9.76959,10.4513,10.8292,11.5265,11.758,12.191,12.659,12.7773,13.1369,13.643,13.9034,14.4991,14.9021
EGY,4.44055,4.86924,5.47232,6.19732,7.19896,8.29133,9.96202,11.4121,12.5815,13.407,14.4838,14.8069,15.1272,15.7004,13.4322,12.319,10.9762,10.6012
SLV,4.95436,5.6014,6.15536,6.55908,8.3548,10.4935,10.8579,11.1129,12.483,14.6739,15.9975,17.0056,17.6399,17.51,17.7752,16.0963,16.4594,16.8165
GNQ,0.569225,0.8037,0.806301,1.14687,1.15499,1.1772,1.2907,1.59594,1.6885,1.79186,1.65659,1.60897,1.56343,1.5197,1.47743,1.9445,2.02794,2.0193
ERI,0.5147,0.544683,0.617326,0.662641,0.721271,0.775611,0.761872,0.838406,0.851374,0.841728,0.776916,0.745595,0.718102,0.750906,0.872148,0.944618,0.98558,0.980114
EST,28.7269,31.0658,33.5411,35.983,37.4696,38.2702,37.3221,35.2459,34.417,33.3375,33.3591,34.2645,37.7334,38.0883,37.8183,37.1351,36.4549,34.7242
ETH,0.249813,0.252892,0.258381,0.263239,0.303144,0.351303,0.417446,0.505825,0.562289,0.653967,0.801325,0.926095,1.09408,1.08602,1.07859,1.04355,0.927374,0.869411
FJI,8.35135,8.9235,9.05222,9.60923,10.1032,10.645,11.3197,11.9469,12.4841,12.8206,13.6772,13.8879,14.5854,15.2989,16.0452,15.0884,14.9605,10.1078
FIN,55.0098,55.4426,55.6533,55.1401,55.1873,55.0337,54.0862,52.4129,49.2516,45.2916,40.4089,36.2579,32.8782,31.025,26.7593,23.2875,20.0405,16.4464
FRA,55.8534,56.5135,57.6874,58.1539,57.54,57.398,57.1871,56.8284,56.0289,55.2485,54.8572,55.1781,55.9388,56.1128,65.09,64.2439,62.9784,61.4515
GAB,2.96165,3.15686,3.27524,3.31737,3.17563,3.18018,2.96607,2.49549,2.91947,2.86937,2.83646,2.58163,1.83068,2.23658,2.40002,1.95223,1.41145,1.0413
GMB,1.80174,1.94529,2.20349,2.20906,2.44866,2.70982,2.76539,2.93495,3.11342,3.08872,3.0629,3.12361,3.18424,3.09686,2.9755,2.90229,2.90784,3.58392
GEO,10.9391,11.3705,12.5245,12.9327,13.9802,10.725,12.153,13.856,14.614,15.1315,12.741,12.4404,12.5642,14.0063,14.0874,25.3356,30.6451,29.2845
DEU,50.5125,52.8847,54.1378,55.7241,57.7428,60.1347,62.6081,64.1332,64.7261,65.0289,65.355,64.9627,63.5329,60.3266,64.5566,63.7216,62.0077,60.5072
GHA,0.376274,0.453639,0.600701,0.742541,0.874104,1.12907,1.26796,1.39005,1.43353,1.50381,1.50358,1.62365,1.67147,0.62267,1.12863,1.14536,1.14711,1.12346
GRC,48.3777,49.5316,50.1296,50.7997,51.252,51.5094,50.9199,57.0796,57.1119,57.5635,57.1623,55.8285,49.4215,47.4029,54.0663,53.0882,51.67,49.091
GRD,23.1415,23.9097,26.2052,27.1308,29.011,30.8551,32.1554,32.8544,31.8886,31.8591,26.6399,26.8274,27.5423,27.4978,27.165,27.1015,27.0286,27.0186
GTM,2.86815,3.30932,4.11222,4.8358,5.5813,6.03909,6.58669,7.1901,7.82685,9.15378,9.84438,10.4262,10.615,10.6159,10.1025,10.4494,11.0586,11.5618
GIN,0.138507,0.200204,0.238487,0.179882,0.244904,0.277963,0.286554,0.287306,0.284261,0.279329,0.26106,0.234719,0.218972,0.261763,0.207679,0.165502,0.161268,0.157188
GNB,0.646066,0.680072,0.640529,0.663118,0.489591,0.873549,0.760593,0.841343,0.776005,0.698811,0.676321,0.467006,0.308151,0.306344,0.312334,0.315135,0.307839,0.300561
