ISO,2010
ARG,179
AUS,214
BGD,555
BRA,341
BGR,73
CMR,7
CAN,421
CHL,465
CRI,75
COD,334
DNK,324
DOM,15
ECU,95
EGY,310
EST,10
ETH,185
FJI,68
FIN,13
FRA,154
DEU,68
GHA,26
HUN,101
IND,3156
ISR,673
JAM,11
JPN,3515
JOR,361
KEN,52
LBN,124
LTU,23
MDG,35
MWI,146
MUS,27
MEX,226
MAR,76
MOZ,9
NAM,17
NZL,39
NGA,54
PAK,622
PER,115
PHL,107
POL,250
KOR,1353
ROU,33
RUS,42
ZAF,389
ESP,640
UGA,83
UKR,45
GBR,2557
USA,444
VEN,111
ZMB,7
ZWE,19
# Series: TMNCPJLP,
"# Name: Total men in news company positions, junior level professional",
"# Definition: Total men in news company positions, junior level professional",
# Source: International Women’s Media Foundation (IWMF),
# Data from the No Ceilings project: http://noceilings.org,
"# For more about the data, please visit http://noceilings.org/data",
