ISO,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,,,,,,,,,,,,,1.9,,,,,
AGO,,,,,,,,,,,,,8,,,,,,,
ARM,,,,,,,2.5,,,,,1.8,,,,,1.8,,,
AZE,,,,,,,,,,,,,2.3,,,,,,,
BGD,,,,,,,,,,,4.1,,,3.2,,,,3.1,,
BEN,,,7.3,,,,,7.2,,,,,7,,,,,,6.1,
BOL,,,,,7.4,,,,,6.7,,,,,6.2,,,,,
BRA,,,4.8,,,,,,,,,,,,,,,,,
BFA,,,,,,7.2,,,,6.6,,,,,,,7.1,,,
BDI,,,,,,,,,,,,,,,,,6.2,,,
KHM,,,,,,,4.7,,,,,4.9,,,,,4.5,,,
CMR,,,,,5.9,,,,,,6.5,,,,,,,7,,
TCD,,,,7.1,,,,,,,5.1,,,,,,,,,
COL,4.9,5.2,,,,,4.4,,,,,4.1,,,,,3.2,,,
COM,,,6.4,,,,,,,,,,,,,,,,6.7,
COG,,,,,,,,,,,,6.7,,,,,,,,
CIV,,,,,7.4,,,,,,,,,,,,,,6.7,
COD,,,,,,,,,,,,,,7.4,,,,,,7.6
DOM,,,5.1,,,3.7,,,4.5,,,,,3.8,,,,,,3.5
EGY,,,,,,,,,,,,3.6,,,3.4,,,,,
ERI,,8,,,,,,,6.2,,,,,,,,,,,
ETH,,,,,,,6.3,,,,,6.6,,,,,,6,,
GAB,,,,,,,6.3,,,,,,,,,,,,6.6,
GHA,,,,,6.1,,,,,6.4,,,,,6.5,,,,,
GTM,,8,,,,7.6,,,,,,,,,,,,,,
GIN,,,,,,5.8,,,,,,6.5,,,,,,,6.5,
GUY,,,,,,,,,,,,,,,,4.9,,,,
HTI,,,,,,,6.8,,,,,,6.6,,,,,,5.7,
HND,,,,,,,,,,,,5.6,,,,,,4.6,,
IND,,,,,,,,,,,,,3.9,,,,,,,
IDN,,,,,,,,,,3,,,,3,,,,,3.2,
JOR,,,,,,,,,,,,,,4.8,,4.9,,,4.4,
KAZ,,3.3,,,,3.4,,,,,,,,,,,,,,
KEN,,,,,6.5,,,,,7.6,,,,,7,,,,,
KGZ,,,,4.6,,,,,,,,,,,,,,,4,
LSO,,,,,,,,,,,5.2,,,,,5.9,,,,
LBR,,,,,,,,,,,,,,6.5,,8,,,,6.6
MDG,,,,8.1,,,,,,,6.9,,,,6.8,,,,,
MWI,,,,,,,7.3,,,,7.1,,,,,,6.8,,,
MDV,,,,,,,,,,,,,,,,2.8,,,,
MLI,,,6.9,,,,,7.3,,,,,7.6,,,,,,6.7,
MRT,,,,,,,5.4,,,,,,,,,,,,,
MAR,,,,,,,,,,3.3,,,,,,,,,,
MOZ,,,,5.2,,,,,,6.3,,,,,,,,7.2,,
NAM,,,,,,,5.9,,,,,,5.1,,,,,,,
NPL,,,,,,,,,,,,,4.7,,,,,4.1,,
NIC,,,,,6.6,,,5.6,,,,,,,,,,,,
NER,,,,,8.4,,,,,,,,7.9,,,,,,8.2,
NGA,6.6,,,,,,,,,6.5,,,,,7.1,,,,,7
PAK,,,,,,,,,,,,,5.8,,,,,,5.2,
PRY,7.9,,,,,,,,,,,,,,,,,,,
PER,,,6.6,,,,5.5,,,,4.9,,,5.2,,4.2,4,4.1,4,
PHL,,,,,6.5,,,,,5.9,,,,,5.2,,,,,5.2
MDA,,,,,,,,,,,,2.1,,,,,,,,
RWA,,,,,,,6,,,,,6.1,,,5.8,,5.4,,,
STP,,,,,,,,,,,,,,,5.6,,,,,
SEN,,,,7.4,,,,,,,,7,,,6.7,,7,,,
SLE,,,,,,,,,,,,,,,6.3,,,,,6.1
ZAF,,,,,4.8,,,,,,,,,,,,,,,
SWZ,,,,,,,,,,,,,5.5,,,,,,,
TJK,,,,,,,,,,,,,,,,,,,4.1,
TZA,,,7.8,,,7.8,,,,,7.3,,,,,,7,,,
TLS,,,,,,,,,,,,,,,,7.3,,,,
TGO,,,,,7.3,,,,,,,,,,,,,,,
TUR,,,,,3.9,,,,,,,,,,,,,,,
TKM,,,,,,,3.4,,,,,,,,,,,,,
UGA,,7.5,,,,,8.5,,,,,,8,,,,,7.9,,
UKR,,,,,,,,,,,,,,1.7,,,,,,
UZB,,,4.4,,,,,,,,,,,,,,,,,
ZMB,,,7.4,,,,,,7.3,,,,,8.4,,,,,,
ZWE,,,,,,4.9,,,,,,5.5,,,,,5.3,,,
# Series: TOFERTLQ,,,,,,,,,,,,,,,,,,,,
"# Name: Fertility rate, female, lowest income quintile",,,,,,,,,,,,,,,,,,,,
"# Definition: Total fertility rate represents the number of children that would be born to a woman if she were to live to the end of her childbearing years and bear children in accordance with current age-specific fertility rates, by household wealth index",,,,,,,,,,,,,,,,,,,,
# Source: DHS Household Surveys,,,,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,,,
