ISO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AFG,,2|3,,4|2,4|2,4|2,4|2,4|2,4|2,3|2wl,3|2wl,3|2wl,3|2wl,4|2
ALB,2|3,4|2,4|2,4|2,4|2,4|2,4|2,3|2wl,4|2,4|2,4|2,4|2,3|2wl,4|2
DZA,,,,,4|2,3|2wl,2|3,2|3,3|2wl,3|2wl,2|3,2|3,2|3,2|3
AGO,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2,3|2wl,4|2,3|2wl,3|2wl,3|2wl,3|2wl
ATG,,,,,,,,,4|2,4|2,4|2,4|2,4|2,5|1
ARG,,,,4|2,4|2,3|2wl,3|2wl,3|2wl,3|2wl,4|2,4|2,4|2,4|2,4|2
ARM,,2|3,4|2,4|2,3|2wl,3|2wl,3|2wl,3|2wl,4|2,4|2,4|2,4|2,5|1,5|1
AUS,,,,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1
AUT,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1
AZE,,,,3|2wl,3|2wl,4|2,4|2,3|2wl,3|2wl,3|2wl,3|2wl,3|2wl,4|2,4|2
BHS,,,,,,,,,4|2,4|2,3|2wl,3|2wl,4|2,4|2
BHR,2|3,2|3,4|2,4|2,3|2wl,3|2wl,2|3,3|2wl,3|2wl,4|2,4|2,3|2wl,3|2wl,3|2wl
BGD,4|2,4|2,4|2,2|3,4|2,4|2,4|2,4|2,3|2wl,3|2wl,3|2wl,4|2,4|2,4|2
BRB,,,,,,,,,4|2,3|2wl,3|2wl,3|2wl,3|2wl,4|2
BLR,2|3,2|3,4|2,4|2,4|2,4|2,3|2wl,4|2,4|2,4|2,3|2wl,3|2wl,3|2wl,3|2wl
BEL,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1
BLZ,,,2|3,3|2wl,3|2wl,2|3,4|2,4|2,3|2wl,3|2wl,4|2,4|2,4|2,3|2wl
BEN,4|2,4|2,5|1,4|2,3|2wl,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2
BTN,,,,,,,,,,,,1|0,4|2,4|2
BOL,,,4|2,3|2wl,2|3,3|2wl,4|2,4|2,4|2,4|2,4|2,4|2,4|2,3|2wl
BIH,2|3,2|3,2|3,4|2,4|2,4|2,4|2,4|2,4|2,5|1,5|1,4|2,4|2,3|2wl
BWA,,,,,,,,,4|2,4|2,4|2,4|2,4|2,3|2wl
BRA,4|2,4|2,4|2,4|2,4|2,3|2wl,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2
BRN,,,4|2,,,,,,4|2,3|2wl,3|2wl,4|2,4|2,4|2
BGR,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2
BFA,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2
BDI,,,4|2,4|2,4|2,4|2,3|2wl,3|2wl,3|2wl,4|2,3|2wl,3|2wl,3|2wl,3|2wl
KHM,4|2,2|3,4|2,4|2,2|3,3|2wl,3|2wl,4|2,3|2wl,4|2,4|2,4|2,3|2wl,3|2wl
CMR,4|2,4|2,4|2,4|2,3|2wl,4|2,4|2,3|2wl,3|2wl,3|2wl,3|2wl,4|2,4|2,4|2
CAN,5|1,5|1,4|2,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1
CPV,,,,,,,,,,,,4|2,4|2,4|2
CAF,,,,,,3|2wl,3|2wl,3|2wl,3|2wl,3|2wl,,2|3,2|3,2|3
TCD,,,,,4|2,4|2,3|2wl,3|2wl,2|3,3|2wl,3|2wl,3|2wl,3|2wl,4|2
CHL,,,,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2,4|2,5|1
CHN,4|2,4|2,4|2,4|2,3|2wl,3|2wl,3|2wl,3|2wl,3|2wl,3|2wl,3|2wl,3|2wl,2|3,3|2wl
COL,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,5|1,4|2
COM,,,,,,,,,,,3|2wl,3|2wl,3|2wl,3|2wl
COG,,,,,,,,3|2wl,3|2wl,3|2wl,2|3,2|3,2|3,
CRI,4|2,4|2,4|2,4|2,4|2,4|2,4|2,3|2wl,4|2,4|2,3|2wl,4|2,4|2,4|2
CIV,4|2,4|2,4|2,3|2wl,4|2,4|2,4|2,3|2wl,3|2wl,3|2wl,,4|2,4|2,4|2
