ISO,2004,2005,2006,2008,2009,2010
ARG,,,,,37.4,
ARM,,,,,6,
BOL,,,73.1,,,
BRA,,,,,18.1,
CHN,,,,,,15.8
COL,,,,,,58.9
CRI,,,,,30.3,
CIV,,,,48.5,,
DOM,,,,,33.1,
ECU,,,,,49.9,
EGY,,,,,9.9,
SLV,,,,,30.1,
HND,,,,,31.1,
IND,,,,,65.9,
IDN,,,,,65.3,
KGZ,,,,,11.8,
LBR,,,,,,60
MKD,,,,,,7.3
MUS,,,,,1.8,
MEX,,,,,19.2,
NAM,,,,13.3,,
NIC,,,,31.7,,
PAK,,,,,85.3,
PAN,,,,,17.9,
PRY,,,,,54.5,
PER,,,,,67.1,
PHL,,,,34.2,,
MDA,,,,,0.9,
SRB,,,,,,1.4
ZAF,,,,,,19.5
LKA,,,,,41.4,
TZA,,63.7,,,,
THA,,,,,,22
TUR,,,,,13.5,
UGA,,,,,,39.6
UKR,,,,,0.9,
URY,,,,,19.8,
VEN,,,,,29,
VNM,,,,,47.6,
ZMB,,,,64.3,,
ZWE,24.2,,,,,
AAE,,,,,,18.9
AME,,,,,33.6538,
LMA,,,,,36.575,
ASE,,,,,64.2,
UMA,,,,,,20.8167
EAM,,,,,,15.8
LCM,,,,,30.3,
LMM,,,,,31.1,
SAM,,,,,65.9,
UMM,,,,,,15.8
EAE,,,,,,10.3464
LCE,,,,,20.6917,
LMW,,,,,47.8292,
SAE,,,,,59.0494,
UMW,,,,,,11.2197
# Series: TRIEFEIE,,,,,,
"# Name: Informal employment in transportation, Female",,,,,,
"# Definition: Informal employment in transportation, female (Share of informal employment by kind)",,,,,,
# Source: Informal Economy 2012 Country Data,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,
