ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ARG,,,,,,,,,,,,,,,,,,14.8
AUS,8.1,8.5,9.2,9.4,9,8.9,11.2,10.7,11.8,10.7,10.7,10.8,9.9,9.6,12,11.5,,
AUT,0.6,0.3,0,0.4,0.5,0.4,0.5,0.5,0.6,0.2,0.5,0.6,0.9,0.8,0.7,0.9,1.1,0.6
BEL,1.8,2.5,3.3,2.3,2.7,3,2.7,1.2,2.5,1.5,2.3,2.2,2,1.8,1.9,1.5,2.8,2.1
CAN,8.1,9.9,7.2,6.9,6,5.4,5.3,5.9,6.4,6,5.7,5.3,4.7,5,6.5,6.8,7,6.5
CZE,,,,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.3,0.2,0.2,0.5,0.3,0.9
DNK,1.7,1.8,1.6,0.6,1.9,0.8,1.2,1.4,2.8,2.7,2.7,2.3,2.3,1.9,3.1,3.3,2.8,2.8
EST,,,,,,,,,,,1.6,0.2,0.2,0.2,1.3,0.7,0.7,0.5
FIN,,4.1,2.9,1.7,3.2,2.1,2.4,3,2.8,2.9,2.8,2.9,2.1,2.9,3.8,3.5,4,3.8
FRA,3.9,3.3,3.8,3.2,2.3,2.1,1.6,1.9,1.4,1.6,1.9,1.7,2.1,2,2.2,2.9,2.6,2.9
GEO,,,,,,,,,,,,,,,5.7,7.8,,
DEU,0.3,0.5,0.6,0.7,0.8,0.7,0.7,1,1.2,1.3,2.2,2.4,2.1,2.4,1.7,2.1,1.8,1.5
GRC,1.5,1.7,1.4,2.2,2.3,2,1.1,1.5,1.8,1.3,1.7,3,2.4,2.5,2.5,3.7,3.4,4.2
HUN,,,,0.5,0.3,0.3,0.3,0.4,0.1,0.3,0.4,0.6,0.7,0.3,0.6,1.2,1.9,0.8
ISL,2,0.6,0.4,,0.4,0.3,0.5,0.4,,,,,,,,,,
IRL,2.5,1.8,1.9,1.2,1,0.9,0.7,0.9,1.4,1,,0.9,1,1,2.9,5.1,6.1,6.6
ISR,1.2,1.7,1.6,2.7,2.8,2.6,2.6,3.3,5,6.1,6.1,3.9,4.8,4.4,4.7,4.3,4.4,2.2
ITA,0.8,0.8,0.9,1,1,1.1,1,1,1.2,2.6,2.5,3,3.4,4,4.8,5.6,6.3,7.1
JPN,0.9,1.5,1.1,1.4,1.7,2.3,1.9,6.4,5.8,6.1,5.3,5.3,5.1,4.9,8.7,8.3,7.4,4.6
LUX,0,0,0,0,0,0,1.1,0,0,0,1.2,0,0,0,2,0,1.3,1.1
MNG,,,,,,,,,8.4,,,,4.7,4.7,6.1,3.2,3.4,
NLD,1.9,1.4,1.1,1.2,0.4,1.6,1.9,1.8,2.7,2.9,2.7,1.1,0.8,0.7,1.2,1,1.6,2.3
NZL,6.7,7.6,8.3,9.1,8.5,7.8,7.5,8.9,6.9,6,0.8,5.8,7.3,5.6,8.9,7.3,7,6.7
NOR,3.7,3.5,1.3,1,0.9,1.1,1.3,1.3,1.7,2.5,1.8,1.4,0.9,0.9,0.7,1.4,1.5,1.3
POL,,,,,,,2.3,1.3,1.6,2,2.2,1.7,1,0.8,0.8,1.2,1.7,1.6
PRT,0.3,0.7,0.5,0.8,1.3,0.7,0.2,0.9,1.2,1.8,0.9,1.6,1.6,1.2,1.9,2.5,1.9,2.9
RUS,0.9,1.2,0.7,1,0.3,0.1,0.1,0.1,,,,,,,,,,0.1
SVK,0.1,0.1,0.1,0.1,0,0.1,0,0.1,0.2,0.1,0.4,0.2,0.2,0.9,1.9,2.2,3,2.4
SVN,,,,,,,,,,,0.2,0.2,0.3,0.5,0.5,0.5,0.2,0.9
ESP,0.9,1.1,1.6,1,1.5,1,1.2,1.2,1.1,1.1,2,3.2,3.3,3.8,4.3,4.4,4.9,6.8
SWE,5.2,5.8,5.6,5.2,5.4,4.4,4.1,4,4.9,6.5,6.6,6.2,4.9,5,6.7,6,6.2,6.1
TUR,0.1,0,0,0,0,0,0,,0,0,,,,,,,,
GBR,2.5,2.4,2.2,2.2,2.3,1.8,1.8,1.9,2.3,2.3,2.4,2.3,2.6,,3.3,4.8,5.8,5.9
USA,,,,1.9,1.7,1.5,1.6,1.7,2,2.1,1.9,1.8,1.8,2,2.8,3.7,3.8,3.8
ACE,1.61579,1.68,1.495,1.25714,1.3,1.11818,1.16522,1.17727,1.50952,1.65714,,,,,,,,2.83478
HIA,,,,2.292,2.23077,2.03077,2.0963,2.31111,2.78,2.86,2.66154,2.5963,2.51852,2.5,3.40741,3.54444,3.44615,3.26667
ASA,,,,4.4,3.85,3.45,3.45,3.8,4.2,4.05,3.8,3.55,3.25,3.5,4.65,5.25,5.4,5.15
ECM,1.5,1.2,1.1,1,0.9,0.8,1.1,1,1.4,1.5,,,,,,,,2.3
HIM,,,,1.2,1.5,1.1,1.3,1.3,1.8,2.1,2,2.2,2.1,1.9,2.5,3.3,2.8,2.8
NAN,,,,1.9,1.7,1.5,1.6,1.7,2,2.1,1.9,1.8,1.8,2,2.8,3.7,3.8,3.8
ECE,0.89797,0.954529,0.902015,0.894137,0.766054,0.650854,0.709303,0.723,0.801383,0.94731,,,,,,,,2.025
HWW,,,,1.63411,1.49616,1.40856,1.46786,1.99659,2.10011,2.23449,2.19105,2.20276,2.1545,2.10339,3.02203,3.40233,3.23717,3.0593
NAE,,,,2.39251,2.12264,1.88265,1.96274,2.11178,2.4318,2.48302,2.27366,2.14428,2.08547,2.29599,3.16624,4.00803,4.11886,4.06998
# Series: TRUEMAYO,,,,,,,,,,,,,,,,,,
"# Name: Young men time-related underemployment rate, Male",,,,,,,,,,,,,,,,,,
# Definition: Male youth time-related underemployment as a percentage of the labour force,,,,,,,,,,,,,,,,,,
# Source: International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,
