ISO,2010
ARG,62
AUS,79
BGD,23
BRA,93
BGR,105
CAN,361
CHL,121
CHN,89
CRI,18
COD,15
DNK,2
DOM,15
ECU,37
EGY,8
EST,18
ETH,15
FJI,7
FIN,173
FRA,5
DEU,84
GHA,16
HUN,17
IND,82
ISR,247
JAM,29
JPN,23
JOR,8
KEN,5
LBN,26
LTU,34
MDG,5
MWI,69
MUS,35
MEX,21
MAR,23
MOZ,14
NAM,140
NZL,5
NGA,23
NOR,16
PAK,60
PER,57
PHL,7
POL,283
KOR,18
ROU,28
RUS,19
ZAF,3348
ESP,292
SWE,86
UGA,4
UKR,22
GBR,277
USA,92
VEN,7
ZMB,29
ZWE,30
# Series: TWNCPPDE,
"# Name: Total women in news company positions, production and design",
"# Definition: Total women in news company positions, production and design",
# Source: International Women’s Media Foundation (IWMF),
# Data from the No Ceilings project: http://noceilings.org,
"# For more about the data, please visit http://noceilings.org/data",
